frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1382240830010943,-4.0028,3.1664,3.8759,0.8053,6.2311,-5.1395,-2.4653,-2.3796,-0.5375,0.4044,-1.3924,0.5489,nan
1,1382240862292750,-3.8309,2.8311,3.2766,1.3379,6.0900,-5.2109,-2.3835,-2.4464,-0.2444,0.2351,-1.4421,0.4486,nan
2,1382240894574556,-3.4762,3.0099,2.6624,1.5447,6.0751,-4.9285,-2.5022,-2.4569,0.0700,-0.0492,-1.1176,0.4798,nan
3,1382240926856362,-3.3654,2.8982,2.4011,1.7180,6.2047,-4.7392,-2.7256,-2.1733,-0.0447,-0.0560,-0.8916,0.1864,nan
4,1382240959138169,-3.6639,2.8176,2.9892,1.4671,6.4373,-4.6873,-2.8587,-2.0223,-0.1855,-0.0792,-0.2428,-1.4103,nan
5,1382240991419975,-3.1411,2.7288,3.1793,0.9394,6.4550,-4.4580,-2.6361,-2.1575,-0.3263,-0.1024,0.4406,-1.7545,nan
6,1382241023701781,-3.0114,2.5142,3.1570,0.9947,6.3722,-4.4311,-2.6608,-2.3787,-0.1494,-0.0400,0.2376,-1.0242,nan
7,1382241055983588,-2.8551,2.5348,2.9325,1.3865,6.2797,-4.4741,-3.1425,-2.2084,-0.1239,-0.1682,0.1554,-1.1515,nan
8,1382241088265394,-2.5279,3.0623,3.2029,0.2572,6.2962,-4.3842,-3.2975,-2.3642,-0.0438,-0.0868,0.1858,-0.9241,nan
9,1382241120547200,-2.9368,3.2483,3.3812,-0.2034,6.1519,-4.3333,-3.3563,-2.2366,-0.3243,-0.0174,0.0285,-1.0248,nan
10,1382241152829006,-2.7845,2.6536,3.8201,0.1104,6.1033,-4.4325,-3.2613,-2.5987,-0.0895,-0.1917,-0.0274,-1.5091,nan
11,1382241185110813,-2.8375,2.4780,3.5867,0.6871,5.9252,-4.5396,-3.3664,-2.4381,-0.0864,-0.2804,0.1380,-1.2017,nan
12,1382241217392619,-2.8477,2.7338,3.3673,0.5973,6.1526,-4.8127,-3.5413,-2.8067,0.1244,-0.2038,0.2775,-0.7032,nan
