t_pc_ns,sync_id,state,description
1382240269469200,100,MARKER_UPDATE,ArUco ID 100
1382241284533100,101,MARKER_UPDATE,ArUco ID 101
1382242299948100,102,MARKER_UPDATE,ArUco ID 102
1382243300540600,103,MARKER_UPDATE,ArUco ID 103
1382244315911200,104,MARKER_UPDATE,ArUco ID 104
1382245324808900,105,MARKER_UPDATE,ArUco ID 105
1382246333931700,106,MARKER_UPDATE,ArUco ID 106
1382247335615600,107,MARKER_UPDATE,ArUco ID 107
1382248349860700,108,MARKER_UPDATE,ArUco ID 108
1382249359221700,109,MARKER_UPDATE,ArUco ID 109
1382250369605000,110,MARKER_UPDATE,ArUco ID 110
1382251383641700,111,MARKER_UPDATE,ArUco ID 111
1382252383646600,112,MARKER_UPDATE,ArUco ID 112
1382253399668600,113,MARKER_UPDATE,ArUco ID 113
1382254424660400,114,MARKER_UPDATE,ArUco ID 114
1382255425722200,115,MARKER_UPDATE,ArUco ID 115
1382256435702900,116,MARKER_UPDATE,ArUco ID 116
1382257441995100,117,MARKER_UPDATE,ArUco ID 117
1382258448759100,118,MARKER_UPDATE,ArUco ID 118
1382259449263200,119,MARKER_UPDATE,ArUco ID 119
1382260449419000,120,MARKER_UPDATE,ArUco ID 120
1382261460380100,121,MARKER_UPDATE,ArUco ID 121
1382262466783000,122,MARKER_UPDATE,ArUco ID 122
1382263483419300,123,MARKER_UPDATE,ArUco ID 123
1382264499190700,124,MARKER_UPDATE,ArUco ID 124
1382265508444200,125,MARKER_UPDATE,ArUco ID 125
1382266516639600,126,MARKER_UPDATE,ArUco ID 126
1382267524016300,127,MARKER_UPDATE,ArUco ID 127
1382268524280500,128,MARKER_UPDATE,ArUco ID 128
1382269540198500,129,MARKER_UPDATE,ArUco ID 129
1382270549280200,130,MARKER_UPDATE,ArUco ID 130
1382271566487000,131,MARKER_UPDATE,ArUco ID 131
1382272574796600,132,MARKER_UPDATE,ArUco ID 132
1382273583586300,133,MARKER_UPDATE,ArUco ID 133
1382274599736000,134,MARKER_UPDATE,ArUco ID 134
1382275616375400,135,MARKER_UPDATE,ArUco ID 135
1382276633084900,136,MARKER_UPDATE,ArUco ID 136
1382277649120300,137,MARKER_UPDATE,ArUco ID 137
1382278649814700,138,MARKER_UPDATE,ArUco ID 138
1382279664498000,139,MARKER_UPDATE,ArUco ID 139
1382280665159900,140,MARKER_UPDATE,ArUco ID 140
1382281665533100,141,MARKER_UPDATE,ArUco ID 141
1382282680946900,142,MARKER_UPDATE,ArUco ID 142
1382283691301400,143,MARKER_UPDATE,ArUco ID 143
1382284694590600,144,MARKER_UPDATE,ArUco ID 144
1382285699754400,145,MARKER_UPDATE,ArUco ID 145
1382286707784100,146,MARKER_UPDATE,ArUco ID 146
1382287716389000,147,MARKER_UPDATE,ArUco ID 147
1382288732844700,148,MARKER_UPDATE,ArUco ID 148
1382289732886400,149,MARKER_UPDATE,ArUco ID 149
1382290740968500,150,MARKER_UPDATE,ArUco ID 150
1382291751531700,151,MARKER_UPDATE,ArUco ID 151
1382292760922200,152,MARKER_UPDATE,ArUco ID 152
