frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,688721233976187,-1.2093,-1.0584,-0.6656,1.1306,1.7118,2.6904,-0.5797,0.9271,0.1068,-0.5795,0.9179,-2.5420,1.4635
1,688721267292730,-1.3013,-1.2909,-0.2666,0.8495,2.2677,2.3122,-0.1721,0.5273,1.7509,-0.9350,0.4899,-2.5317,1.6406
2,688721300609273,-1.2410,-1.4691,-0.0934,0.4186,2.5557,2.3289,-0.7606,-0.0038,1.8309,-0.8813,-0.3580,-1.9015,1.4096
3,688721333925816,-1.4393,-1.5663,-0.0020,0.0893,2.6100,1.6238,-0.8287,-0.1274,1.5986,-1.3838,-0.2285,-1.8384,1.4410
4,688721367242359,-0.9319,-1.7509,-0.1916,0.0081,2.5017,0.8772,0.2932,-0.2308,1.5670,-1.4119,-0.0532,-1.6898,1.3731
5,688721400558902,-0.6748,-1.8715,-0.2715,0.1425,2.4099,1.2640,0.8895,0.4341,1.3857,-0.9465,-0.5845,-1.3815,1.5650
6,688721433875445,-0.4519,-1.7627,-0.1575,0.0744,2.1295,1.8128,-0.0684,0.5500,1.7729,-0.7016,-0.0312,-1.8965,1.7355
7,688721467191988,-0.3902,-1.8234,-0.1181,-0.1515,2.4024,1.2405,-1.4639,0.8232,1.0333,-0.1758,0.6834,-2.5739,0.9499
8,688721500508531,-0.1668,-1.7239,-0.2413,0.1082,2.4830,1.3292,-0.6037,0.2863,2.0623,-0.8810,1.3607,-2.6991,1.0538
9,688721533825074,0.0145,-1.6338,-0.4184,0.1999,2.3914,1.0525,-1.0252,-0.1097,2.3223,-0.8609,0.8518,-1.9926,1.1623
10,688721567141617,0.0067,-1.5127,-0.4759,0.1679,2.5792,1.7562,-1.1266,1.0379,2.1478,-0.9510,-0.3209,-0.8221,1.1725
11,688721600458160,-0.0644,-1.4270,-0.1297,0.1728,2.9791,1.6357,-0.9568,1.0394,2.0327,-0.7404,-0.3812,-1.1224,1.5828
12,688721633774703,0.0235,-1.0520,-0.4525,0.0867,2.7678,1.4964,-1.5436,1.6295,1.2483,-1.5976,0.1893,-1.5761,2.1954
13,688721667091246,0.4017,-1.3188,-0.1040,-0.2291,2.4197,1.1742,-0.9462,1.2161,0.9995,-1.2286,-0.4593,-1.1802,2.3763
14,688721700407788,0.5350,-1.4037,-0.1638,-0.2697,2.0086,1.3747,0.0132,1.0737,1.7125,-1.0164,0.3901,-2.0648,1.9773
15,688721733724331,0.2130,-0.5904,-0.5533,-0.1346,2.5176,0.6900,0.1693,1.0885,1.6224,-0.4866,0.5310,-2.6650,2.0702
16,688721767040874,0.1793,-0.2730,-0.5469,-0.3474,2.7172,0.1927,-0.6207,1.4307,1.3855,-0.9775,1.0887,-2.8427,1.7097
17,688721800357417,0.0406,-0.5397,-0.6481,-0.0707,2.3186,0.8981,-0.8460,0.9559,1.7759,-1.3223,0.5923,-2.4300,2.1351
18,688721833673960,-0.1175,-0.7846,-0.5165,-0.1173,2.1809,0.9716,-0.2470,0.8897,1.1493,-1.0200,0.4307,-1.9200,1.6574
19,688721866990503,-0.2430,-0.7350,-0.3244,-0.4084,1.9935,1.0621,-0.0801,0.9531,0.8272,-0.8141,0.8105,-2.4609,1.6482
20,688721900307046,-0.0568,-0.7107,-0.2376,-0.6620,2.0337,0.9614,0.6061,0.5621,0.5052,-0.6082,0.5641,-2.6656,1.9614
21,688721933623589,-0.1690,-0.9458,-0.1685,-0.6462,2.0540,0.7343,0.1931,0.8819,0.1247,-0.9183,0.5738,-2.2165,1.6969
22,688721966940132,-0.0239,-0.9276,-0.0964,-0.5189,1.8288,0.3673,-0.2915,-0.0038,1.2232,-0.6263,1.0591,-3.1298,1.8199
23,688722000256675,-0.1971,-0.8482,-0.2706,-0.2983,1.9654,-0.0506,-1.4319,0.1104,0.9899,-0.6174,1.0293,-2.9012,1.1424
24,688722033573218,-0.2253,-0.7025,-0.2001,-0.4962,1.7314,-0.0952,-0.9183,0.3361,0.7566,-0.6085,0.4845,-2.1632,0.8937
25,688722066889761,0.2231,-0.3698,-0.6009,-0.5443,1.8035,0.2954,-0.4311,0.6540,0.4767,-0.6151,0.7402,-2.5605,1.4232
26,688722100206304,0.2867,-0.7371,-0.2294,-0.3037,2.1315,0.1553,-0.4099,0.5485,0.4466,-0.6489,-0.3640,-1.2360,1.5599
27,688722133522847,0.3020,-1.1428,0.2494,-0.4095,1.9980,0.4922,0.1220,1.8760,0.8813,-0.6590,-0.9431,-0.9082,1.8455
28,688722166839390,0.5088,-1.2498,0.3422,-0.7099,1.8074,0.6890,0.0347,1.2318,1.4677,-0.4159,-0.0013,-2.0869,1.8537
29,688722200155933,0.5736,-1.1958,0.1192,-0.5363,1.7557,0.8060,-0.7046,0.7806,2.1413,-0.5022,0.6067,-2.6010,1.9865
30,688722233472476,0.4214,-0.9560,0.0393,-0.3949,1.4332,0.9349,-0.5697,0.8707,2.2144,-0.2785,0.1105,-1.8490,2.0064
31,688722266789019,0.5950,-0.9074,-0.2108,-0.8771,1.6081,1.0070,0.4313,1.2872,1.8332,-0.2074,0.3255,-2.6661,2.1179
32,688722300105562,0.8381,-0.9507,-0.2896,-1.2099,1.2860,1.3603,0.4038,1.0064,2.1065,-0.2061,0.1497,-2.9185,2.0372
33,688722333422105,0.5401,-1.1599,-0.3248,-0.7735,1.0809,1.3675,0.6039,1.5159,1.8334,-0.2614,0.3433,-2.8554,1.6727
34,688722366738648,0.4876,-1.1435,-0.2209,-0.6053,1.2403,1.2684,-0.2758,0.6030,1.8944,-0.4560,1.1172,-3.5299,1.7799
35,688722400055191,0.3462,-0.9070,-0.1883,-0.5814,1.4915,0.7624,0.0730,0.6346,0.7442,-0.7560,1.7004,-3.5975,2.4573
36,688722433371734,0.1837,-0.8134,-0.2275,-0.2901,1.4252,0.8086,0.8065,1.0118,0.0406,-0.4208,1.2216,-2.9450,1.7789
37,688722466688277,-0.1994,-0.8248,-0.2221,-0.4275,1.4222,0.9151,1.6426,-0.4586,-0.4803,-0.6460,0.8148,-2.0800,0.9641
38,688722500004820,-0.0325,-0.9913,-0.1182,-0.4805,1.5142,0.9089,1.7308,0.4961,0.3038,-0.7679,0.2350,-1.8486,1.0641
39,688722533321363,0.0655,-0.7767,-0.0829,-0.4065,1.6181,0.9292,1.7459,0.2869,0.7143,-0.4839,0.4492,-1.8942,1.1641
40,688722566637906,0.2799,-1.0103,0.5425,-0.8958,1.8559,0.9486,0.3656,0.9188,1.2926,-0.5104,0.0539,-1.6915,1.3806
41,688722599954449,0.5042,-1.1353,0.2754,-0.6700,1.7043,1.3435,0.5413,-0.1323,0.7163,-0.8301,-0.1353,-1.8374,1.0065
42,688722633270992,0.7678,-1.2799,0.0844,-0.8705,1.6477,1.3955,-0.2593,0.8722,0.0554,-0.8382,0.8139,-2.4049,1.4819
43,688722666587535,0.9550,-1.3105,-0.0602,-1.0257,1.8706,1.1384,0.0864,0.5353,0.2378,-1.0831,0.0648,-1.5108,1.6554
44,688722699904077,0.7846,-1.1316,-0.1588,-0.9321,1.7838,0.4517,0.4542,0.6139,0.3827,-0.7060,0.1793,-1.9688,1.1042
45,688722733220620,0.9396,-1.2591,0.0208,-0.8550,1.9901,0.8222,-0.0343,0.4561,1.3154,-1.4090,0.3252,-2.4243,1.2646
46,688722766537163,0.8803,-1.2888,0.1651,-0.9146,1.9803,0.9597,-1.0219,0.1415,1.9228,-0.7316,0.4687,-2.7427,1.8597
47,688722799853706,0.7734,-1.3896,0.0214,-0.6594,2.2167,0.5748,-0.3574,-0.2286,1.9648,-0.3770,0.5596,-2.4983,1.6298
48,688722833170249,0.6262,-1.2971,-0.1357,-0.3826,2.1550,0.2058,0.1777,0.2388,1.9928,-0.2162,0.2819,-1.9128,1.8487
49,688722866486792,0.5385,-1.1864,-0.2228,-0.3470,2.0419,0.4086,-0.1873,-0.0718,1.8614,-0.3856,0.9584,-2.3892,1.9346
50,688722899803335,0.4296,-1.1259,-0.1637,-0.2966,1.7264,0.9286,-0.6304,0.0309,1.7299,-0.5551,0.1905,-1.9526,2.3165
51,688722933119878,0.4869,-0.9668,-0.1374,-0.3471,2.0641,0.8935,-0.6138,0.1643,1.5254,-0.5725,-0.3143,-1.3431,1.5377
52,688722966436421,0.4854,-0.8638,-0.1366,-0.5934,2.1433,0.9601,0.0778,0.2149,1.2552,-0.2987,-0.1809,-1.4899,1.8025
53,688722999752964,0.5629,-0.8466,0.1561,-0.7724,1.7357,1.0597,-1.5361,0.5944,0.9439,-0.0549,0.0347,-2.3601,1.8082
54,688723033069507,0.3554,-0.8250,0.1423,-0.6030,1.4726,0.7989,-1.2588,-0.2039,1.3369,-0.4654,0.2712,-1.8731,1.2897
55,688723066386050,0.3502,-0.9772,0.0813,-0.3012,1.1108,0.4127,-0.8032,0.1986,0.8728,-0.4527,-0.7419,-0.9132,1.5007
56,688723099702593,0.4899,-1.1599,0.0634,-0.0805,1.2681,0.9560,-2.4604,-0.0643,0.9339,-0.9438,0.2035,-1.2587,1.1197
57,688723133019136,0.4433,-1.1457,0.0091,-0.1336,1.0733,0.8020,-1.0368,-0.5809,1.6576,-1.3942,0.7735,-1.3751,1.2160
58,688723166335679,0.4908,-1.1463,-0.0519,-0.2769,1.0496,0.2580,-0.5244,0.6909,1.8286,-0.8638,0.5035,-1.4458,1.0969
59,688723199652222,0.4036,-1.1839,-0.2453,-0.1627,1.3003,0.5802,-1.4378,1.1148,1.6994,-1.1173,0.6544,-1.8720,1.9265
60,688723232968765,0.4591,-1.2205,-0.2406,-0.1097,1.9454,0.1344,-1.5932,0.9359,1.1306,-0.6832,0.6622,-2.4460,1.8815
61,688723266285308,0.0371,-1.3397,-0.4343,0.1237,1.9762,0.2713,-0.3613,0.8268,1.2979,-0.2187,0.1087,-2.3270,2.2654
