frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,688720670799076,0.4525,0.7807,-0.3589,-0.4513,-1.7545,-2.5800,-0.1791,0.4974,-2.0797,-0.0548,-0.6383,0.7306,-0.0741
1,688720704177131,1.9689,1.1752,-0.6997,-0.6471,-1.6978,-2.3369,-0.3845,0.7764,-2.3948,0.5527,0.9023,-0.8364,-0.5373
2,688720737555187,0.5829,1.4411,-0.6445,-0.2425,-1.9664,-2.2402,0.0495,-0.3471,-1.7593,0.7656,0.8641,-0.8595,-0.4761
3,688720770933243,-0.0251,0.7474,-0.2712,0.4131,-2.6704,-2.2180,0.2708,-0.2248,-0.7322,0.0088,-0.8068,0.6847,-0.4148
4,688720804311299,0.1097,0.9675,-0.2007,-0.1044,-2.1927,-2.3604,0.0519,0.5064,-1.6350,0.2683,-0.2338,0.5540,-0.3536
5,688720837689354,0.1798,0.6185,0.5159,-1.1790,-1.5878,-2.0170,-0.7457,0.8936,-1.9770,0.4766,-0.8216,1.0342,-0.2923
6,688720871067410,1.6152,0.9701,-0.0484,-0.9748,-2.2640,-2.3828,0.8641,0.2624,-2.3956,0.6190,-0.4270,0.3059,-0.9244
7,688720904445466,0.2025,1.4986,-0.2571,-0.8951,-2.0149,-3.1008,1.2256,-0.3678,-1.7087,0.4285,-2.3815,2.4443,-1.0807
8,688720937823521,0.6718,1.2975,0.1658,-0.9441,-2.0592,-2.3181,0.5047,0.3183,-1.8603,0.0467,-0.6794,0.5716,-1.2370
9,688720971201577,0.3166,1.2345,0.3409,-1.3996,-1.6508,-2.6673,0.9633,-0.8611,-1.5493,0.8406,-0.3055,-0.1110,-1.3933
10,688721004579633,-0.4277,0.9813,-0.1779,-0.7013,-2.3687,-1.9845,0.1583,0.7649,-0.7885,0.1568,-1.0415,1.7329,-1.3400
11,688721037957689,0.4282,0.9885,-0.7519,-0.6159,-2.3307,-1.3017,-0.6467,0.3399,-1.8166,0.4532,-1.4863,0.8709,-1.2300
12,688721071335744,0.2500,0.9037,-0.4167,-0.6558,-2.1011,-2.1959,0.5668,-0.4153,-1.9789,0.5277,-0.4928,0.5968,-1.1199
13,688721104713800,0.0665,0.3703,-0.3505,-0.7528,-1.8572,-1.5701,0.0801,-0.6722,-1.6362,0.1725,-1.7710,2.1638,-0.7227
14,688721138091856,-0.4430,1.1193,-1.2281,0.0515,-1.9495,-2.0192,0.1745,-0.1722,-1.7285,0.9096,0.0514,-0.3425,0.0154
15,688721171469911,-0.1893,1.0823,-0.4347,-0.9679,-2.0578,-1.5820,0.4470,-0.2242,-1.9100,0.0280,-0.7996,1.5191,-0.9648
16,688721204847967,-0.7441,1.1116,-0.9186,-0.0043,-2.2081,-1.6062,0.2668,-0.0248,-1.8546,0.1372,-0.6059,0.5519,0.1293
17,688721238226023,-0.6127,0.8616,-0.3147,-0.8131,-1.3546,-1.6305,0.0865,-0.4205,-2.0932,0.7444,1.0903,-1.1390,0.1408
18,688721271604079,-0.9226,0.8580,0.2780,-1.2319,-1.5509,-1.7520,0.0741,-0.4885,-1.6269,0.6368,-1.4128,1.2184,0.5651
19,688721304982134,-0.2945,0.4974,0.1226,-0.9880,-1.7632,-1.3337,-0.3091,0.0033,-1.0808,0.2152,-1.6613,1.5683,-0.9055
20,688721338360190,0.0763,0.3890,0.2547,-0.6877,-1.6653,-1.3284,0.1746,-0.4335,-1.7799,0.2796,-0.6885,0.4386,-0.1797
