t_pc_ns,frame_id,sensor_id,accX,accY,accZ,magX,magY,magZ
1637518028054700,130178,0,-0.001953125,-0.009765625,1.0078125,23.25,-55.20000076293945,583.4619750976562
1637518028054700,130178,1,-0.021484375,-0.19921875,1.0,-43.5,-9.90000057220459,52.75600051879883
1637518028054700,130178,2,-0.052734375,-0.103515625,1.00390625,-63.000003814697266,-128.25,479.1600036621094
1637518028054700,130178,3,-0.080078125,-0.001953125,1.01171875,-48.900001525878906,82.20000457763672,-885.2360229492188
1637518028054700,130178,4,-0.1015625,-0.130859375,1.005859375,90.45000457763672,-297.1500244140625,1530.6500244140625
1637518028054700,130178,5,-0.109375,-0.18359375,0.99609375,99.9000015258789,99.45000457763672,3387.031982421875
1637518100642800,130179,0,0.0,-0.0078125,1.0078125,32.25,-49.80000305175781,576.6859741210938
1637518100642800,130179,1,-0.017578125,-0.171875,1.005859375,-37.80000305175781,-11.700000762939453,52.513999938964844
1637518100642800,130179,2,-0.046875,-0.046875,1.0,-51.750003814697266,-130.8000030517578,476.49798583984375
1637518100642800,130179,3,-0.08203125,0.009765625,1.01171875,-50.55000305175781,73.20000457763672,-884.7520141601562
1637518100642800,130179,4,-0.095703125,-0.1171875,1.00390625,75.1500015258789,-295.5,1536.9420166015625
1637518100642800,130179,5,-0.08984375,-0.138671875,0.994140625,92.55000305175781,100.50000762939453,3385.095947265625
1637518171587200,130180,0,-0.00390625,-0.009765625,1.009765625,23.55000114440918,-47.55000305175781,580.073974609375
1637518171587200,130180,1,-0.03125,-0.201171875,1.005859375,-45.60000228881836,-10.050000190734863,41.13999938964844
1637518171587200,130180,2,-0.052734375,-0.07421875,1.005859375,-51.60000228881836,-140.5500030517578,480.85400390625
1637518171587200,130180,3,-0.087890625,-0.01953125,1.01953125,-40.650001525878906,76.5,-885.4779663085938
1637518171587200,130180,4,-0.12109375,-0.16796875,1.001953125,74.55000305175781,-298.95001220703125,1525.8099365234375
1637518171587200,130180,5,-0.134765625,-0.17578125,0.994140625,92.4000015258789,98.10000610351562,3397.43798828125
1637518244573400,130181,0,0.0,-0.0078125,1.0078125,28.650001525878906,-52.95000076293945,574.0239868164062
1637518244573400,130181,1,-0.03125,-0.21875,0.99609375,-44.70000076293945,-8.25,53.23999786376953
1637518244573400,130181,2,-0.05859375,-0.09375,1.00390625,-57.900001525878906,-135.0,480.85400390625
1637518244573400,130181,3,-0.091796875,-0.021484375,1.017578125,-44.70000076293945,73.05000305175781,-880.1539916992188
1637518244573400,130181,4,-0.099609375,-0.189453125,1.005859375,91.95000457763672,-294.0,1536.9420166015625
1637518244573400,130181,5,-0.0859375,-0.25390625,0.9921875,91.35000610351562,102.75000762939453,3395.501953125
1637518316253400,130182,0,0.001953125,-0.009765625,1.0078125,31.950000762939453,-50.250003814697266,573.2979736328125
1637518316253400,130182,1,-0.02734375,-0.205078125,0.99609375,-37.20000076293945,-7.050000190734863,53.965999603271484
1637518316253400,130182,2,-0.046875,-0.087890625,0.998046875,-54.45000076293945,-134.40000915527344,474.8039855957031
1637518316253400,130182,3,-0.0703125,0.021484375,1.013671875,-45.150001525878906,75.9000015258789,-877.7340087890625
1637518316253400,130182,4,-0.07421875,-0.12109375,1.001953125,82.20000457763672,-302.4000244140625,1537.66796875
1637518316253400,130182,5,-0.080078125,-0.171875,0.994140625,90.9000015258789,105.45000457763672,3390.661865234375
1637518387950100,130183,0,-0.00390625,-0.005859375,1.005859375,28.80000114440918,-51.900001525878906,572.3300170898438
1637518387950100,130183,1,-0.025390625,-0.15625,1.005859375,-34.20000076293945,-2.8500001430511475,46.4640007019043
1637518387950100,130183,2,-0.05078125,-0.060546875,1.0078125,-52.500003814697266,-124.95000457763672,480.61199951171875
1637518387950100,130183,3,-0.08984375,-0.0234375,1.04296875,-43.35000228881836,76.95000457763672,-876.0399780273438
1637518387950100,130183,4,-0.1171875,-0.134765625,1.029296875,70.80000305175781,-298.8000183105469,1531.3759765625
1637518387950100,130183,5,-0.126953125,-0.134765625,0.9921875,94.05000305175781,99.1500015258789,3380.256103515625
1637518460432400,130184,0,0.00390625,-0.009765625,0.990234375,28.350000381469727,-50.10000228881836,574.5079956054688
1637518460432400,130184,1,-0.03515625,-0.16796875,1.01171875,-46.20000076293945,-8.700000762939453,56.14400100708008
1637518460432400,130184,2,-0.052734375,-0.072265625,1.009765625,-48.30000305175781,-129.0,479.1600036621094
1637518460432400,130184,3,-0.07421875,0.009765625,1.0234375,-44.400001525878906,80.70000457763672,-881.364013671875
1637518460432400,130184,4,-0.080078125,-0.125,0.994140625,81.1500015258789,-296.70001220703125,1529.197998046875
1637518460432400,130184,5,-0.07421875,-0.16015625,0.984375,93.45000457763672,97.6500015258789,3390.177978515625
1637518531900400,130185,0,0.0,-0.0078125,1.01953125,26.250001907348633,-51.000003814697266,568.9420166015625
1637518531900400,130185,1,-0.037109375,-0.15625,1.0078125,-40.05000305175781,-2.8500001430511475,52.513999938964844
1637518531900400,130185,2,-0.056640625,-0.033203125,0.98828125,-52.80000305175781,-133.95001220703125,472.3840026855469
1637518531900400,130185,3,-0.11328125,0.001953125,1.00390625,-43.95000076293945,82.05000305175781,-890.3179931640625
1637518531900400,130185,4,-0.171875,-0.173828125,1.009765625,77.70000457763672,-300.0,1538.39404296875
1637518531900400,130185,5,-0.16796875,-0.220703125,0.998046875,95.85000610351562,103.35000610351562,3387.515869140625
1637518604484300,130186,0,0.0,-0.00390625,1.009765625,23.700000762939453,-53.85000228881836,578.1380004882812
1637518604484300,130186,1,-0.03125,-0.220703125,0.9921875,-36.45000076293945,-7.500000476837158,48.15800094604492
1637518604484300,130186,2,-0.048828125,-0.10546875,1.0,-45.900001525878906,-135.90000915527344,466.333984375
1637518604484300,130186,3,-0.0625,-0.029296875,1.01953125,-42.150001525878906,69.1500015258789,-881.364013671875
1637518604484300,130186,4,-0.052734375,-0.18359375,1.0078125,100.6500015258789,-298.8000183105469,1535.0059814453125
1637518604484300,130186,5,-0.03515625,-0.259765625,0.974609375,87.45000457763672,103.20000457763672,3398.1640625
1637518675520400,130187,0,0.0,-0.005859375,1.005859375,30.30000114440918,-53.400001525878906,575.4760131835938
1637518675520400,130187,1,-0.03125,-0.20703125,0.99609375,-39.0,-7.950000286102295,41.624000549316406
1637518675520400,130187,2,-0.064453125,-0.078125,1.009765625,-56.10000228881836,-136.20001220703125,474.0780029296875
1637518675520400,130187,3,-0.10546875,-0.009765625,1.01953125,-46.95000076293945,73.35000610351562,-885.719970703125
1637518675520400,130187,4,-0.16015625,-0.158203125,0.99609375,86.85000610351562,-303.0,1534.0379638671875
1637518675520400,130187,5,-0.17578125,-0.2109375,1.00390625,97.20000457763672,97.50000762939453,3387.515869140625
1637518747854400,130188,0,-0.005859375,-0.009765625,1.0078125,20.850000381469727,-53.70000076293945,578.864013671875
