frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1637515878840262,5.5885,4.3172,1.6029,-7.1085,-1.2325,4.4619,6.3862,2.5336,3.0350,1.5689,-1.8739,-1.5637,0.9675
1,1637515912218696,5.5021,4.4299,1.2809,-7.0106,-1.5741,4.2492,6.8261,2.8062,2.9053,2.0665,-1.8005,-1.9419,1.4009
2,1637515945597130,5.7118,3.8602,1.5387,-7.1091,-2.9652,4.4300,6.7146,3.0868,3.2719,1.4162,-1.1809,-1.4596,0.3021
3,1637515978975564,5.4020,4.2685,1.6031,-7.4414,-2.1137,3.8406,8.7917,2.1014,3.7264,0.4878,-1.0224,-0.4926,-0.7967
4,1637516012353997,4.9369,4.7229,1.1505,-7.4063,-2.0523,3.8023,9.3241,2.3766,4.0021,0.4817,-1.0887,-0.5880,0.3743
5,1637516045732431,4.6217,4.6681,1.0759,-6.0649,-1.9393,3.6690,10.3255,1.7052,3.2802,0.9927,-0.7438,-0.7486,0.3914
6,1637516079110865,4.5779,4.5522,1.1654,-5.1675,-2.5970,3.7214,10.7047,1.9237,3.6683,0.4117,-0.1220,-0.3156,0.5592
7,1637516112489299,4.2931,4.8028,1.0015,-5.1684,-2.9429,3.8189,9.7612,1.6334,3.1854,0.4384,0.3296,-1.1082,0.7269
8,1637516145867733,4.6279,4.5572,0.5195,-5.9487,-2.3742,3.7968,10.3777,1.2166,3.7036,0.2418,-0.2246,-1.1457,0.8947
9,1637516179246167,4.9913,4.1534,0.3779,-5.7228,-3.1041,3.3087,10.9785,0.5587,3.6886,0.6222,-1.0224,-0.4463,1.0624
10,1637516212624600,5.0914,4.1349,0.1623,-5.4155,-3.4846,3.4103,9.8547,1.1794,3.6808,1.2242,-1.1360,-1.4190,1.2302
11,1637516246003034,5.4103,4.0186,0.0344,-6.4513,-2.6649,3.0007,7.9344,1.5744,3.3988,1.7965,-1.5349,-1.4706,1.4792
12,1637516279381468,5.4016,3.7417,0.0213,-6.1996,-2.3873,2.9607,9.4037,0.8091,2.7709,1.3450,-0.9230,-1.1855,1.7282
13,1637516312759902,5.3474,3.5462,0.0057,-6.7399,-2.1503,3.2075,10.2380,1.6940,2.1430,0.8935,-0.5563,-1.7967,1.9772
14,1637516346138336,4.8974,3.6576,-0.1027,-6.8505,-2.2806,3.3321,8.6979,2.3402,1.0265,1.4579,-1.0718,-1.3309,1.1745
15,1637516379516770,4.3123,4.0186,-0.1595,-6.9172,-1.9672,3.3700,8.8569,2.1643,1.7150,1.0003,-1.0083,-0.3442,0.0202
16,1637516412895204,4.1764,3.7965,-0.2967,-6.2088,-1.9374,3.4211,8.0032,2.1242,2.4036,0.5427,-0.9123,-0.4210,0.0097
17,1637516446273637,4.3227,3.4413,-0.4482,-5.1451,-2.0263,3.4099,8.7629,1.9343,2.7928,0.6112,-0.5185,-1.5969,0.1865
18,1637516479652071,4.5200,3.3817,-0.3465,-5.4045,-2.1272,3.4017,8.1965,1.6984,3.1820,0.6797,-1.0158,-0.7489,0.1563
19,1637516513030505,4.5612,3.4672,-0.1049,-6.1973,-1.8949,3.1321,8.2515,1.0723,3.3490,0.5914,-1.2384,-0.6697,0.1260
20,1637516546408939,4.4529,3.8270,-0.4934,-6.5392,-1.7520,2.5280,9.8239,0.1517,3.5159,0.5032,-1.0546,-1.0958,0.2125
21,1637516579787373,4.7073,3.9155,-0.4975,-6.4832,-2.7854,2.1972,10.4937,0.6550,2.8187,1.0658,-0.9444,-1.2759,0.2818
22,1637516613165807,5.1793,3.7610,-0.0280,-7.2864,-2.7624,2.0931,11.0304,-0.0855,2.8278,1.3104,-1.1563,-0.4249,0.4504
23,1637516646544240,5.3947,3.6326,0.3078,-7.9853,-2.3247,2.0303,11.9461,-0.7883,2.9733,1.4714,-1.5494,0.2005,-1.0062
24,1637516679922674,5.6985,3.6327,0.2669,-8.0692,-2.0985,2.0063,10.6315,-0.0579,3.1189,1.6324,-1.5146,-1.0691,-0.5159
25,1637516713301108,5.9597,3.6472,0.5707,-7.8267,-2.9344,2.0065,8.3206,0.6372,3.5809,0.7107,-1.0609,-1.2206,-0.0256
26,1637516746679542,6.0519,3.9693,0.5091,-8.0328,-3.4179,2.0543,8.6867,1.3461,3.7140,0.4027,-0.6159,-1.3435,-0.8279
27,1637516780057976,6.0320,4.4512,0.0015,-8.3139,-2.8029,1.8880,9.6161,0.9820,2.9385,0.3556,-0.2569,-0.0085,-0.5121
28,1637516813436410,6.3225,4.4207,-0.2249,-8.5149,-2.4156,2.2485,9.4155,-0.2495,2.4101,1.0199,-0.5676,0.0079,-0.1964
29,1637516846814843,6.5930,4.4185,-0.0249,-7.5480,-3.5786,2.1421,9.3179,-0.2306,2.7077,0.5658,-1.1289,-0.3438,0.1194
30,1637516880193277,6.7299,4.2435,0.1439,-7.3707,-3.6334,1.8525,7.0494,0.5844,3.0052,0.1117,-0.1716,-0.9382,0.6257
31,1637516913571711,6.7446,4.5000,0.0504,-6.7983,-4.5057,1.3324,7.1059,1.3144,2.9069,0.1104,-1.0279,-0.9643,1.1320
