t_frame_ns,theta_1,theta_2,theta_3,theta_4,quality
599784917531100,-1.1402,-1.7700,0.5093,-2.0288,1
599784956088600,-0.5673,-0.6139,-1.2555,-0.8153,1
599784997430900,-1.1345,-1.2042,-0.6913,-0.1105,1
599785041306400,-0.5673,-1.2042,-0.0565,-0.8045,1
599785093063200,-0.5673,-0.6019,-1.2937,-1.3940,1
599785138922600,-0.5673,-0.6139,-1.2816,-1.3940,1
599785184825900,-1.1402,-1.1985,-0.6913,-0.7891,1
599785232974000,-1.1459,-0.6083,-0.6468,-0.7454,1
599785281347800,-1.1345,-1.1861,-0.0746,-2.0288,1
599785320358400,-0.5729,-1.7644,-0.1255,-1.4377,1
599785361360800,-1.1402,-0.6019,-1.2937,-0.7527,1
599785408057300,-0.5673,-0.6139,-1.2816,-1.3940,1
599785455012300,-2.2686,0.5202,-0.6468,-0.7746,1
599785499092700,-1.1344,-0.0347,-1.2937,-1.3940,1
599785547215000,-1.1345,-0.6019,-1.2937,-0.7891,1
599785595602500,-1.1345,-0.6019,-1.2937,-0.7891,1
599785641282500,-1.7074,-1.2270,0.5138,-2.0529,1
599785688486700,-1.1458,-1.1812,-1.2816,-1.3940,1
599785733504000,-1.1458,-0.6257,-0.6913,-0.7527,1
599785781344000,-1.1402,-1.2042,-0.6652,-1.4202,1
599785831245000,-1.1402,-1.2042,-0.6652,-1.4202,1
599785863449000,-1.1459,-0.6083,-0.6468,-2.0288,1
599785907965100,0.0000,-2.3614,0.5334,-2.0288,1
599785953123100,-1.1402,-1.7700,0.5093,-2.0288,1
599786002376300,-1.1345,-0.6139,-0.6468,-0.8045,1
599786048593300,-1.1459,-1.7644,-0.1255,-0.7891,1
599786097069300,-1.1402,-1.1805,-0.7094,-1.3940,1
599786141164700,-1.1344,-1.2029,-0.0993,-0.7788,1
599786180104400,-1.1344,-1.2029,-0.0737,-0.8409,1
599786221082700,-1.1344,-1.2270,-0.6514,-0.2027,1
599786259861500,-1.1458,-1.2156,-0.1014,-0.7527,1
599786298501700,-0.5673,-1.7700,-0.0737,-1.4895,1
599786342561300,0.0000,-1.7534,-0.6832,-1.4638,1
599786377362000,0.0000,-2.3373,-0.1255,-0.7527,1
599786422243700,-0.5673,-1.7700,-0.1255,-0.7527,1
599786468787900,-1.1344,-1.2029,-0.1522,-1.4109,1
599786515183000,-0.5673,-1.7700,-0.7075,-0.2072,1
599786547056400,-1.1458,-1.1680,-0.1491,-0.8264,1
599786592015500,-1.1344,-0.6013,-0.1119,-1.4043,1
599786640871300,-1.1344,-1.2029,-0.7075,-0.2072,1
599786688601400,-1.1124,-1.2490,-0.0753,-2.1114,1
599786737863600,-1.7014,-1.2194,-0.1567,-0.8230,1
599786782512300,-1.7014,-1.2494,-0.7014,-0.8449,1
599786832917400,-1.1344,-1.7863,-0.1567,-0.8677,1
599786872645100,-2.8187,-1.2578,-0.1487,-0.2930,1
599786922433900,-3.4070,-0.0572,-1.4598,-0.1461,1
599786968638800,-2.8341,-1.2515,-0.8309,0.3685,1
599787015284200,-2.8341,-1.2935,-0.7890,-0.2779,1
599787055620400,-2.8064,-1.8605,-0.2497,-0.2779,1
599787087164100,-2.2612,-1.2515,-0.2189,-1.5350,1
599787138611000,-3.3997,-0.7279,-0.7890,-0.8578,1
599787187103300,-2.8341,-1.2515,-1.4419,-0.3120,1
599787232230900,-2.8341,-1.2515,-2.0516,0.2978,1
599787278182000,-2.8341,-1.8327,-0.3029,-1.5133,1
599787320305100,-3.3997,-1.2671,-0.9204,-0.8958,1
599787370986200,-3.4070,-1.8327,-0.9204,-0.8958,1
599787418565200,-2.8064,-1.2792,-1.4419,-0.9555,1
599787465224900,-3.4070,-1.2515,-1.4419,-0.2468,1
599787512249300,-4.5247,-1.3212,-0.7890,-1.5665,1
599787558855500,-2.2680,-1.8596,-0.1769,-1.5350,1
599787619766400,-2.2680,-1.8596,-0.1313,-0.9356,1
599787668724800,-2.8341,-0.7054,-1.3770,-0.9229,1
599787716898400,-2.2906,-1.2129,-0.7553,-1.5806,1
599787765130400,-3.4297,-0.0583,-2.6068,0.3331,1
599787811157000,-2.8352,-1.8177,-0.2189,-1.5350,1
599787858918700,-2.8352,-1.8177,-0.2189,-1.5350,1
599787890947600,-2.8352,-1.8177,-0.8309,-0.9229,1
599787936452200,-1.1233,-1.7974,-0.7707,-1.4450,1
599787986206100,-1.1233,-1.2381,-0.7161,-1.4706,1
599788036226500,-1.1124,-1.2013,-0.6677,-1.5157,1
599788077556300,-1.7131,-1.2029,-0.7075,-1.5033,1
599788123041800,-1.7131,-1.2029,-0.7075,-1.5033,1
599788156256800,-1.1344,-1.2029,-0.7401,-1.4706,1
599788189822500,-1.7074,-1.2029,-0.7401,-1.4706,1
599788235106200,-0.5672,-1.2029,-0.7075,-0.1707,1
599788280823700,-1.1344,-1.7863,-0.1241,-1.5033,1
599788326341000,-1.7074,-1.2029,-0.7075,-1.5033,1
599788369774900,-1.1344,-1.2029,-0.6755,-1.5353,1
599788404039000,-1.1344,-1.2029,-0.7075,-1.4524,1
599788450785400,0.5729,-2.3137,-0.7637,-0.7793,1
599788498619900,-1.1344,-1.2029,-0.7075,-0.8120,1
599788545104400,-1.1344,-1.2029,-0.7075,-0.8557,1
599788590225600,-1.1344,-1.2029,-0.7075,-1.4524,1
599788637170200,0.0000,-1.7465,-0.7311,-1.4524,1
599788682163600,-1.7074,-1.1793,-0.7311,-1.4524,1
599788714993700,-1.7074,-1.2029,-0.7075,-0.9004,1
599788761018100,-1.1344,-1.2029,-0.7075,-0.8557,1
599788808263500,-0.5672,-1.2029,-0.7075,-0.1707,1
599788855693100,-1.7074,-1.2029,-0.1255,-0.7527,1
599788889496300,-1.1344,-1.2029,-0.0993,-1.4638,1
599788935165900,-1.1344,-1.2029,-0.1255,-1.4377,1
599788984587900,-1.1344,-1.2029,-0.7075,-0.8557,1
599789030892300,-1.1344,-1.2029,-0.0993,-1.4638,1
599789072598000,-1.7074,-1.2029,-0.0993,-0.8153,1
599789112784500,-1.7074,-1.2029,-0.0993,-1.5085,1
599789158263100,-1.1129,-1.7700,-0.7075,-0.8557,1
599789205849700,-1.1345,-0.5785,-1.2653,-1.4030,1
599789236234400,-1.1345,-1.1861,-0.6832,-0.7788,1
599789283046000,-1.1346,-1.1917,-0.0942,-2.0092,1
599789331038600,-1.1346,-1.1917,-0.7094,-0.7527,1
599789379445800,-0.5729,-1.7357,-0.0923,-1.4240,1
599789426428200,-0.5729,-1.1691,-1.2675,-0.1367,1
599789471345700,-0.5673,-1.1691,-0.6588,-1.3875,1
599789521198600,-0.5617,-1.1691,-0.6396,-1.4432,1
599789557129000,-0.5729,-1.1691,-0.6588,-0.8045,1
599789597284900,-0.5729,-1.1691,-0.6588,-0.8045,1
599789630895800,-0.5729,-1.1691,-1.2419,-0.1915,1
599789674856100,-0.5729,-1.1691,-0.6396,-0.7938,1
599789721575400,-0.5729,-1.1458,-0.6822,-0.7746,1
599789754172000,-0.5729,-1.1691,-0.6588,-1.4240,1
599789799495200,-0.5729,-1.1691,-0.6588,-0.7454,1
599789846520500,-1.1290,-0.0229,-1.2433,-0.7454,1
599789894834100,-1.1346,-0.6074,-0.6588,-0.7454,1
599789942073700,-0.5729,-1.1691,-0.6396,-0.7646,1
599789990232200,-0.5673,-1.7357,-0.0923,-0.7454,1
599790037956900,-1.1290,-0.0229,-1.2433,-0.7454,1
599790085389200,-0.5617,-1.7534,-0.0746,-0.7454,1
599790131097900,0.0000,-1.1573,-0.6706,-0.7454,1
599790179331600,-0.5617,-0.6074,-0.6588,-0.7454,1
599790226444600,-0.5673,-1.1344,-0.0845,-0.7117,1
599790271120800,0.0000,-1.1573,-0.0615,-1.3545,1
599790307009300,-0.5729,-0.5846,-0.6342,-1.3259,1
599790350418600,-0.5729,-0.5846,-0.0314,-1.9573,1
599790395943700,-0.5729,-0.5846,-0.6473,-1.3706,1
599790445168700,-0.5729,0.0000,-1.2189,-0.7336,1
599790491272100,-0.0110,-1.1409,-0.0185,-1.3494,1
599790537268000,-0.0112,-1.1463,-0.6473,-0.6986,1
599790586188900,-0.5729,0.0000,-0.6161,-1.3145,1
599790631227900,-0.5839,-1.1344,-0.6161,-1.2931,1
599790678492800,-0.0057,-0.5673,0.0000,-1.9306,1
599790726364800,-0.0112,-0.5617,0.0000,-1.3020,1
599790770072500,0.5672,-1.1344,-0.6161,-1.3364,1
599790818636300,-0.0112,-0.5617,-0.6095,-1.3211,1
599790850605400,-0.0112,-0.5617,-0.6095,-0.6924,1
599790888216300,1.1344,-1.1344,0.0000,-1.2873,1
599790929400300,0.5617,-0.5617,-0.6161,-1.3145,1
599790976524300,0.5673,-0.5673,-0.6161,-0.0350,1
599791020964300,0.5673,-0.5673,0.0000,-1.2873,1
599791060198700,1.1233,-1.1233,0.0000,-1.9306,1
599791095109400,1.1344,-1.1344,0.0000,-1.3020,1
599791133070200,0.5673,-1.1345,0.5673,-1.2873,1
599791181214700,1.7014,-1.7014,-0.6161,-1.3145,1
599791219157100,1.1344,-1.1344,0.0000,-1.9525,1
599791258044300,1.7014,-1.7014,0.0000,-1.9525,1
599791305017200,1.1344,-1.1344,-0.6095,-1.3430,1
599791336922000,1.7014,-1.7014,0.0000,-1.3020,1
599791383147100,2.1816,-2.7663,-0.6342,-0.7336,1
599791430946500,2.2457,-2.8304,-0.0249,-1.3430,1
599791477479800,2.2668,-3.9914,-0.0615,-1.3545,1
599791522246900,2.1795,-3.3312,-1.2492,-0.7454,1
599791570979000,2.1795,-3.3312,-1.2492,-0.7454,1
599791600517500,1.6728,-4.0172,-0.0565,-0.7746,1
599791650554400,2.8341,-4.5698,-0.7271,-0.1397,1
599791695995900,2.8324,-6.9032,1.0669,-0.1659,1
599791732862700,2.8064,-6.3099,1.0669,-1.4202,1
