t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
430983154917100,4,-0.0332,0.8652,-0.5020,-46.95,-321.45,1603.73
430983167727800,5,-0.0273,0.8555,-0.4414,67.50,77.55,3479.23
430983180785800,0,0.0078,-0.0020,1.0098,-9.45,-42.15,474.80
430983193679600,1,-0.0195,0.7949,0.5430,140.25,9.45,-279.75
430983206731300,2,-0.0195,0.9414,-0.3027,-203.85,-129.75,469.24
430983219685400,3,-0.0332,0.8164,-0.5312,57.75,17.25,-789.40
430983232728900,4,-0.0332,0.8613,-0.5020,-41.55,-323.10,1617.29
430983245733900,5,-0.0293,0.8574,-0.4434,71.70,73.95,3470.52
430983258696000,0,0.0117,-0.0020,1.0098,-16.20,-40.80,471.17
430983271753600,1,-0.0195,0.7969,0.5449,134.10,4.20,-271.04
430983284773300,2,-0.0215,0.9414,-0.3027,-206.10,-133.50,476.50
430983297745000,3,-0.0332,0.8203,-0.5332,53.70,21.30,-790.61
430983310781500,4,-0.0391,0.8613,-0.5000,-36.00,-316.65,1610.51
430983323715400,5,-0.0234,0.8574,-0.4453,73.20,70.80,3478.99
430983336747000,0,0.0078,0.0000,1.0098,-17.40,-38.40,467.06
430983349717000,1,-0.0234,0.7969,0.5430,135.00,10.65,-276.85
430983362787600,2,-0.0176,0.9395,-0.3008,-200.70,-132.90,469.72
430983375789200,3,-0.0352,0.8184,-0.5293,52.35,12.45,-793.52
430983388798400,4,-0.0352,0.8652,-0.5000,-49.05,-319.50,1618.98
430983401707700,5,-0.0273,0.8594,-0.4414,69.90,70.80,3474.64
430983414788200,0,0.0117,-0.0039,1.0059,-19.95,-45.45,462.70
430983427726200,1,-0.0234,0.7969,0.5449,131.55,7.80,-279.51
430983440750600,2,-0.0176,0.9375,-0.3027,-209.10,-136.35,469.00
430983453711700,3,-0.0312,0.8164,-0.5332,53.70,20.10,-793.52
430983466756400,4,-0.0332,0.8613,-0.4961,-42.15,-319.80,1609.54
430983479860400,5,-0.0254,0.8555,-0.4473,69.90,77.85,3472.70
430983492710500,0,0.0098,0.0000,1.0117,-12.45,-39.30,470.69
430983505732700,1,-0.0234,0.7949,0.5469,136.05,9.15,-273.94
430983518742600,2,-0.0195,0.9395,-0.2988,-201.45,-135.60,476.50
430983531748200,3,-0.0293,0.8203,-0.5293,52.95,22.95,-789.40
430983544767600,4,-0.0371,0.8613,-0.5020,-45.15,-319.50,1617.04
430983557745900,5,-0.0273,0.8574,-0.4395,70.95,67.95,3468.83
430983570772200,0,0.0078,-0.0020,1.0078,-15.60,-46.50,470.93
430983583773500,1,-0.0195,0.7949,0.5449,133.35,6.45,-279.51
430983596836400,2,-0.0195,0.9434,-0.3008,-199.20,-130.35,471.66
430983609774700,3,-0.0371,0.8164,-0.5293,53.85,18.30,-787.23
430983622784100,4,-0.0352,0.8652,-0.4980,-39.15,-315.30,1612.45
430983635821900,5,-0.0273,0.8555,-0.4414,72.15,72.75,3469.31
430983648774300,0,0.0078,0.0000,1.0078,-11.70,-48.60,477.71
430983661782000,1,-0.0137,0.8008,0.5469,142.05,11.85,-277.82
430983674787200,2,-0.0215,0.9434,-0.3008,-206.40,-136.95,476.74
430983687796500,3,-0.0312,0.8145,-0.5293,55.35,22.80,-787.95
430983700800200,4,-0.0371,0.8633,-0.4941,-41.85,-319.80,1610.27
430983713766200,5,-0.0293,0.8555,-0.4453,75.15,69.00,3473.18
430983726797000,0,0.0117,-0.0039,1.0059,-6.15,-47.70,465.12
430983739756000,1,-0.0195,0.8008,0.5430,135.15,3.60,-277.09
430983752833800,2,-0.0176,0.9434,-0.3047,-199.35,-133.05,479.40
430983765744400,3,-0.0332,0.8145,-0.5293,51.30,16.50,-790.13
430983778834600,4,-0.0352,0.8633,-0.5000,-43.65,-322.80,1604.70
430983791762100,5,-0.0273,0.8594,-0.4434,73.80,75.60,3483.59
430983804932500,0,0.0117,-0.0020,1.0098,-17.25,-46.50,466.09
430983817801800,1,-0.0215,0.7949,0.5449,140.25,4.35,-277.09
430983830901700,2,-0.0176,0.9414,-0.3027,-204.45,-140.55,470.21
430983843754200,3,-0.0332,0.8164,-0.5312,58.65,15.45,-783.35
430983856802400,4,-0.0352,0.8594,-0.5020,-43.05,-317.10,1619.46
430983869810900,5,-0.0293,0.8555,-0.4395,69.45,72.90,3471.97
430983882758100,0,0.0117,-0.0020,1.0078,-13.05,-42.15,466.82
430983895791900,1,-0.0195,0.7949,0.5430,136.95,6.00,-283.38
430983908781700,2,-0.0195,0.9434,-0.3027,-202.20,-139.05,473.35
430983921857100,3,-0.0332,0.8184,-0.5312,51.15,20.25,-794.73
430983934863100,4,-0.0371,0.8613,-0.4980,-41.40,-318.00,1616.08
430983947791300,5,-0.0273,0.8555,-0.4414,75.30,73.20,3482.62
430983960810600,0,0.0078,-0.0020,1.0078,-11.55,-42.45,469.72
430983973798500,1,-0.0215,0.8008,0.5410,139.05,5.85,-279.51
430983986855200,2,-0.0176,0.9395,-0.2988,-204.75,-131.25,472.87
430983999817300,3,-0.0332,0.8184,-0.5352,58.95,19.50,-786.74
430984012846600,4,-0.0352,0.8613,-0.5000,-43.50,-320.10,1614.62
430984025817000,5,-0.0273,0.8574,-0.4395,68.10,71.70,3479.23
430984038797500,0,0.0117,-0.0039,1.0098,-14.25,-41.10,466.82
430984051841400,1,-0.0215,0.7969,0.5430,142.35,-1.20,-281.69
430984064832300,2,-0.0195,0.9395,-0.2988,-203.25,-132.45,483.03
430984077855900,3,-0.0332,0.8184,-0.5293,61.20,20.25,-795.94
430984090814800,4,-0.0391,0.8613,-0.5039,-50.85,-314.55,1618.50
430984103821300,5,-0.0273,0.8555,-0.4375,73.95,73.35,3469.07
430984116853300,0,0.0117,-0.0020,1.0059,-10.50,-38.10,467.54
430984129867900,1,-0.0234,0.7988,0.5430,133.50,17.40,-278.30
430984142858800,2,-0.0195,0.9434,-0.3066,-199.50,-132.60,478.92
430984156198000,3,-0.0312,0.8184,-0.5352,52.50,19.50,-785.77
430984168882700,4,-0.0352,0.8594,-0.4961,-40.05,-313.35,1621.88
430984181800000,5,-0.0273,0.8535,-0.4375,74.40,74.85,3475.60
430984194820700,0,0.0098,0.0000,1.0078,-14.85,-47.55,475.29
430984207824700,1,-0.0215,0.7969,0.5449,134.70,7.50,-280.24
430984220865700,2,-0.0195,0.9453,-0.3086,-205.20,-132.30,476.74
430984233858700,3,-0.0332,0.8203,-0.5293,51.15,14.55,-792.31
430984246859300,4,-0.0391,0.8594,-0.4961,-41.55,-318.75,1610.03
430984259823100,5,-0.0293,0.8555,-0.4375,74.10,76.80,3471.49
430984272817700,0,0.0059,-0.0020,1.0039,-12.60,-42.90,470.21
430984285852700,1,-0.0195,0.8008,0.5430,133.80,10.05,-282.66
430984298848100,2,-0.0176,0.9395,-0.3027,-198.15,-132.45,474.80
430984311799100,3,-0.0332,0.8184,-0.5332,56.10,16.20,-796.18
430984324840700,4,-0.0352,0.8633,-0.4941,-43.65,-316.95,1621.88
430984337856300,5,-0.0273,0.8594,-0.4453,70.95,70.35,3476.09
430984350815400,0,0.0098,-0.0020,1.0059,-15.90,-40.35,467.54
430984363818900,1,-0.0234,0.7930,0.5488,136.05,6.15,-275.40
430984376846400,2,-0.0195,0.9434,-0.3008,-206.40,-135.30,485.45
430984389824600,3,-0.0332,0.8125,-0.5352,58.95,17.70,-788.68
430984402888900,4,-0.0371,0.8613,-0.4980,-44.10,-316.65,1607.85
430984415823100,5,-0.0293,0.8555,-0.4473,69.75,72.15,3480.44
430984428855000,0,0.0098,-0.0020,1.0059,-10.20,-38.55,465.85
430984441860600,1,-0.0176,0.7949,0.5430,136.50,12.00,-278.06
430984454924500,2,-0.0195,0.9434,-0.3008,-199.80,-130.20,465.12
430984467822700,3,-0.0312,0.8184,-0.5352,47.40,18.75,-787.71
430984481192800,4,-0.0332,0.8613,-0.5000,-45.00,-317.55,1608.09
430984493834200,5,-0.0254,0.8555,-0.4434,68.70,74.70,3476.09
430984506834700,0,0.0117,-0.0020,1.0059,-14.85,-41.70,475.53
430984519852400,1,-0.0234,0.7949,0.5430,139.05,8.40,-273.70
430984532864900,2,-0.0176,0.9355,-0.2988,-204.90,-133.65,474.56
430984545837000,3,-0.0332,0.8125,-0.5312,56.70,20.10,-787.47
430984558924700,4,-0.0332,0.8633,-0.4961,-42.75,-323.10,1612.45
430984571900200,5,-0.0273,0.8574,-0.4434,75.60,73.35,3467.86
430984584859500,0,0.0098,0.0000,1.0098,-16.05,-42.45,464.16
430984597863200,1,-0.0176,0.8047,0.5449,141.60,9.45,-273.46
430984610904900,2,-0.0195,0.9453,-0.3027,-201.00,-135.45,478.19
430984623842800,3,-0.0273,0.8262,-0.5312,54.15,20.70,-789.40
430984636919500,4,-0.0312,0.8652,-0.4883,-34.65,-319.20,1617.29
430984649879600,5,-0.0273,0.8633,-0.4473,74.85,70.80,3475.60
430984662887300,0,0.0098,-0.0039,1.0098,-13.80,-41.10,463.43
430984675292700,1,-0.0215,0.7988,0.5488,137.40,5.40,-270.56
430984688912300,2,-0.0137,0.9453,-0.2988,-206.25,-132.00,479.64
430984701880700,3,-0.0352,0.8125,-0.5312,52.80,20.25,-782.63
430984714884600,4,-0.0352,0.8672,-0.4980,-46.80,-318.75,1618.01
430984727916200,5,-0.0293,0.8516,-0.4375,72.60,69.00,3478.99
430984740882500,0,0.0117,0.0000,1.0059,-13.95,-36.90,474.08
430984753896400,1,-0.0215,0.7988,0.5508,137.55,4.80,-283.62
430984766919000,2,-0.0176,0.9434,-0.3027,-199.05,-131.85,472.63
430984780011600,3,-0.0273,0.8184,-0.5332,58.65,17.55,-788.68
430984792924600,4,-0.0352,0.8613,-0.4980,-41.40,-315.60,1610.27
430984805327500,5,-0.0273,0.8594,-0.4395,72.45,74.85,3484.07
430984818911700,0,0.0117,-0.0020,1.0078,-10.65,-44.70,473.59
430984831871700,1,-0.0215,0.7969,0.5430,138.30,13.35,-286.04
430984844945100,2,-0.0176,0.9395,-0.3027,-205.35,-132.75,476.26
430984857865100,3,-0.0332,0.8125,-0.5312,55.65,21.00,-795.45
430984870896800,4,-0.0332,0.8613,-0.4961,-40.20,-317.10,1607.36
430984883858700,5,-0.0234,0.8555,-0.4414,70.50,70.05,3480.93
430984896540000,0,0.0117,0.0000,1.0059,-5.85,-46.20,458.11
430984909906100,1,-0.0234,0.7949,0.5449,145.95,4.65,-283.14
430984922900600,2,-0.0176,0.9434,-0.2969,-201.75,-131.40,470.45
430984935375900,3,-0.0332,0.8164,-0.5332,56.70,27.75,-784.08
430984948917400,4,-0.0371,0.8633,-0.4941,-46.95,-310.80,1613.90
430984961925600,5,-0.0254,0.8535,-0.4434,73.05,75.45,3479.48
430984974291200,0,0.0098,-0.0020,1.0098,-11.40,-41.10,468.75
430984987934200,1,-0.0215,0.7969,0.5449,133.95,7.20,-277.33
430985000916000,2,-0.0156,0.9434,-0.3008,-210.00,-130.50,477.22
430985013345100,3,-0.0312,0.8164,-0.5293,49.95,17.85,-794.49
430985026952400,4,-0.0371,0.8652,-0.4980,-44.10,-316.65,1613.17
430985039905600,5,-0.0273,0.8574,-0.4434,73.50,71.25,3476.57
430985052945900,0,0.0098,-0.0020,1.0117,-17.70,-44.25,470.69
430985065305900,1,-0.0156,0.7988,0.5430,138.30,8.25,-274.91
430985078962300,2,-0.0176,0.9395,-0.3027,-202.80,-129.60,474.08
430985091898500,3,-0.0352,0.8184,-0.5312,56.40,20.25,-785.77
430985105118500,4,-0.0332,0.8594,-0.4961,-36.90,-316.80,1624.79
430985117945000,5,-0.0293,0.8555,-0.4414,69.30,76.35,3480.93
430985130904400,0,0.0117,-0.0039,1.0117,-14.40,-43.65,462.46
430985143306100,1,-0.0215,0.7969,0.5430,136.05,9.45,-275.15
430985156936200,2,-0.0156,0.9414,-0.3008,-201.15,-135.15,475.29
430985169907600,3,-0.0332,0.8203,-0.5332,51.90,20.85,-787.71
430985182350000,4,-0.0352,0.8594,-0.4961,-44.70,-323.10,1624.55
430985195363600,5,-0.0273,0.8613,-0.4434,70.80,74.40,3484.07
430985208965400,0,0.0117,-0.0039,1.0059,-11.10,-36.45,462.22
430985221493900,1,-0.0176,0.7910,0.5430,132.75,3.60,-280.48
430985234931500,2,-0.0156,0.9434,-0.3027,-197.85,-132.45,478.43
430985247940700,3,-0.0312,0.8184,-0.5332,57.30,10.80,-787.71
430985260968700,4,-0.0332,0.8594,-0.5020,-45.00,-323.10,1608.82
430985273330000,5,-0.0293,0.8555,-0.4414,73.65,75.60,3468.10
430985286964900,0,0.0117,-0.0020,1.0039,-12.60,-44.70,472.38
430985299957400,1,-0.0234,0.7969,0.5449,137.25,11.85,-274.91
430985312338700,2,-0.0195,0.9414,-0.3047,-205.20,-128.55,477.95
