frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1626762792631344,6.7590,2.0742,-6.4937,-13.5111,-27.5179,-28.3483,-19.6562,-14.4411,-5.1115,-2.1144,-1.9886,-3.4082,3.0880
1,1626762826044154,6.8881,1.9863,-6.4204,-13.5400,-27.7919,-28.1014,-19.6233,-12.6326,-5.2454,-2.0929,-1.5788,-3.2834,2.8868
2,1626762859456963,7.5415,1.3623,-6.3433,-13.4808,-27.8348,-28.0444,-19.6020,-11.4764,-5.3920,-2.0972,-1.6917,-3.3892,2.8531
3,1626762892869773,7.3092,1.4441,-6.3953,-13.4223,-27.9366,-27.8509,-19.6819,-12.6427,-5.4227,-2.3157,-1.6659,-3.5345,3.1003
4,1626762926282582,7.4918,1.5384,-6.4997,-13.5506,-27.7718,-27.8758,-20.0017,-12.7423,-5.3832,-2.3817,-1.4135,-3.1608,2.8182
5,1626762959695392,7.5489,1.7143,-6.6630,-13.5827,-27.6134,-27.9816,-20.0369,-12.9220,-5.3271,-2.3248,-1.4086,-2.6962,2.9085
6,1626762993108202,7.5233,1.6403,-6.6914,-13.7854,-27.2093,-28.2019,-19.8596,-11.8342,-5.4876,-2.2865,-1.3335,-2.3926,2.8421
7,1626763026521011,7.7593,1.4971,-6.6514,-13.7093,-27.2942,-28.2377,-19.7246,-11.2917,-5.4585,-2.2758,-1.1640,-2.9904,2.9264
8,1626763059933821,7.7780,1.4691,-6.6709,-13.6567,-27.4773,-28.0900,-19.6639,-10.8601,-5.3697,-2.1972,-1.3073,-2.9353,3.1423
9,1626763093346630,7.5580,1.5726,-6.6113,-13.6080,-27.7714,-27.8474,-19.6144,-10.9168,-5.5435,-2.0167,-1.1506,-2.8961,2.5846
10,1626763126759440,7.2589,1.7408,-6.6030,-13.6620,-27.7387,-27.8143,-19.6730,-10.3287,-5.7258,-2.0777,-1.4523,-3.0077,2.3697
11,1626763160172249,7.2950,1.8742,-6.8598,-13.5848,-27.6338,-28.0010,-19.7833,-10.4024,-5.3727,-2.1771,-1.4960,-3.2451,2.2332
12,1626763193585059,7.4357,1.7722,-6.8741,-13.3505,-27.6917,-28.1643,-19.6536,-10.4684,-5.2950,-2.4188,-1.1751,-2.9811,2.6153
13,1626763226997869,7.7613,1.4133,-6.5226,-13.5294,-27.8211,-28.0602,-19.7497,-11.5756,-5.2678,-2.4885,-1.0049,-2.9612,2.1359
14,1626763260410678,8.1448,1.3480,-6.5447,-13.6882,-27.7909,-27.8891,-19.5904,-12.3134,-5.1859,-2.2901,-1.1853,-3.0721,2.4214
15,1626763293823488,7.9714,1.5946,-6.8400,-13.5390,-27.7839,-27.8010,-19.8001,-12.7417,-5.2939,-1.9409,-1.5122,-3.0354,2.0308
16,1626763327236297,7.8738,1.7111,-7.1062,-13.3958,-27.8182,-27.8548,-19.8102,-13.0693,-5.4445,-1.8985,-1.5319,-3.0764,2.4935
17,1626763360649107,7.7966,1.8474,-7.0931,-13.3351,-27.9380,-27.9376,-19.7875,-12.9479,-5.4680,-2.0475,-1.2419,-3.0392,2.7556
18,1626763394061916,7.7890,1.8601,-7.2347,-13.3144,-27.9359,-28.1282,-19.7250,-13.1355,-5.4926,-1.9840,-1.4390,-2.7584,2.4067
19,1626763427474726,7.8078,1.8919,-7.0947,-13.6065,-27.9014,-28.1304,-19.7566,-11.8175,-5.4119,-2.1227,-1.2581,-3.0567,2.5505
20,1626763460887535,8.2067,1.7242,-7.1663,-13.4114,-27.9429,-28.0699,-19.8667,-12.4255,-5.4709,-2.1361,-1.3824,-3.0705,3.2349
21,1626763494300345,8.1793,1.8531,-7.2083,-13.3659,-27.9648,-27.9275,-19.9314,-11.8962,-5.4899,-2.1622,-1.3741,-3.4246,2.3999
22,1626763527713155,8.5390,1.5859,-6.9429,-13.6706,-27.7809,-27.8133,-20.0493,-11.3518,-5.3913,-2.0790,-1.4228,-3.1153,2.3294
23,1626763561125964,8.1280,1.9328,-7.0805,-13.4684,-28.0825,-27.5582,-20.0980,-11.0540,-5.4853,-2.0165,-1.5311,-3.0505,2.1850
24,1626763594538774,8.2014,2.1542,-7.1351,-13.6071,-27.8478,-27.6744,-19.9616,-12.1894,-5.4210,-2.0307,-1.2339,-2.6798,2.8768
25,1626763627951583,8.3413,2.2061,-7.1407,-13.6287,-27.7130,-27.8761,-19.5987,-11.7571,-5.5478,-2.0759,-1.3654,-2.3442,2.7973
26,1626763661364393,8.2681,2.4588,-7.4442,-13.3077,-27.8771,-27.8465,-19.5569,-12.3710,-5.5690,-2.0855,-1.1728,-2.5501,2.9790
27,1626763694777202,8.1741,2.5214,-7.4414,-13.2369,-27.9204,-27.7990,-19.4487,-11.6821,-5.5531,-2.1140,-1.5360,-2.7269,2.5379
28,1626763728190012,7.9617,2.4845,-7.4610,-13.3573,-27.6830,-27.8660,-19.6578,-11.0541,-5.4297,-2.2931,-1.3974,-2.6715,2.9136
29,1626763761602822,7.7075,2.2475,-7.1745,-13.2759,-27.5932,-28.0615,-19.6414,-11.1275,-5.2277,-2.1055,-1.2907,-2.8472,2.6981
30,1626763795015631,7.6105,2.0125,-7.1597,-13.1472,-27.6274,-28.1679,-19.7827,-10.9900,-5.4526,-2.2357,-1.5396,-2.7448,2.5402
31,1626763828428441,7.8752,1.9578,-7.1035,-13.2024,-27.7311,-28.2194,-19.5402,-12.1327,-5.4359,-2.3205,-1.2402,-2.6897,3.2084
32,1626763861841250,7.6010,1.8691,-7.0021,-13.1206,-27.9111,-28.2564,-19.3883,-13.0584,-5.4414,-2.4263,-1.2320,-2.4851,2.7892
33,1626763895254060,7.5680,1.9436,-6.9346,-13.2122,-27.8935,-28.1107,-19.6648,-13.1511,-5.7766,-2.2908,-1.5292,-3.0996,3.4911
34,1626763928666869,7.5446,2.0548,-6.8028,-13.2598,-28.0055,-27.9936,-19.7314,-12.0301,-5.6717,-2.1224,-1.1748,-3.1879,2.8617
35,1626763962079679,7.5574,2.1224,-6.7141,-13.4335,-27.9766,-27.9199,-19.9286,-11.5954,-5.5500,-2.1383,-1.3169,-3.0423,3.2561
36,1626763995492489,7.5114,2.1573,-6.6759,-13.4948,-27.9584,-27.9930,-19.8964,-11.1903,-5.6025,-2.0586,-1.7783,-3.4462,3.2921
37,1626764028905298,7.3045,2.2537,-6.7397,-13.4604,-27.8826,-28.0425,-19.9106,-12.1509,-5.6805,-2.0394,-1.7199,-3.2079,3.6901
38,1626764062318108,7.2312,2.2032,-6.7167,-13.4347,-27.8612,-27.9070,-19.6683,-11.4431,-5.5532,-2.2785,-1.5983,-2.5897,2.9892
39,1626764095730917,7.3269,2.0688,-6.8028,-13.2539,-27.9682,-27.7215,-19.6740,-12.2972,-5.4082,-2.2905,-1.5829,-2.4486,2.4564
40,1626764129143727,7.3381,2.1041,-6.8700,-13.1320,-27.9718,-27.6723,-19.7769,-12.9653,-5.3258,-2.2033,-1.5931,-2.6579,2.9718
41,1626764162556536,7.4287,2.1301,-6.9244,-13.0264,-28.0587,-27.7510,-19.6020,-11.5775,-5.4978,-2.1411,-1.2869,-2.8732,2.7245
42,1626764195969346,7.2920,2.2168,-7.0014,-13.0518,-27.9452,-27.6798,-19.7471,-12.3164,-5.6541,52.4881,-55.9692,-2.7012,2.2849
43,1626764229382156,6.8019,2.5683,-6.9351,-12.9923,-27.8347,-27.7859,-19.7603,-12.2162,-5.7232,27.0246,-30.5464,-2.3490,2.9201
44,1626764262794965,7.0542,2.1542,-6.6136,-13.1028,-27.8498,-27.7419,-20.3695,-12.5858,-5.3429,28.5397,-32.0223,-2.0463,3.3544
45,1626764296207775,7.3083,1.9503,-6.4202,-13.0418,-28.0977,-27.4479,-20.5882,-13.2056,-5.2317,30.0548,-33.4981,-2.2324,3.6075
46,1626764329620584,7.2258,2.1743,-6.6985,-12.7962,-28.3076,-27.4443,-20.5317,-13.2940,-5.2064,11.2906,-14.7872,-2.4674,3.6456
47,1626764363033394,6.8057,2.3709,-6.7004,-12.6836,-28.3003,-27.6153,-20.0956,-13.2692,-5.2566,2.9694,-6.5869,-2.4286,2.5863
48,1626764396446203,6.8660,2.1850,-6.3755,-12.7955,-28.2419,-27.6432,-19.7902,-13.5018,-5.6659,-0.2569,-3.1619,-2.8258,2.4249
