t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
89715319266500,2,0.0039,0.9961,-0.0723,-53.25,-155.10,479.16
89715332276600,3,-0.0039,0.9668,-0.0898,18.75,102.00,-805.13
89715345283900,4,-0.0098,1.0039,-0.0742,-93.75,-277.65,1624.55
89715358668800,5,-0.0098,0.9746,-0.0703,97.20,97.95,3466.41
89715371503200,0,0.0020,0.9922,-0.0820,-32.10,-51.15,485.21
89715384315500,1,-0.0156,0.9590,-0.0879,-38.40,-59.55,-204.01
89715397305200,2,0.0059,0.9922,-0.0723,-48.45,-156.60,476.01
89715410262600,3,-0.0020,0.9668,-0.0840,22.05,103.20,-810.46
89715423301800,4,-0.0078,1.0039,-0.0801,-89.10,-280.65,1617.04
89715436308300,5,-0.0117,0.9746,-0.0762,101.70,96.90,3456.49
89715449246300,0,0.0020,0.9902,-0.0820,-23.70,-52.95,484.73
89715462328500,1,-0.0176,0.9570,-0.0898,-48.00,-61.65,-195.78
89715475274600,2,0.0039,0.9941,-0.0703,-46.20,-152.70,476.98
89715488405900,3,-0.0020,0.9648,-0.0859,23.85,101.55,-809.25
89715501300100,4,-0.0137,1.0059,-0.0723,-90.75,-279.60,1620.43
89715514306300,5,-0.0098,0.9766,-0.0703,105.30,99.15,3455.52
89715527276800,0,0.0020,0.9922,-0.0820,-27.30,-56.85,482.31
89715540301600,1,-0.0137,0.9590,-0.0879,-44.25,-59.70,-208.85
89715553300200,2,0.0039,0.9922,-0.0723,-51.15,-154.20,477.95
89715566286100,3,0.0000,0.9668,-0.0879,19.95,103.05,-804.17
89715579303600,4,-0.0098,1.0098,-0.0781,-87.30,-279.75,1621.40
89715592296800,5,-0.0059,0.9746,-0.0684,110.25,100.20,3466.41
89715605363600,0,0.0078,0.9902,-0.0820,-25.35,-56.10,485.45
89715618309700,1,-0.0176,0.9570,-0.0898,-45.15,-59.70,-211.02
89715631311600,2,0.0059,0.9961,-0.0762,-49.05,-153.75,479.40
89715644332200,3,-0.0059,0.9668,-0.0859,14.10,103.35,-814.57
89715657314300,4,-0.0117,1.0020,-0.0781,-88.95,-283.05,1607.12
89715670298200,5,-0.0078,0.9766,-0.0684,102.45,102.30,3460.84
89715683285800,0,0.0039,0.9922,-0.0840,-27.90,-60.45,485.69
89715696423700,1,-0.0156,0.9570,-0.0859,-40.65,-61.80,-203.76
89715709334300,2,0.0059,0.9941,-0.0703,-50.55,-159.45,483.27
89715722346200,3,-0.0020,0.9688,-0.0879,16.05,100.05,-817.48
89715735364500,4,-0.0059,1.0000,-0.0762,-93.00,-274.05,1620.92
