frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,773219247503444,0.9724,0.5473,-0.6313,-1.5454,-1.2742,-0.7654,1.2923,2.2951,0.2338,0.2748,-1.8619,2.4803,1.4057
1,773219281390973,0.3556,-0.1545,-0.7342,-1.4288,-1.7009,-0.5177,1.3433,2.1549,0.2851,1.3163,-1.8370,1.8293,0.5043
2,773219315278501,0.0811,0.0908,0.0440,-2.0457,-1.0398,-1.1836,1.3641,2.2413,0.3516,1.0038,-2.6551,2.9685,-0.3972
3,773219349166030,-0.1065,0.8550,-0.5408,-1.3611,-1.4790,-0.8134,1.7506,1.9806,0.1874,1.3325,-1.7810,1.6141,-1.2986
4,773219383053559,-0.4293,0.4235,-0.3733,-1.7812,-0.8504,-1.0214,1.5484,2.1560,-0.3534,1.8343,-0.3487,0.1952,-2.2000
5,773219416941088,-0.1023,0.1024,-0.4474,-1.2947,-1.3407,-1.2520,1.8231,1.3738,0.5177,1.7567,-3.1273,1.9368,2.3782
6,773219450828617,0.9504,0.6603,-0.9046,-1.0902,-1.6038,-1.3171,1.5031,2.1528,-0.2752,1.3914,-0.6616,0.4048,0.5252
7,773219484716145,0.1384,0.6557,-0.1996,-1.3662,-1.7024,-1.5370,1.8983,2.6498,-1.2497,2.0707,-1.0585,0.3581,1.2346
8,773219518603674,0.4827,0.8019,-0.5121,-1.2514,-1.4285,-0.8280,1.4627,1.7323,-0.8892,2.0826,-0.3282,-0.5740,1.9440
9,773219552491203,0.4725,0.7958,-0.3682,-1.9204,-1.1056,-1.0613,1.3196,1.8196,-0.4906,1.5610,-0.7247,0.8353,3.3897
10,773219586378732,0.3210,0.8057,-0.9553,-1.1510,-1.4342,-1.4244,1.4012,2.7021,-0.7770,1.2734,-1.3158,1.5201,2.3631
11,773219620266261,0.3375,0.4224,-0.6382,-0.8862,-1.3779,-1.3401,1.5618,0.6281,0.4022,1.3748,-1.6849,1.8869,1.3366
12,773219654153789,0.3532,0.7553,-1.0782,-0.8315,-1.4440,-1.4038,1.7343,1.5720,0.0978,0.6558,-2.4086,2.5760,3.1150
