t_frame_ns,theta_1,theta_2,theta_3,theta_4,quality
270103596825100,-1.3322,-1.2730,-3.2241,-1.9137,1
270103643275200,0.0000,-2.5169,0.6077,-2.5880,1
270103688498600,nan,nan,nan,nan,0
270103728810000,-1.2730,-1.7715,-1.8049,-1.4477,1
270103770252900,-0.5729,-1.1628,-1.8406,-0.7747,1
270103818489200,-0.6031,-1.1868,-1.2549,-1.9250,1
270103865924600,-1.2189,-1.1922,-1.2804,-1.3327,1
270103905262600,-0.5862,-0.6014,-1.2418,-2.0429,1
270103959042900,-1.8677,-0.5951,-1.2686,-0.7658,1
270103996940300,-1.2590,-1.2038,-0.6146,-1.3699,1
270104037274700,-0.6031,-1.8865,-0.6213,-2.0255,1
270104084396600,-1.2454,-1.2175,-1.2286,-1.3882,1
270104127135200,-0.6016,-1.1913,-1.2947,-1.2383,1
270104165016500,-1.2320,-1.8789,-0.5805,-1.3327,1
270104208163200,-1.2738,-1.8401,-1.1894,-2.0584,1
270104256310000,-0.6228,-0.6092,-1.8455,-1.4197,1
270104303208700,-1.2598,-0.6028,-2.4725,0.5464,1
270104351835800,-0.6228,-1.2052,-0.6348,-1.9846,1
270104398352900,-1.2461,-1.2185,-1.2495,-0.1024,1
270104444150800,0.0350,-0.6028,-1.8920,-1.3365,1
270104481201600,-1.2454,-1.1913,-0.6408,-0.1024,1
270104522893800,-1.2590,-1.2038,-1.8417,-0.7196,1
270104571079600,-1.2454,-0.6022,-1.2632,-1.3863,1
270104617024700,-1.2813,-1.2249,-1.2632,-2.5998,1
270104653945100,-0.6585,-1.8476,-1.2632,-0.7032,1
270104696039500,-0.0425,-1.8480,-1.8455,-1.3699,1
270104742619300,-1.2807,-1.2180,-1.2632,-1.3365,1
270104791388600,-1.2738,-0.5961,-1.8586,-1.3699,1
270104837922600,-1.2662,-0.6024,-1.2576,-1.9578,1
270104884484400,-0.0350,-1.2321,-1.8468,-1.3513,1
270104932157200,-1.3020,-0.6161,-1.8468,0.5537,1
270104980112700,-0.6859,-1.2321,-1.2516,-0.6771,1
270105026339500,-0.0277,-0.6161,-1.8476,-0.6972,1
270105061268900,-1.9573,-0.0066,-1.8415,-1.3128,1
270105104727400,-2.5448,0.0000,-1.2320,-0.6562,1
270105150036800,-1.3061,-0.6031,-1.2189,-0.6488,1
270105198859500,0.5497,-1.8087,-0.6095,-1.9074,1
270105228704300,-1.3211,-0.6095,-1.2189,-0.6693,1
270105275109500,-0.7788,-2.4366,-1.8280,-0.0602,1
270105312826800,-0.0794,-1.2056,-1.2126,-1.2582,1
270105353155900,-0.6947,-1.1935,-0.6095,-1.8800,1
270105398575700,-1.2961,-0.6028,-1.7967,-0.0259,1
270105446525900,-0.6821,-1.2060,-0.6031,-1.2646,1
270105492509800,-0.6947,-1.1935,-1.2060,-1.2835,1
270105541033500,-0.6903,-1.2189,-0.6095,-2.5013,1
270105583502700,-0.0542,-1.2189,-1.8280,-0.0397,1
270105634282300,-0.6889,-1.2185,-1.8284,-1.2980,1
270105682154800,-0.1218,-1.2119,-1.8029,-0.6821,1
270105727029900,-0.6821,-1.2060,-0.6031,-1.2646,1
270105758241000,-1.3259,-0.6221,-1.2063,-1.2787,1
270105804963000,-1.4067,-1.2056,-0.6031,-1.8476,1
