t_ns,board_id,sensor_id,t,x,y,z,theta_1,theta_2,theta_3,theta_4
270100479421700,0,0,26.017698287963867,30.450000762939453,-54.60000228881836,657.27197265625,,,,
270100479421700,0,1,26.880531311035156,11.700000762939453,-175.35000610351562,505.5379943847656,,,,
270100479421700,0,2,27.522123336791992,48.750003814697266,126.45000457763672,541.1119995117188,,,,
270100479421700,0,3,28.495574951171875,118.05000305175781,15.000000953674316,549.823974609375,,,,
270100479421700,0,4,27.234512329101562,92.70000457763672,-38.55000305175781,532.4000244140625,,,,
270100481793200,1,0,26.504425048828125,21.150001525878906,-68.4000015258789,-281.44598388671875,,,,
270100481793200,1,1,27.94247817993164,12.300000190734863,510.45001220703125,-329.84600830078125,,,,
270100481793200,1,2,26.216814041137695,-6.750000476837158,-488.70001220703125,-299.8380126953125,,,,
270100481793200,1,3,28.429203033447266,-478.20001220703125,28.950000762939453,-263.7799987792969,,,,
270100481793200,1,4,27.256637573242188,-480.7500305175781,13.050000190734863,-240.30599975585938,,,,
270100484019400,2,0,27.964601516723633,27.30000114440918,-63.900001525878906,-1501.1259765625,,,,
270100484019400,2,1,28.340707778930664,30.000001907348633,-454.95001220703125,-1305.5899658203125,,,,
270100484019400,2,2,27.4115047454834,49.650001525878906,373.6500244140625,-1351.0859375,,,,
270100484019400,2,3,26.061946868896484,431.5500183105469,15.450000762939453,-1323.98193359375,,,,
270100484019400,2,4,27.676990509033203,373.0500183105469,-7.350000381469727,-1289.6180419921875,,,,
270100496103200,0,0,25.862831115722656,37.05000305175781,-58.35000228881836,653.6419677734375,,,,
270100496103200,0,1,26.92477798461914,5.850000381469727,-175.65000915527344,506.2640075683594,,,,
270100496103200,0,2,27.389381408691406,53.85000228881836,127.50000762939453,546.9199829101562,,,,
270100496103200,0,3,28.473451614379883,112.50000762939453,21.75,547.4039916992188,,,,
270100496103200,0,4,27.389381408691406,104.10000610351562,-41.85000228881836,531.6740112304688,,,,
270100498485300,1,0,26.504425048828125,30.450000762939453,-59.10000228881836,-293.7879943847656,,,,
270100498485300,1,1,27.85398292541504,18.450000762939453,509.5500183105469,-328.3940124511719,,,,
270100498485300,1,2,26.371681213378906,-9.15000057220459,-488.4000244140625,-297.1759948730469,,,,
270100498485300,1,3,28.407079696655273,-479.1000061035156,33.75,-267.1679992675781,,,,
