t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
431886286392000,3,-0.0293,0.7441,0.6621,315.75,22.50,-847.00
431886299465400,4,-0.0352,0.9648,0.2949,-319.95,-326.10,1568.40
431886312849200,5,-0.0078,0.9727,0.1523,160.35,69.00,3425.51
431886325485800,0,0.0137,-0.0078,1.0039,15.00,-48.15,445.04
431886338461400,1,0.0137,0.2480,0.9805,31.95,-1.50,-268.62
431886351409600,2,-0.0195,0.2910,0.9590,-55.05,-139.35,474.56
431886364860400,3,-0.0430,0.6836,0.6934,312.60,20.85,-855.23
431886377583200,4,-0.0566,0.9082,0.3770,-322.50,-325.20,1570.58
431886390479200,5,-0.0469,0.9648,0.2305,162.45,63.75,3432.53
431886403397000,0,0.0176,-0.0059,1.0078,8.10,-54.90,440.68
431886416880900,1,0.0039,0.2168,0.9844,24.90,-0.15,-272.49
431886429486100,2,-0.0312,0.3047,0.9629,-52.05,-135.30,478.19
431886442412100,3,-0.0508,0.7402,0.6719,311.85,23.40,-858.13
431886455903700,4,-0.0703,0.9531,0.3242,-308.40,-324.45,1556.54
431886468410700,5,-0.0625,0.9336,0.2090,158.70,61.95,3425.99
431886481429200,0,0.0176,-0.0039,1.0078,16.35,-50.25,446.49
431886494380000,1,0.0137,0.2305,0.9805,29.85,4.95,-272.25
431886507979500,2,-0.0312,0.3066,0.9629,-47.40,-138.30,477.71
431886520445000,3,-0.0488,0.7070,0.6914,308.55,24.60,-855.47
431886533712700,4,-0.0508,0.9375,0.3594,-307.05,-327.75,1556.54
431886546445200,5,-0.0371,0.9160,0.2129,156.45,70.95,3429.87
431886559824300,0,0.0195,-0.0078,1.0059,15.30,-49.80,447.70
431886572386300,1,0.0156,0.2461,0.9766,29.85,-1.80,-266.93
431886585424600,2,-0.0137,0.2949,0.9609,-51.15,-139.50,481.34
431886598445600,3,-0.0312,0.7070,0.7012,314.40,16.50,-854.74
431886611857000,4,-0.0332,0.9180,0.3887,-312.00,-324.90,1558.48
431886624452500,5,-0.0098,0.9414,0.2695,161.55,66.00,3427.45
431886637443800,0,0.0195,-0.0078,1.0059,20.40,-48.90,444.55
431886650441700,1,0.0078,0.2168,0.9844,26.55,-1.35,-275.64
431886663895500,2,-0.0195,0.2969,0.9609,-55.20,-139.95,476.01
431886676521800,3,-0.0449,0.7500,0.6758,307.95,22.95,-860.79
431886689498600,4,-0.0625,0.9766,0.3320,-315.30,-325.20,1555.33
431886702416600,5,-0.0469,0.9492,0.1973,162.60,70.50,3426.96
431886716201400,0,0.0176,-0.0078,1.0000,16.65,-43.05,453.51
431886728399700,1,0.0039,0.2305,0.9785,25.35,3.45,-278.54
431886741453000,2,-0.0391,0.2988,0.9609,-46.50,-145.35,477.47
431886754475600,3,-0.0605,0.7285,0.6758,313.20,18.90,-849.18
431886767498400,4,-0.0762,0.9648,0.3496,-315.60,-328.95,1560.90
431886780469300,5,-0.0703,0.9727,0.2012,163.80,60.90,3429.62
431886793656200,0,0.0176,-0.0059,1.0117,11.10,-54.15,446.97
431886806418100,1,0.0059,0.2246,0.9824,28.95,-2.10,-278.06
431886819491400,2,-0.0312,0.3086,0.9570,-52.35,-140.10,468.51
431886832420500,3,-0.0449,0.7617,0.6660,309.75,25.35,-850.39
431886845457800,4,-0.0527,0.9941,0.3008,-314.85,-329.85,1562.11
431886858430700,5,-0.0430,0.9941,0.1680,164.55,66.75,3431.08
431886871467300,0,0.0176,-0.0098,1.0059,15.00,-52.50,444.55
431886884493000,1,0.0137,0.2129,0.9883,28.05,-1.05,-275.15
431886897506600,2,-0.0215,0.2852,0.9609,-50.40,-141.00,476.26
431886910521400,3,-0.0312,0.7070,0.6855,317.85,25.95,-853.78
431886923467200,4,-0.0371,0.9629,0.3398,-316.65,-322.20,1569.13
431886936623100,5,-0.0273,0.9902,0.1836,165.90,65.70,3431.32
431886949488400,0,0.0195,-0.0039,1.0098,12.90,-48.30,440.68
431886962423600,1,0.0215,0.2148,0.9844,31.65,3.75,-269.83
431886975468800,2,-0.0137,0.2969,0.9648,-48.30,-136.35,476.01
431886988491100,3,-0.0391,0.7324,0.6797,315.45,18.75,-853.05
431887001500000,4,-0.0469,0.9395,0.3418,-324.00,-325.65,1555.82
431887014446800,5,-0.0312,0.9746,0.2070,161.85,65.85,3432.29
431887027441600,0,0.0156,-0.0098,1.0078,9.60,-45.00,443.10
431887040587400,1,0.0000,0.2207,0.9863,25.35,1.95,-278.06
431887053460500,2,-0.0332,0.2637,0.9707,-47.10,-137.40,476.50
431887066486500,3,-0.0488,0.7031,0.7070,312.00,26.25,-847.73
431887079533300,4,-0.0605,0.9277,0.3809,-309.00,-324.15,1554.61
431887092487900,5,-0.0391,0.9316,0.2520,158.85,68.40,3429.62
431887105458400,0,0.0176,-0.0078,1.0078,12.45,-46.20,443.34
431887118515700,1,-0.0020,0.2051,0.9766,25.20,1.95,-274.91
431887131509100,2,-0.0371,0.2773,0.9766,-50.55,-140.85,472.63
431887144464100,3,-0.0488,0.7012,0.7129,307.35,18.90,-854.99
431887157820300,4,-0.0723,0.9141,0.3984,-309.45,-328.35,1557.27
431887170514200,5,-0.0703,0.9082,0.2852,160.20,68.40,3425.27
431887183471800,0,0.0156,-0.0078,1.0098,13.65,-43.95,439.71
431887196443100,1,0.0059,0.2090,0.9883,29.25,4.35,-272.73
431887209492800,2,-0.0215,0.2832,0.9746,-45.90,-136.20,471.42
431887222509100,3,-0.0391,0.6953,0.7168,306.90,24.30,-859.58
431887235502200,4,-0.0488,0.9199,0.3984,-301.65,-320.40,1557.75
431887248529400,5,-0.0293,0.9141,0.2617,159.15,64.65,3432.04
431887261464900,0,0.0156,-0.0078,1.0078,14.10,-49.05,447.46
431887274572100,1,0.0117,0.2168,0.9844,26.40,-2.55,-274.19
431887287555700,2,-0.0117,0.2754,0.9609,-42.15,-138.30,469.48
431887300488900,3,-0.0234,0.6797,0.7266,310.50,16.20,-860.31
431887313503700,4,-0.0391,0.9082,0.4023,-313.80,-324.15,1558.48
431887326481900,5,-0.0234,0.9336,0.2715,163.65,69.30,3425.75
431887339515300,0,0.0176,-0.0078,1.0078,16.95,-49.95,449.88
431887352466100,1,0.0078,0.1934,0.9844,25.65,6.60,-274.19
431887365519500,2,-0.0215,0.2734,0.9688,-42.45,-143.85,473.59
431887378488900,3,-0.0312,0.7246,0.7051,315.00,21.60,-857.65
431887391562100,4,-0.0527,0.9707,0.3750,-314.10,-321.60,1550.49
431887404495100,5,-0.0371,0.9902,0.2500,164.25,74.25,3417.04
431887417480300,0,0.0156,-0.0117,1.0098,10.80,-45.00,449.88
431887430505300,1,-0.0020,0.1797,0.9922,24.00,5.85,-276.85
431887443573200,2,-0.0273,0.2441,0.9668,-40.05,-136.05,465.37
431887456528300,3,-0.0449,0.6738,0.7324,315.00,22.50,-854.74
431887469523100,4,-0.0625,0.9434,0.3887,-319.80,-325.65,1561.14
431887482787700,5,-0.0508,0.9844,0.2285,165.15,62.10,3433.74
431887495517700,0,0.0156,-0.0059,1.0078,19.95,-51.60,452.06
431887508509200,1,0.0000,0.1895,0.9941,21.60,3.45,-271.04
431887521508300,2,-0.0352,0.2305,0.9824,-41.10,-133.35,474.56
431887534515300,3,-0.0547,0.7031,0.7422,313.20,16.80,-860.55
431887547686600,4,-0.0742,0.9746,0.3945,-316.20,-324.90,1556.06
431887560640500,5,-0.0645,1.0000,0.2539,171.30,63.90,3430.83
431887573494700,0,0.0156,-0.0059,1.0039,9.15,-50.55,446.73
431887586485500,1,0.0078,0.2168,0.9883,27.00,1.65,-272.98
431887599618300,2,-0.0293,0.2383,0.9785,-39.90,-137.85,469.48
431887612550700,3,-0.0508,0.6465,0.7500,318.15,18.15,-860.31
431887625548500,4,-0.0684,0.9551,0.4121,-317.40,-325.95,1560.66
431887638508500,5,-0.0410,1.0020,0.2637,161.25,67.50,3419.22
431887651596500,0,0.0176,-0.0078,1.0098,19.35,-48.45,449.39
431887664528200,1,0.0117,0.2187,0.9863,20.55,0.30,-278.78
431887677520200,2,-0.0195,0.2324,0.9824,-30.30,-138.30,475.77
431887690517500,3,-0.0176,0.5957,0.7910,314.55,17.85,-851.36
431887703537800,4,-0.0352,0.8633,0.5020,-305.40,-328.50,1550.25
431887716572000,5,-0.0234,0.9258,0.3613,167.70,63.00,3423.82
431887729550800,0,0.0137,-0.0078,1.0059,17.25,-50.55,455.93
431887742508800,1,0.0137,0.2012,0.9902,17.85,-3.15,-275.15
431887755522800,2,-0.0137,0.2148,0.9902,-19.20,-132.90,462.46
431887768566200,3,-0.0527,0.6074,0.7988,304.65,16.50,-861.52
431887781604800,4,-0.0723,0.8594,0.5332,-303.60,-327.90,1550.74
431887794522500,5,-0.0508,0.9277,0.4316,163.05,66.75,3423.57
431887807758100,0,0.0156,-0.0078,1.0059,12.75,-47.25,446.49
431887820518600,1,0.0098,0.2168,0.9902,18.00,-4.20,-268.86
431887833547600,2,-0.0469,0.0410,0.9961,-3.45,-139.35,456.65
431887846534900,3,-0.0781,0.5020,0.8613,310.80,14.70,-861.28
431887859671900,4,-0.0625,0.8691,0.6250,-287.10,-327.60,1543.23
431887872584800,5,-0.0625,0.8926,0.5020,168.90,66.45,3417.77
431887885632400,0,0.0156,-0.0020,1.0117,15.00,-45.60,446.97
431887898519800,1,0.0215,0.2344,0.9961,11.25,0.30,-268.86
431887911564400,2,-0.0312,0.1191,0.9961,16.20,-142.20,458.83
431887924610900,3,-0.0215,0.4316,0.9160,290.55,22.95,-867.09
431887937564200,4,-0.0059,0.7598,0.7070,-278.25,-320.55,1550.98
431887950627900,5,0.0059,0.7871,0.6191,171.60,62.40,3416.07
431887963573600,0,0.0156,-0.0078,1.0059,16.65,-57.30,452.78
431887976561100,1,-0.0020,0.1328,0.9844,5.25,7.35,-268.62
431887989660600,2,-0.0410,0.0742,1.0078,23.70,-137.85,461.01
431888002543800,3,-0.0430,0.3652,0.9590,265.05,17.55,-869.75
431888015607700,4,-0.0703,0.6504,0.8027,-248.70,-326.10,1543.48
431888028546400,5,-0.0820,0.6504,0.7187,169.65,63.30,3411.23
431888041550200,0,0.0176,-0.0059,1.0039,12.60,-54.75,452.54
431888054513900,1,-0.0059,0.1816,0.9980,9.75,1.80,-271.77
431888067555000,2,-0.0449,0.0508,0.9980,32.70,-136.80,460.53
431888080587900,3,-0.0723,0.2461,0.9824,235.20,16.50,-870.96
431888093697800,4,-0.1035,0.4512,0.8711,-222.30,-327.60,1534.52
431888106554700,5,-0.1016,0.4961,0.8008,169.65,72.00,3404.94
431888119534100,0,0.0117,-0.0137,1.0059,16.05,-46.35,443.83
431888132916800,1,-0.0254,0.1504,0.9824,2.85,0.60,-269.35
431888145592700,2,-0.0703,0.0391,0.9883,44.70,-144.15,467.54
431888158582300,3,-0.1055,0.1660,1.0020,207.30,11.85,-868.05
431888171627000,4,-0.1309,0.2578,0.9941,-204.00,-323.70,1530.17
431888184564900,5,-0.1113,0.3535,0.9785,174.45,64.35,3408.57
431888197599700,0,0.0117,-0.0039,1.0117,18.75,-40.65,452.78
431888210597300,1,-0.0176,0.1699,0.9980,9.75,-0.30,-266.44
431888223600400,2,-0.0937,0.0234,1.0020,34.65,-142.65,470.45
431888236565900,3,-0.0781,0.1758,0.9824,166.95,9.90,-867.81
431888249642200,4,-0.1055,0.3711,0.9219,-153.45,-321.00,1533.55
431888262731500,5,-0.1426,0.2480,0.8672,163.65,65.70,3397.92
431888275576300,0,0.0059,-0.0098,1.0039,17.70,-49.35,439.23
431888288581300,1,0.0293,0.1836,1.0176,12.30,3.75,-275.15
431888301631900,2,-0.0586,0.1348,1.0078,35.85,-142.80,471.17
431888314558000,3,-0.0977,0.2285,0.9961,175.50,10.95,-872.89
431888327602000,4,-0.1055,0.3848,0.9414,-179.85,-316.05,1531.38
431888340577500,5,-0.0762,0.4238,0.8965,169.65,66.30,3405.91
431888353677300,0,0.0254,-0.0098,1.0020,16.95,-48.15,454.48
431888366560100,1,0.0508,0.1328,1.0078,5.85,1.20,-273.46
431888379630300,2,0.0391,-0.0352,0.9883,34.05,-139.35,463.43
431888392573200,3,0.0410,0.1309,1.0117,194.25,12.60,-871.44
431888405636200,4,0.0703,0.3555,0.9434,-204.30,-319.35,1544.44
431888418574200,5,0.1230,0.5039,0.8730,168.75,63.60,3408.81
431888431570700,0,0.0156,-0.0039,1.0059,21.45,-48.45,450.60
431888444557000,1,0.0273,0.0605,1.0000,6.45,0.30,-274.19
431888457822900,2,-0.0156,-0.0605,1.0137,15.15,-138.15,464.88
431888470623600,3,-0.0566,0.2715,0.9766,199.05,7.35,-882.09
431888483644100,4,-0.0996,0.5254,0.9180,-199.50,-323.70,1527.99
431888496635700,5,-0.1543,0.5430,0.8730,175.95,68.10,3417.52
431888509592600,0,0.0117,-0.0039,1.0059,16.05,-46.65,443.59
431888522545400,1,0.0312,0.1270,1.0117,9.00,2.70,-270.07
431888535651500,2,-0.0215,0.0996,1.0254,20.25,-138.45,459.56
431888548619200,3,-0.0410,0.2988,0.9902,203.85,8.70,-878.94
431888561616700,4,-0.0430,0.6016,0.8672,-206.10,-314.10,1541.30
431888574701000,5,-0.0293,0.5664,0.8105,169.80,66.30,3413.65
431888587648400,0,-0.0039,-0.0684,1.0000,21.60,-44.70,442.62
431888600589300,1,-0.0137,0.0293,1.0000,6.75,4.35,-273.70
431888613639900,2,-0.0176,-0.0020,1.0293,7.65,-136.05,467.06
431888626596500,3,-0.0371,0.1895,0.9902,209.85,5.25,-876.28
431888639630000,4,-0.0234,0.4023,0.8828,-215.10,-317.25,1547.83
431888652597300,5,0.0078,0.5332,0.8047,172.20,64.80,3410.99
431888665637300,0,-0.0039,0.1426,1.0078,24.30,-48.30,435.12
431888678618400,1,0.0605,0.1230,1.0137,10.95,4.65,-272.98
431888691649300,2,0.0410,0.0449,1.0078,-6.90,-133.20,471.66
431888704609100,3,-0.0469,0.2637,0.9355,220.20,20.40,-871.20
431888717644600,4,-0.0332,0.3848,0.8965,-232.05,-317.10,1547.35
431888730639000,5,0.0371,0.6387,0.9316,176.25,73.65,3409.05
431888743608200,0,0.0391,-0.0098,1.0156,18.30,-49.65,447.94
431888756593700,1,0.0137,-0.4258,0.9941,4.80,0.15,-271.77
431888769760700,2,-0.0332,-0.2812,1.0293,-9.45,-140.10,466.82
431888782773800,3,-0.0664,0.1328,1.0918,205.80,17.10,-875.31
431888795687800,4,-0.1094,0.4902,0.9492,-229.50,-324.60,1541.06
431888808948700,5,-0.1250,0.5508,1.0020,185.10,66.30,3401.79
431888821649300,0,0.0000,-0.0527,1.0117,27.15,-43.35,441.41
431888834615500,1,0.0488,-0.1211,1.0078,-7.65,4.20,-271.52
431888847618500,2,-0.0234,-0.0039,1.0293,12.75,-144.30,463.19
431888860653900,3,-0.1152,0.4180,0.9980,167.70,16.95,-868.78
431888873843600,4,-0.1719,0.7441,0.7930,-164.40,-322.80,1540.57
431888886684500,5,-0.0449,0.4570,0.7168,164.55,64.35,3411.47
431888899691200,0,-0.0039,-0.0566,1.0215,21.15,-50.40,438.50
431888912606300,1,0.0703,0.0391,1.0352,-0.60,6.90,-265.23
431888925650200,2,-0.0332,0.0000,0.9688,16.65,-150.60,453.51
431888938695600,3,-0.0527,-0.0859,1.0176,169.95,17.70,-881.12
431888951669300,4,-0.0898,0.1289,1.0547,-162.15,-318.15,1538.15
431888964678800,5,-0.0996,0.2109,1.0020,169.80,69.00,3404.21
431888977627700,0,0.0293,0.0586,1.0020,24.15,-47.10,442.86
431888990629600,1,0.0625,-0.1582,1.0117,-4.80,6.30,-276.61
431889003681000,2,0.0566,0.0117,1.0156,28.50,-145.35,458.83
431889017043700,3,0.0020,0.2520,1.0098,138.00,6.45,-877.25
431889029712900,4,0.0352,0.2949,0.9375,-144.15,-317.25,1535.01
431889042631800,5,0.0898,0.2422,0.9609,164.85,75.45,3405.42
431889055683900,0,0.0039,-0.0078,1.0078,16.95,-48.90,446.01
431889068680700,1,0.0352,-0.0156,1.0195,-0.30,-3.45,-279.99
431889081690300,2,0.0430,-0.1016,1.0000,26.55,-139.35,462.22
431889094626700,3,0.0117,0.1406,0.9961,144.45,3.90,-873.14
431889107752300,4,0.0273,0.2949,0.9805,-170.10,-315.45,1542.02
431889120645400,5,0.0508,0.3984,0.9863,176.25,63.75,3411.47
431889134021800,0,0.0234,0.0918,1.0215,24.15,-47.70,444.31
431889146628500,1,0.0234,0.0352,1.0332,-3.45,3.45,-283.38
431889159674100,2,0.0059,-0.1035,0.9902,28.20,-141.60,460.53
431889172673500,3,0.0527,0.0430,1.0273,136.50,4.35,-877.01
431889185787200,4,-0.0879,0.2910,0.9941,-156.15,-316.20,1535.73
431889198640900,5,-0.0742,0.3008,0.9336,163.95,64.95,3404.21
431889211684900,0,0.0293,0.0039,1.0059,24.30,-47.70,449.15
431889224689300,1,0.0156,-0.0312,1.0098,-4.65,7.80,-273.70
431889237675200,2,-0.0684,-0.0020,1.0195,31.20,-141.30,465.12
431889250665000,3,-0.1445,0.1055,1.0137,117.00,5.25,-881.61
431889263684700,4,-0.1875,0.2012,0.9668,-146.70,-322.65,1536.46
431889276698000,5,-0.2031,0.2266,0.9473,179.85,61.80,3399.13
