t_pc_ns,sync_id,state,description
431886276238000,100,MARKER_UPDATE,ArUco ID 100
431887291844200,101,MARKER_UPDATE,ArUco ID 101
431888300271600,102,MARKER_UPDATE,ArUco ID 102
431889315882700,103,MARKER_UPDATE,ArUco ID 103
431890332501200,104,MARKER_UPDATE,ArUco ID 104
431891332923000,105,MARKER_UPDATE,ArUco ID 105
431892349195000,106,MARKER_UPDATE,ArUco ID 106
431893350903400,107,MARKER_UPDATE,ArUco ID 107
431894365754400,108,MARKER_UPDATE,ArUco ID 108
431895383274700,109,MARKER_UPDATE,ArUco ID 109
431896399034300,110,MARKER_UPDATE,ArUco ID 110
431897408189700,111,MARKER_UPDATE,ArUco ID 111
431898424189200,112,MARKER_UPDATE,ArUco ID 112
431899432295500,113,MARKER_UPDATE,ArUco ID 113
431900449836300,114,MARKER_UPDATE,ArUco ID 114
431901464726700,115,MARKER_UPDATE,ArUco ID 115
431902466444900,116,MARKER_UPDATE,ArUco ID 116
431903473891100,117,MARKER_UPDATE,ArUco ID 117
431904482216100,118,MARKER_UPDATE,ArUco ID 118
431905499723200,119,MARKER_UPDATE,ArUco ID 119
431906507107900,120,MARKER_UPDATE,ArUco ID 120
431907524584700,121,MARKER_UPDATE,ArUco ID 121
431908532071300,122,MARKER_UPDATE,ArUco ID 122
431909540367100,123,MARKER_UPDATE,ArUco ID 123
431910548688500,124,MARKER_UPDATE,ArUco ID 124
431911549501900,125,MARKER_UPDATE,ArUco ID 125
431912565300200,126,MARKER_UPDATE,ArUco ID 126
431913582941400,127,MARKER_UPDATE,ArUco ID 127
431914606924700,128,MARKER_UPDATE,ArUco ID 128
431915607731500,129,MARKER_UPDATE,ArUco ID 129
431916607748500,130,MARKER_UPDATE,ArUco ID 130
431917607778300,131,MARKER_UPDATE,ArUco ID 131
431918623481400,132,MARKER_UPDATE,ArUco ID 132
431919624279400,133,MARKER_UPDATE,ArUco ID 133
431920640091400,134,MARKER_UPDATE,ArUco ID 134
431921640155100,135,MARKER_UPDATE,ArUco ID 135
431922648417600,136,MARKER_UPDATE,ArUco ID 136
431923665034600,137,MARKER_UPDATE,ArUco ID 137
431924665112600,138,MARKER_UPDATE,ArUco ID 138
431925673713100,139,MARKER_UPDATE,ArUco ID 139
431926689932400,140,MARKER_UPDATE,ArUco ID 140
431927707325900,141,MARKER_UPDATE,ArUco ID 141
431928715712000,142,MARKER_UPDATE,ArUco ID 142
431929731536300,143,MARKER_UPDATE,ArUco ID 143
431930740735200,144,MARKER_UPDATE,ArUco ID 144
431931757313100,145,MARKER_UPDATE,ArUco ID 145
431932773867200,146,MARKER_UPDATE,ArUco ID 146
431933773902300,147,MARKER_UPDATE,ArUco ID 147
431934781495400,148,MARKER_UPDATE,ArUco ID 148
431935790474400,149,MARKER_UPDATE,ArUco ID 149
431936790592300,150,MARKER_UPDATE,ArUco ID 150
431937806377500,151,MARKER_UPDATE,ArUco ID 151
431938814166000,152,MARKER_UPDATE,ArUco ID 152
431939814634400,153,MARKER_UPDATE,ArUco ID 153
431940823761400,154,MARKER_UPDATE,ArUco ID 154
431941832681700,155,MARKER_UPDATE,ArUco ID 155
431942839550400,156,MARKER_UPDATE,ArUco ID 156
431943847880500,157,MARKER_UPDATE,ArUco ID 157
431944848677700,158,MARKER_UPDATE,ArUco ID 158
431945872854600,159,MARKER_UPDATE,ArUco ID 159
431946889054400,160,MARKER_UPDATE,ArUco ID 160
431947889409600,161,MARKER_UPDATE,ArUco ID 161
431948889418500,162,MARKER_UPDATE,ArUco ID 162
431949897721200,163,MARKER_UPDATE,ArUco ID 163
431950906024200,164,MARKER_UPDATE,ArUco ID 164
