frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,431902061152231,nan,nan,3.5660,-1.6466,2.6112,2.3761,-0.4936,1.7405,1.1338,1.7330,-0.5739,2.0882,0.2521
1,431902091664629,nan,nan,-1.0273,0.8207,1.8279,2.0362,-0.3929,1.8103,1.4944,0.8592,1.5305,0.9171,-0.4449
2,431902122177026,nan,nan,4.2844,-2.2356,0.8824,2.6876,-0.4240,1.6776,0.6339,1.5857,-0.0706,2.5524,1.4136
3,431902152689424,nan,nan,2.9009,-2.0587,1.8004,1.6452,0.1021,1.9237,1.0675,1.2700,0.9232,1.1120,-0.0058
4,431902183201821,nan,nan,4.5712,-2.8587,0.1820,1.6652,-0.4188,2.4309,0.9389,1.5152,0.4961,1.5931,0.9009
5,431902213714219,nan,nan,2.6387,-2.1386,0.8036,2.2787,-0.5786,2.8399,1.2049,1.2973,0.8999,0.5278,2.9528
6,431902244226616,nan,nan,1.4335,-2.2467,2.3451,2.3378,-0.3423,1.9302,0.9828,1.5119,-0.7233,2.8158,1.2993
7,431902274739014,nan,nan,4.8690,-3.1876,0.9643,2.2209,-0.4246,1.8013,0.2073,2.1470,0.8492,0.7757,1.7154
8,431902305251411,nan,nan,0.5203,0.9676,0.8966,2.4137,-0.8344,1.6699,0.0151,2.3669,1.0824,0.7893,0.6747
9,431902335763809,nan,nan,0.7078,1.2311,1.5000,1.5924,-0.6931,2.0767,-0.8060,2.8689,0.7106,0.5445,0.0572
10,431902366276206,nan,nan,1.4077,-1.4939,2.2770,1.6694,-0.5651,1.1585,0.1220,2.5974,0.2806,1.3028,0.8683
11,431902396788604,nan,nan,0.7358,0.7246,2.1179,0.8593,-0.6282,1.6489,0.1164,2.7414,0.5950,0.5408,2.7995
12,431902427301001,nan,nan,2.0739,-0.8446,1.1923,0.9573,-0.3534,2.0922,-0.6862,2.4771,0.4743,1.3191,2.5086
13,431902457813399,nan,nan,nan,-0.3596,0.5882,0.4201,0.6259,0.8276,0.2182,1.7886,1.2452,0.6934,3.5038
14,431902488325796,nan,nan,1.8245,-1.8561,2.3989,0.5664,0.3712,0.3198,0.9067,1.3914,0.8822,1.5911,1.6691
15,431902518838194,nan,nan,0.8688,-0.1664,1.6062,0.3306,-0.0249,0.3672,0.7555,1.1812,-0.1150,2.0812,2.6453
16,431902549350591,nan,nan,1.1167,-0.3360,1.3340,1.2477,-1.4965,0.1621,1.0071,1.3231,0.0570,1.9510,2.0302
17,431902579862989,nan,nan,-1.2646,0.4554,1.1859,0.7156,-1.1430,0.2505,0.9503,1.3889,0.0483,1.4666,1.5888
18,431902610375386,nan,nan,0.7659,-1.4962,1.4863,0.2431,0.1907,0.2153,0.8857,0.0462,1.3380,1.3086,1.7081
19,431902640887784,nan,nan,1.8170,-2.6673,3.0451,0.3861,-0.6829,0.3246,1.1476,0.3177,1.2234,0.8474,1.8941
20,431902671400181,nan,nan,2.7909,-1.9571,1.0815,0.3130,-0.1658,0.6362,0.2604,0.3405,1.8627,0.7766,1.1248
21,431902701912579,nan,nan,1.1727,-2.3218,1.7010,0.7667,0.5402,-0.0361,0.5146,0.9298,1.2461,0.7661,-0.6492
22,431902732424976,nan,nan,-1.4046,0.3806,1.2160,1.2793,-0.1122,1.5176,0.3696,1.2058,0.9365,0.8856,nan
23,431902762937374,nan,nan,5.5843,-3.6045,2.5334,2.4645,0.4960,1.5216,2.2731,0.6026,0.9239,0.8368,nan
24,431902793449771,nan,nan,0.9923,-2.0299,3.4091,2.1756,1.2814,2.3633,2.2104,2.0204,-0.6991,1.7548,nan
25,431902823962169,nan,nan,5.4197,-3.9127,2.3688,2.5499,0.9628,2.7583,1.6904,2.8543,0.2024,0.8254,1.2238
26,431902854474566,nan,nan,-0.7664,0.1638,3.6201,2.4778,1.0702,3.1322,1.9396,2.4488,0.5301,0.3891,1.6086
27,431902884986964,nan,nan,1.5375,-0.1743,3.6780,2.2155,1.0303,3.0635,1.8180,2.8466,0.8968,0.2094,2.5908
28,431902915499361,nan,nan,-0.5648,1.8408,0.9659,3.2049,1.0663,1.9093,2.4638,1.4368,0.8072,1.0025,1.3186
29,431902946011759,nan,nan,2.4889,-0.2375,1.4944,2.6464,1.1387,1.5944,1.6317,1.0406,0.9901,0.2263,2.4062
30,431902976524156,nan,nan,0.7665,-0.8059,1.6389,2.4210,0.3189,1.8705,1.1304,0.9432,2.1340,0.0457,0.4831
31,431903007036554,nan,nan,-0.6085,0.0198,1.7428,2.2911,0.5797,1.8129,1.1158,0.6116,1.4282,1.1807,1.5704
32,431903037548951,nan,nan,1.7314,-0.8134,2.6348,2.1320,0.6375,1.6826,0.7709,1.7159,0.6709,1.0674,2.6600
33,431903068061349,nan,nan,2.3213,-0.7624,1.4758,2.5333,1.1718,1.7253,0.0434,2.6037,0.6392,0.4541,1.3009
34,431903098573746,nan,nan,nan,-1.2905,1.6916,2.0317,2.1279,1.3301,0.6248,2.3262,0.8225,1.1587,-0.9726
35,431903129086144,nan,nan,0.7215,-0.0299,1.6838,2.5836,1.2289,2.7728,0.3050,1.6254,1.2355,0.9493,1.4155
36,431903159598541,nan,nan,-0.1542,-0.7772,2.9638,2.8429,1.3621,2.9408,0.3814,2.2363,0.7914,0.9019,2.2280
37,431903190110939,nan,nan,1.3490,-0.6330,2.9872,3.2039,1.7897,2.3770,1.1568,1.5370,0.8774,1.2020,3.3875
38,431903220623336,nan,nan,-0.1949,0.8760,1.8437,2.5794,1.9809,2.4158,1.1930,1.2957,1.7231,1.2316,2.6654
39,431903251135734,nan,nan,3.4652,-0.2409,0.0688,3.0873,1.7388,2.8561,1.8026,0.4603,1.2388,1.2695,2.6450
40,431903281648131,nan,nan,1.1819,0.1802,1.8880,3.3714,1.3803,2.5850,2.2840,0.4781,1.6098,0.9218,2.9384
41,431903312160529,nan,nan,-0.1422,-0.5749,2.9537,2.5269,2.2883,2.0957,1.8222,1.0937,1.0851,1.2649,1.8238
42,431903342672926,nan,nan,1.2602,-0.6446,2.5083,3.4149,2.4301,2.1221,2.0885,0.0335,1.7147,1.0774,0.3953
43,431903373185324,nan,nan,1.9174,-1.2694,3.2408,2.8812,2.1398,2.9175,1.4061,0.7651,1.6980,0.9300,2.3289
44,431903403697721,nan,nan,0.6887,0.6027,2.8443,2.4304,2.5287,1.6827,2.4285,0.6058,1.7161,0.5269,2.2263
45,431903434210119,nan,nan,3.6312,-3.5276,2.0907,3.0598,2.5633,1.9001,2.1166,0.6960,1.4045,0.4585,2.9266
46,431903464722516,nan,nan,3.4469,-2.6540,3.2432,3.0356,2.9329,1.4285,2.2480,1.0069,1.6186,0.1806,2.5519
47,431903495234914,nan,nan,0.0720,1.0292,2.7396,5.8238,-0.7798,2.3254,1.9703,0.5810,1.9327,0.2333,3.1891
48,431903525747311,nan,nan,2.1304,1.1974,0.8206,3.4251,1.9980,2.1243,2.2497,0.2109,1.5157,1.4985,2.3936
49,431903556259709,nan,nan,-0.0040,1.2051,1.6288,3.1468,2.8014,1.9821,1.8745,0.4884,1.4022,1.5867,1.5584
