frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1878429081750610,-22.2030,-27.9306,-29.1902,-20.7152,-12.9990,-8.9360,-3.9972,0.5563,2.7155,nan,nan,nan,nan
1,1878429114611059,-22.2183,-27.9234,-29.1615,-20.7321,-13.0512,-8.8874,-4.0150,0.5491,2.2747,nan,nan,nan,nan
2,1878429147471507,-22.4659,-27.5183,-29.4155,-20.7280,-13.0760,-8.8691,-4.0073,0.5195,2.0198,0.9598,-0.3558,0.8305,-0.8969
3,1878429180331955,-22.7128,-27.5833,-29.1677,-20.9616,-13.1114,-8.9864,-3.9015,0.4918,1.8966,0.9302,-0.3229,0.6813,0.5459
4,1878429213192404,-23.0549,-27.1408,-29.2531,-20.9927,-13.1703,-9.0159,-3.7723,0.4461,1.8504,0.7965,-0.1400,0.4463,0.3769
5,1878429246052852,-23.1819,-26.9568,-29.4683,-20.8705,-13.3194,-9.8126,-3.7376,0.1968,1.9006,0.6069,0.3659,-0.0341,0.8406
6,1878429278913301,-23.1899,-26.8897,-29.3696,-21.0378,-13.4370,-10.2896,-3.7665,0.4230,1.5905,0.4970,1.1354,-0.3787,nan
7,1878429311773749,-23.0709,-26.8985,-29.2018,-21.0878,-13.5288,-9.6967,-4.5159,1.1050,1.6140,0.9262,0.9180,nan,nan
8,1878429344634198,-23.0563,-27.2517,-28.8202,-21.1086,-13.5125,-10.0943,-4.2863,0.7163,1.8941,1.0512,1.4519,nan,nan
9,1878429377494646,-23.0328,-27.4252,-28.5558,-21.2775,-13.4251,-9.6640,-4.0748,0.4779,1.9422,1.1608,nan,nan,nan
10,1878429410355095,-22.9094,-27.5730,-28.4347,-21.3978,-13.4630,-10.1864,-3.9739,0.3881,2.0939,nan,nan,nan,nan
11,1878429443215543,-22.8479,-27.5705,-28.4727,-21.3557,-13.4129,-9.7496,-3.8584,0.3528,2.2296,nan,nan,nan,nan
12,1878429476075991,-22.7163,-27.5819,-28.4731,-21.4328,-13.3660,-9.4797,-3.8562,0.3137,nan,nan,nan,nan,nan
13,1878429508936440,-22.6101,-27.2613,-29.1361,-21.0707,-13.4609,-9.3557,-3.7334,0.4284,nan,nan,nan,nan,nan
14,1878429541796888,-22.5223,-27.3263,-29.0522,-21.2634,-13.4765,-9.2744,-3.7761,0.4104,nan,nan,nan,nan,nan
15,1878429574657337,-22.6577,-27.0351,-29.2080,-21.3800,-13.4409,-9.1740,-3.6992,0.3924,nan,nan,nan,nan,nan
16,1878429607517785,-22.7822,-26.7686,-29.3003,-21.4343,-13.6099,-9.4027,-3.6082,0.3744,nan,nan,nan,nan,nan
17,1878429640378234,-22.8814,-26.6372,-29.3310,-21.4755,-13.6313,-10.6600,-2.4326,0.3564,nan,nan,nan,nan,nan
18,1878429673238682,-22.8805,-26.6536,-29.4047,-21.3781,-13.6283,-10.0906,-3.2530,0.3383,nan,nan,nan,nan,nan
19,1878429706099131,-23.0040,-26.7345,-29.3867,-21.4427,-13.5177,-9.7331,-3.5658,0.3203,nan,nan,nan,nan,nan
20,1878429738959579,-23.1506,-26.9348,-29.4953,-21.4476,-13.0351,-9.8245,-3.5742,0.3023,nan,nan,nan,nan,nan
21,1878429771820028,-23.1562,-26.9619,-29.4197,-21.4207,-12.8760,-10.2863,-4.0679,0.2843,nan,nan,nan,nan,nan
22,1878429804680476,-22.9653,-26.8675,-28.8736,-22.0678,-12.8627,-9.5544,-4.0202,0.2663,nan,nan,nan,nan,nan
23,1878429837540924,-23.0764,-26.7746,-29.1184,-21.9064,-11.9638,-7.9234,-3.9724,0.2483,nan,nan,nan,nan,nan
24,1878429870401373,-22.8157,-26.6965,-28.9483,-21.0107,-12.6916,-8.3601,-3.9246,0.2302,nan,nan,nan,nan,nan
25,1878429903261821,-22.6148,-26.6254,-29.2463,-21.2554,-12.9562,-8.5196,-3.8769,0.2122,nan,nan,nan,nan,nan
26,1878429936122270,-22.4989,-26.6042,-29.2875,-21.6399,-13.0524,-8.9827,-3.7287,0.1942,nan,nan,nan,nan,nan
27,1878429968982718,-22.3358,-27.1369,-29.0423,-21.3519,-13.4567,-9.2376,-3.4538,0.1762,nan,nan,nan,nan,nan
28,1878430001843167,-22.2898,-27.0318,-28.9403,-22.2273,-12.7098,-9.2292,-3.3519,0.1582,nan,nan,nan,nan,nan
29,1878430034703615,-22.4429,-26.8676,-28.9074,-22.8472,-12.5869,-9.1171,-3.1613,-0.3768,nan,nan,nan,nan,nan
30,1878430067564064,-22.4874,-26.7753,-28.9632,-23.1332,-12.2410,-9.1394,-3.2507,-0.2171,2.4043,1.0658,nan,nan,nan
31,1878430100424512,-22.3970,-26.8927,-28.7404,-22.3698,-12.9484,-9.1589,-3.3875,0.0533,2.3081,1.3742,0.7845,nan,nan
32,1878430133284960,-22.2870,-26.9143,-28.9213,-21.8953,-13.1544,-9.1371,-3.5214,0.4196,2.0530,1.1276,0.3946,nan,nan
33,1878430166145409,-22.3145,-26.8221,-28.9120,-21.2846,-13.2944,-9.0836,-3.4421,0.2132,2.0820,3.5802,0.2694,nan,nan
34,1878430199005857,-22.4743,-26.6744,-28.9404,-20.8310,-13.5285,-9.0591,-3.3916,0.1216,2.1037,3.0481,0.1443,nan,nan
