frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1026436373527589,nan,0.1104,0.3247,4.2358,1.4168,-0.2738,0.6303,1.7855,-0.5592,0.9054,0.2023,0.5362,0.7614
1,1026436406522374,-2.5230,-0.3077,1.0207,3.6636,1.2925,-0.3987,0.8403,1.1902,-0.0744,0.4815,0.2329,1.0310,0.5409
2,1026436439517159,-3.0002,0.2853,1.7394,2.7172,1.9498,-0.5316,0.8519,1.1529,-0.2754,0.7002,-0.5369,1.5831,-0.2130
3,1026436472511944,-2.2116,0.3994,1.3538,2.8345,1.9610,-0.3236,0.2819,1.3957,-0.0316,0.4513,0.4147,1.1928,0.6605
4,1026436505506728,-1.4230,-1.2767,1.5277,3.0263,1.5717,-0.6526,0.9871,0.9252,-0.4110,1.1422,0.8339,-0.0129,-0.0460
5,1026436538501513,-2.0739,-0.6442,1.1743,3.3305,1.3662,-0.0227,0.1021,1.3683,-0.2266,0.9673,0.6045,-0.0614,0.5047
6,1026436571496298,-3.2292,0.8982,1.4287,2.9064,1.3231,0.2225,0.0228,1.3650,-0.4655,1.1397,0.7036,0.1645,0.4221
7,1026436604491083,-1.4969,-1.2781,1.9565,2.3448,1.8905,-0.0365,0.8366,0.6261,-0.2512,1.0821,1.0953,0.3390,-1.4826
8,1026436637485867,-2.0729,0.1564,1.8077,4.0578,0.5318,-0.3767,0.4504,1.1381,-0.2844,1.2185,1.3495,-0.3528,-0.0849
9,1026436670480652,-1.9601,0.5452,1.3289,4.2555,-0.1210,-0.1841,0.6804,1.2390,-0.2761,1.0826,1.0477,-0.2835,0.2102
10,1026436703475437,-1.3200,0.6063,1.0604,3.6512,0.8338,-0.2274,0.3913,1.1868,-0.1880,0.7978,0.9645,0.3538,-0.3910
11,1026436736470222,-1.9787,0.8289,1.0927,3.5625,1.0573,-0.1657,0.0767,1.6348,-0.5017,0.9745,-0.5070,1.0461,-0.4732
12,1026436769465007,-1.7570,0.7215,1.2752,3.2049,0.9327,0.2680,-0.4307,1.4498,-0.1248,0.8349,-0.7774,1.3674,0.2050
13,1026436802459791,-1.7481,0.6078,1.2320,3.7529,0.5571,-0.1163,-0.1645,1.6072,-0.2337,0.6066,0.0024,0.6126,0.4785
14,1026436835454576,-2.6040,0.6419,0.8731,4.0867,0.7607,-0.2289,-0.1760,1.3569,-0.0326,0.8088,0.6402,-0.2625,-0.0556
15,1026436868449361,-3.0253,0.5668,0.9560,4.2131,0.6197,-0.4115,0.4648,1.2322,-0.2853,1.0525,0.7569,-0.4378,0.9573
16,1026436901444146,-2.9976,0.2755,1.3641,3.2394,1.4889,-0.3860,0.9216,0.7421,-0.0230,0.4440,0.0962,0.6030,0.1879
17,1026436934438930,-1.9506,0.3236,1.6679,3.4154,0.9392,-0.4041,1.1223,1.1466,-0.4909,0.8863,0.6116,0.2246,-0.0870
18,1026436967433715,-3.0334,-0.1358,1.5075,3.8421,0.9840,-0.5726,1.2813,0.8131,-0.5113,1.1317,0.0677,0.7340,0.7734
19,1026437000428500,-3.5345,0.4023,1.6361,3.7365,0.5282,-0.8514,1.2975,0.9519,-0.3504,1.4823,-0.6955,1.0982,0.3778
20,1026437033423285,-3.4162,0.9423,1.0728,3.2736,0.9342,-0.3374,1.0951,0.6235,-0.2621,1.3625,1.2470,-0.5546,-0.0825
21,1026437066418069,-2.2344,-0.2765,1.2788,4.1397,-0.2607,-0.5524,1.1100,0.3685,-0.1737,1.2427,-0.1052,0.6267,0.7281
22,1026437099412854,-2.3093,0.0818,0.9694,2.5748,1.2779,-0.7753,0.8731,0.9157,-0.4714,0.6857,0.7331,0.4330,-1.1728
23,1026437132407639,-2.2231,-0.1269,0.8754,3.5731,0.3478,-0.9671,1.1686,0.4546,-0.1985,0.4993,1.7741,-0.3724,-0.0409
24,1026437165402424,-3.1133,0.4592,0.2668,2.9165,1.5137,-0.9771,0.7958,0.1644,0.0745,0.3128,0.9248,-0.0701,-0.0453
25,1026437198397209,-1.8945,-0.2689,0.7779,3.5281,1.1053,-1.9147,0.7646,0.0930,0.3536,0.4229,0.4867,0.2897,0.0467
26,1026437231391993,-2.9520,0.7713,0.7593,2.3026,1.5768,-1.3906,0.7794,0.4565,-0.3908,0.7491,0.5150,0.2471,0.1613
27,1026437264386778,-1.8562,-0.2921,0.8784,2.8913,0.4253,-0.9495,0.5987,0.4335,-0.0323,0.6747,-0.2700,1.0135,0.4328
28,1026437297381563,-1.6350,-0.8601,0.9715,2.8510,0.6249,-0.9023,-0.5416,0.5133,0.3261,0.6004,0.7185,0.1752,0.2771
29,1026437330376348,-3.0918,1.2958,0.5390,3.4188,-0.5498,-1.0792,0.3851,0.4127,-0.3214,0.5814,0.0576,0.7877,-0.6252
30,1026437363371132,-2.4220,1.1474,1.1169,1.5605,0.0775,-1.3436,0.0230,1.1006,-0.8359,0.6887,0.0075,0.4365,-0.9269
31,1026437396365917,-1.7522,0.0819,1.9712,1.6707,-0.3711,-1.3717,-0.0889,0.3207,-0.3942,0.9472,0.7624,-0.0203,-0.7286
32,1026437429360702,-0.7669,-0.2220,1.9187,1.2685,-0.3775,-1.4449,-0.2532,0.1097,-0.3307,0.2487,0.3989,0.8563,-0.3371
33,1026437462355487,-1.2736,0.1018,0.8909,3.0048,-0.6147,-1.3894,-0.4476,0.5736,-1.0118,-0.0377,-0.5872,1.7824,0.2268
34,1026437495350271,-2.0177,0.7216,0.3700,3.5914,-1.2238,-1.4983,-0.5561,-0.2226,0.1006,0.0428,-1.0188,1.9791,0.9477
35,1026437528345056,-1.7490,0.5987,1.3615,2.4551,-1.1652,-1.6236,-0.0389,-0.8073,-0.0755,1.0656,-0.8211,1.2240,-0.5165
36,1026437561339841,-1.5118,0.3328,1.1397,2.6216,-1.4667,-1.1495,-0.2249,0.0099,-1.2353,0.8456,0.5138,0.3366,0.2450
37,1026437594334626,-2.7579,1.8956,1.0342,2.9096,-2.0071,-1.3778,-0.2130,0.3885,-1.0176,1.0917,-0.7164,1.1035,0.8734
