frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
38,1111638443381129,-0.6559,-1.5354,-2.7589,1.2593,-3.4378,1.6839,2.0939,2.2834,-0.7375,-0.1865,-1.1207,1.2353,-3.6442
39,1111638476930100,-0.6526,-1.5442,-3.0177,1.9772,-4.0216,2.1730,1.8105,2.1135,-1.0414,0.4889,-0.8877,1.0325,-3.0220
40,1111638510479071,-0.5273,-1.4673,-3.3202,1.5261,-3.6464,2.2271,2.1727,1.9641,-0.7273,0.1329,-0.8300,0.8045,3.0077
41,1111638544028042,-0.6930,-1.9713,-3.0976,2.0366,-3.7419,2.2107,2.5659,1.9903,-0.8300,0.3500,-0.2481,0.2870,4.5272
42,1111638577577012,-0.4361,-2.1432,-2.9086,1.4623,-3.2801,1.9382,2.6545,1.9962,-0.7423,0.3837,-0.6548,0.8941,4.6999
43,1111638611125983,-0.9642,-1.8721,-2.0975,0.8731,-3.1064,2.3840,2.3148,1.9624,-0.8131,0.4908,-1.2851,1.4457,4.8725
44,1111638644674954,-1.2114,-1.6471,-2.2574,1.5397,-3.8412,2.2133,2.3020,2.4293,-1.0466,0.3844,-0.5773,0.9273,4.0693
45,1111638678223925,-0.1254,-2.0457,-3.0657,1.5779,-3.3646,2.3882,2.1266,2.0110,-0.8328,0.2441,-0.3549,0.8664,3.2660
46,1111638711772896,-0.3839,-1.8323,-3.0726,1.8283,-3.8814,2.1351,2.3138,1.8777,-0.7116,0.2254,-0.3912,0.4769,2.4627
47,1111638745321866,-2.4096,-2.0787,-2.7912,0.8388,-3.1162,1.4380,2.6360,1.4511,-0.3933,0.4199,-0.6071,1.0441,-2.9850
48,1111638778870837,0.1845,-2.2894,-3.6114,3.8510,-6.1746,2.0501,1.9559,2.0482,-0.7791,0.0614,-0.3972,1.0584,-1.0108
49,1111638812419808,-0.3860,-1.7901,-3.3111,1.7998,-3.9318,0.7715,2.4042,1.7305,-0.8674,0.3297,-0.6757,1.0758,0.9633
50,1111638845968779,-0.8045,-1.4643,-3.0897,-0.4180,-2.3642,1.2274,2.0962,1.2199,-0.9617,-0.1722,-0.6163,1.6254,2.9375
51,1111638879517750,-0.9930,-1.0557,-3.5812,1.2064,-3.8662,1.1796,1.9152,0.8736,-1.1175,0.4001,-0.9823,1.5198,4.2238
52,1111638913066720,-0.5354,-1.8797,-3.4927,1.9277,-4.9265,1.5534,1.5630,1.1699,-1.0876,0.2633,-0.1003,0.7293,0.9766
53,1111638946615691,-0.8226,-1.9141,-3.7964,-1.1297,-1.6810,1.5288,1.5376,1.3018,-1.3737,0.4458,-0.2149,0.8129,2.7462
54,1111638980164662,-1.2044,-1.8141,-3.2712,2.2449,-5.3462,1.3770,1.0361,1.2672,-1.0409,0.1681,-0.7137,0.4868,2.4054
55,1111639013713633,-1.0414,-1.6671,-2.3079,0.6529,-4.4630,0.7014,1.3106,0.8190,-0.7750,0.1827,-0.4626,0.0221,3.4346
56,1111639047262604,-0.4995,-2.0544,-4.1801,0.5665,-2.6220,0.3709,1.1510,0.9136,-1.4629,0.1451,-0.3947,0.4956,3.5422
57,1111639080811574,-0.6143,-1.7012,-4.1398,-0.0222,-3.0333,0.5259,1.2450,0.6015,-1.4447,0.0912,-0.4331,0.9451,2.5853
58,1111639114360545,-0.3390,-1.8378,-3.7942,1.8705,-5.4214,0.5975,0.7551,0.4740,-1.1533,-0.2410,-0.8755,1.0780,2.4303
59,1111639147909516,-0.1317,-2.0143,-3.7087,-1.3310,-2.6290,0.3606,1.1020,-0.0087,-1.2732,0.3438,-1.5314,0.9283,-4.2604
60,1111639181458487,-0.7742,-2.0114,-2.5881,0.8212,-5.9006,0.2919,0.5981,0.2512,-1.3510,-0.2562,-2.5524,2.8470,2.6792
61,1111639215007458,-0.6278,-2.0002,-3.1261,0.3211,-4.6246,-0.2692,0.7201,0.1789,-1.4323,-0.4760,-1.0695,1.9378,0.2198
62,1111639248556428,-0.4631,-2.1034,-2.6438,0.6731,-5.2977,-0.6924,0.7111,0.6531,-1.4084,-0.7038,-2.0046,3.0406,-2.2396
63,1111639282105399,-0.1989,-1.8818,-2.9335,0.2764,-5.0158,-0.5236,0.8744,0.4225,-1.7599,-0.1526,-1.3500,2.0241,-4.6990
64,1111639315654370,-0.1839,-2.1025,-3.0795,1.1053,-5.7871,-0.0989,0.9400,0.4451,-1.6426,-0.0208,-1.8830,2.3790,-3.0362
65,1111639349203341,-0.2073,-2.2218,-3.1259,1.1701,-5.5108,-0.0331,0.8899,0.3102,-1.1487,-0.1494,-1.8000,2.0540,-4.0752
66,1111639382752312,0.4001,-2.0460,-3.5022,0.8564,-5.5877,0.2546,1.4069,-0.0915,-0.7324,-0.4426,-1.4676,1.9788,-5.1142
67,1111639416301282,0.1365,-1.9498,-3.1424,0.5699,-5.1684,-0.2666,1.1308,0.5682,-0.8479,-0.0050,-1.6112,1.7168,-3.9452
68,1111639449850253,-0.0679,-1.4228,-3.8401,1.1637,-5.2925,-0.0059,0.6234,0.7833,-1.3130,-0.0053,-1.2061,1.2984,-1.8032
69,1111639483399224,-0.8119,-1.1375,-2.4547,-0.2557,-4.8737,-0.3110,0.7863,0.9714,-1.7515,-0.1288,-1.7091,2.3857,0.3389
70,1111639516948195,-0.2410,-0.8299,-3.6662,1.2313,-5.2822,-0.0721,0.6105,0.8564,-1.7970,0.0096,-0.1967,0.6272,2.8967
71,1111639550497166,-0.0759,-1.3988,-3.1868,0.8346,-4.8467,-0.1383,0.7305,0.6538,-1.4155,-0.1159,-1.5315,1.8403,3.4225
72,1111639584046136,-0.1014,-1.8574,-2.8724,0.9772,-4.9988,-0.1271,1.3970,0.0503,-1.4333,-0.0197,-1.1808,1.1838,2.9986
73,1111639617595107,0.1774,-2.5936,-1.7323,1.1382,-5.5505,0.1638,1.2386,0.2250,-1.4511,0.0764,-0.0712,0.3434,-1.1400
74,1111639651144078,0.1301,-2.0477,-2.2731,0.6824,-5.1442,0.6217,0.3374,1.0700,-1.1616,0.0715,-2.0177,2.1525,-0.2079
75,1111639684693049,0.2945,-1.7999,-3.0280,1.8110,-5.5803,0.1444,0.8676,1.0637,-1.0734,-0.2744,-0.4182,1.8387,5.3081
76,1111639718242020,0.2018,-1.6984,-3.3288,2.5582,-5.8529,0.5751,0.5405,1.2022,-1.5009,-0.0480,-0.5705,1.7398,3.4387
77,1111639751790990,0.2818,-1.9163,-2.7487,1.1968,-4.9937,0.4140,1.4736,0.8988,-1.0407,-0.1395,-0.7563,1.5837,3.6016
78,1111639785339961,0.3300,-1.5595,-3.1800,1.3858,-5.1516,0.5399,1.3946,1.3464,-0.8789,0.1803,-0.5520,0.5549,4.5882
79,1111639818888932,-0.0690,-1.3510,-3.3765,-0.6593,-2.7606,0.8188,1.3342,1.3711,-0.6869,0.0229,-2.0191,2.0926,2.1845
80,1111639852437903,0.0075,-1.4397,-3.2381,1.7411,-5.0959,1.0870,1.8959,1.5227,-1.4542,0.4775,-1.4924,1.3244,4.6091
81,1111639885986874,0.2262,-1.5712,-3.1221,1.6753,-4.9832,1.1015,2.0551,1.2304,-1.0215,0.2653,-0.6023,0.7265,4.5433
82,1111639919535844,-0.0803,-1.4469,-4.2899,2.8446,-4.7478,1.2247,1.7536,1.5947,-1.1708,0.5088,-1.7000,1.4734,-4.2907
83,1111639953084815,0.0691,-1.7115,-4.0828,2.3128,-4.3750,1.2966,1.8592,1.5089,-1.0074,0.2643,-1.7522,1.5192,-3.8598
84,1111639986633786,-0.1034,-1.4335,-3.7887,1.9130,-4.1543,1.1475,2.0380,1.2842,-0.9088,0.2823,-2.0267,2.1958,-4.5638
85,1111640020182757,0.0728,-1.6512,-3.2878,1.7027,-4.3295,1.4802,1.7098,1.4397,-0.9597,0.5107,-1.5606,1.2826,-3.7306
86,1111640053731728,-0.3098,-1.5027,-3.4552,2.0080,-4.4558,1.5016,1.3193,1.8477,-0.9552,0.3002,-1.4808,1.5455,-1.0455
87,1111640087280698,-0.2029,-0.9856,-3.5986,1.5914,-4.1563,1.2502,1.5624,1.5781,-0.6958,0.2833,-0.3672,0.4367,1.6395
88,1111640120829669,-0.0656,-1.2020,-3.3399,1.0461,-3.8463,1.4737,1.2857,2.0155,-1.1066,0.3200,-1.8573,2.0601,0.9023
89,1111640154378640,-0.0694,-1.2551,-3.3654,-0.7224,-2.3643,1.5438,1.6262,2.0314,-1.4007,-0.0170,-1.7787,2.0209,0.1650
90,1111640187927611,0.0642,-1.8243,-2.9474,1.4585,-4.2754,0.9552,2.2320,1.4142,-1.3337,0.2731,-1.4968,2.0262,-0.5722
91,1111640221476582,-0.3704,-2.0451,-2.6591,1.8409,-4.6896,1.2211,1.6890,1.6120,-1.2068,0.4462,-1.4335,1.2256,-1.3095
92,1111640255025553,-0.0397,-2.3162,-2.8109,1.7465,-4.8086,1.3705,1.8780,1.5545,-1.2297,-0.1647,-1.0467,1.3952,-2.0467
93,1111640288574523,-0.2373,-2.2686,-2.8792,2.6715,-5.5988,1.0696,2.0259,1.0848,-1.2999,0.0429,-1.0522,1.4645,-2.7840
94,1111640322123494,-0.2336,-2.3367,-2.6087,1.9470,-5.0751,1.2503,1.6967,0.7161,-0.9817,-0.0332,-0.9462,1.1760,3.2214
95,1111640355672465,-0.2662,-1.9788,-2.7237,2.0181,-5.2884,0.8880,2.0302,0.3403,-0.8845,-0.1229,-0.7763,1.0644,4.2216
96,1111640389221436,-0.2722,-1.8226,-2.4443,1.6696,-5.0536,0.5388,1.9934,0.5401,-0.8690,-0.3381,-1.6257,2.1006,-1.5015
97,1111640422770407,0.1757,-1.7769,-2.3091,1.7429,-5.1210,0.3110,1.8264,0.8858,-1.1276,-0.5066,-1.2925,1.9748,-2.6099
98,1111640456319377,0.0611,-1.5126,-2.4977,1.1741,-4.4663,0.3422,1.4415,0.8260,-0.8411,-0.2568,-2.2540,2.6177,-3.7182
99,1111640489868348,0.1171,-1.3984,-1.7207,0.1759,-4.4950,0.6804,1.1415,1.2453,-1.1064,-0.0122,-0.6640,1.3062,-4.8266
100,1111640523417319,0.2006,-1.5984,-2.0835,1.5901,-4.8006,0.6515,1.1947,1.0780,-1.2336,-0.0701,-0.4566,0.8598,-5.2200
101,1111640556966290,0.2482,-1.6430,-2.1560,1.0825,-4.4837,1.0018,1.4956,0.5366,-1.3310,0.1658,-0.5270,0.6641,-2.3489
102,1111640590515261,0.1866,-1.6121,-1.7572,0.8786,-4.3615,0.6507,1.4165,1.3451,-1.3419,0.1549,-1.2509,1.2839,2.3474
103,1111640624064231,-0.2890,-1.1051,-2.2609,-2.2794,-0.8337,0.8760,1.5715,0.8085,-0.7654,-0.0625,-0.0694,0.2028,4.2074
104,1111640657613202,-0.2470,-1.3155,-2.0513,1.3694,-4.0201,0.9848,1.2393,1.4124,-0.9644,-0.0160,-0.2182,0.1213,3.4174
105,1111640691162173,0.0743,-1.5085,-1.9990,1.7030,-4.4716,1.2036,1.5675,0.8385,-0.2878,-0.1454,-0.1127,0.2239,2.6275
106,1111640724711144,-0.0530,-1.1603,-2.3501,-0.6750,-1.7976,0.9769,2.4933,0.8403,-0.4448,0.1151,-0.5940,0.5368,2.3528
107,1111640758260115,-0.0580,-1.1882,-2.3052,0.8593,-3.5261,1.8356,2.1677,1.0318,-0.5160,-0.1166,0.0987,0.5750,2.3923
108,1111640791809085,0.4014,-1.3562,-1.9978,0.7456,-3.8673,2.7052,2.2074,1.5322,-0.7470,-0.0578,-0.2770,0.3890,3.5908
109,1111640825358056,0.4204,-1.1802,-1.8579,1.0511,-3.6679,2.3590,2.6006,1.1732,-0.5089,0.4135,-0.6590,0.5458,3.4081
110,1111640858907027,0.2405,-1.0512,-1.9206,0.7149,-3.2009,2.4363,2.6162,1.7432,-0.3109,0.4283,-1.4153,1.8596,2.8138
111,1111640892455998,0.8094,-1.3554,-1.8418,0.9343,-3.6503,2.7027,3.0526,2.3796,-0.9475,0.3611,-1.0332,1.6297,5.1766
112,1111640926004969,0.2434,-1.0231,-2.5597,1.6288,-3.1737,2.6572,3.1514,2.4304,-0.5843,0.4305,0.2168,0.7771,2.2329
113,1111640959553939,0.3890,-1.3572,-2.4298,1.6316,-2.9961,2.7615,3.0457,2.3402,-0.2000,0.4166,-1.4173,2.1543,2.5492
