frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1111637691141798,0.5292,3.2951,3.7411,-0.2459,1.1516,-2.3243,0.0897,-0.9901,2.5339,-0.1094,-0.8568,0.1591,0.1512
1,1111637724876293,0.2595,2.6240,3.7937,-0.2916,0.2180,-2.3476,-0.0930,-1.2279,1.7125,0.3125,-0.8781,0.7906,0.1877
2,1111637758610787,0.2885,2.7334,3.8462,-0.3373,1.3582,-2.2556,-0.0149,-2.5939,2.5265,0.3626,-0.2275,-0.2518,5.3121
3,1111637792345281,-0.2848,3.4216,3.1616,0.5389,1.2927,-2.2459,0.0010,-2.7020,3.3459,0.2133,0.7558,-1.0705,3.4110
4,1111637826079775,-0.2201,3.3449,3.3997,-0.2740,2.0661,-2.3707,0.2694,-2.4165,3.1320,-0.0350,1.0485,-1.7499,4.6190
5,1111637859814270,-0.1865,2.8839,3.6105,-0.5927,2.4903,-2.3313,-0.8297,-2.3345,2.2517,-0.2897,1.2101,-1.9346,2.0793
6,1111637893548764,0.1514,3.1649,3.0441,-0.3273,2.2532,-2.3195,-0.4834,-1.7567,2.0283,-0.2496,-0.0990,-0.7147,1.6302
7,1111637927283258,0.1458,3.4666,2.8549,-0.5158,2.5201,-2.6764,-0.0621,-1.5413,1.4798,-0.3899,-0.8569,0.6725,1.1811
8,1111637961017752,0.8093,3.4440,2.3729,-0.1372,1.6624,-2.6692,0.0568,-2.2388,2.9076,-0.1713,-0.9045,0.5364,0.1026
9,1111637994752247,1.2369,3.2205,2.7000,-0.3731,1.2739,-2.8128,0.3237,-2.4398,3.4753,0.2628,-1.1758,1.1429,3.2972
10,1111638028486741,2.0113,2.8902,3.1124,-1.2049,0.9968,-2.7873,-0.2202,-2.1520,3.7936,0.3564,-0.7158,0.8247,2.6147
11,1111638062221235,2.1957,2.6028,3.5990,-0.9892,-0.1692,-3.1536,0.0145,-1.7600,3.3814,0.2778,-0.7323,0.7745,2.2466
12,1111638095955729,2.3178,2.1422,3.5295,-0.8453,0.0333,-3.1377,-0.5268,-1.0836,3.3538,0.1712,-0.8417,0.9011,1.8785
