t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
165117072704500,0,0.0254,-0.0098,1.0059,43.35,-46.05,461.74
165117085728300,1,-0.0059,-0.8340,0.5391,-146.55,26.25,-279.03
165117098743500,2,-0.0156,-0.9746,-0.3242,223.65,-171.75,481.82
165117111912700,3,-0.0234,-0.7793,-0.5918,-56.85,96.00,-757.70
165117124724700,4,-0.0117,-0.8125,-0.6055,49.95,-429.30,1597.20
165117137715400,5,-0.0352,-0.8281,-0.5293,151.35,80.10,3480.69
165117150687200,0,0.0234,-0.0098,1.0039,48.00,-55.65,466.09
165117163729600,1,-0.0039,-0.8359,0.5410,-151.65,25.95,-280.48
165117176747100,2,-0.0176,-0.9746,-0.3262,223.95,-171.90,480.61
165117189777500,3,-0.0215,-0.7793,-0.5918,-53.70,104.70,-763.27
165117202789400,4,-0.0156,-0.8105,-0.6055,38.55,-423.15,1601.07
165117215744500,5,-0.0332,-0.8262,-0.5332,151.65,81.90,3475.12
165117228743300,0,0.0215,-0.0039,1.0078,46.50,-51.45,462.95
165117241739200,1,-0.0039,-0.8359,0.5410,-145.80,24.75,-277.33
165117254874900,2,-0.0176,-0.9727,-0.3242,222.60,-171.60,480.85
165117267736000,3,-0.0195,-0.7793,-0.5918,-62.25,98.70,-768.35
165117280744800,4,-0.0156,-0.8105,-0.6074,39.60,-418.50,1596.47
165117293723500,5,-0.0254,-0.8203,-0.5312,151.35,83.25,3486.74
165117306724300,0,0.0273,-0.0078,1.0039,45.45,-49.05,466.33
165117319721200,1,0.0000,-0.8418,0.5371,-144.75,22.80,-273.46
165117332736500,2,-0.0137,-0.9766,-0.3203,220.65,-175.80,485.45
165117345728200,3,-0.0195,-0.7773,-0.5898,-58.95,99.30,-763.99
165117358798200,4,-0.0098,-0.8125,-0.5996,44.70,-422.70,1601.80
165117371786900,5,-0.0312,-0.8242,-0.5273,151.20,76.65,3484.07
165117384765200,0,0.0234,-0.0098,1.0059,45.15,-49.80,470.45
165117397746200,1,-0.0039,-0.8359,0.5391,-148.95,28.35,-280.48
165117410736300,2,-0.0156,-0.9727,-0.3281,225.60,-175.50,481.82
165117423804100,3,-0.0195,-0.7793,-0.5898,-56.40,109.80,-764.96
165117436801500,4,-0.0117,-0.8125,-0.6074,42.45,-419.70,1604.22
165117449811500,5,-0.0273,-0.8262,-0.5332,150.45,80.85,3485.53
165117462726900,0,0.0254,-0.0078,1.0059,52.05,-52.65,463.67
165117475759500,1,-0.0039,-0.8379,0.5410,-143.10,32.40,-280.48
165117488781400,2,-0.0137,-0.9746,-0.3262,223.35,-173.25,473.84
165117501915000,3,-0.0234,-0.7812,-0.5918,-55.20,102.00,-769.08
165117514768200,4,-0.0117,-0.8105,-0.6074,42.60,-421.20,1614.62
165117527751200,5,-0.0273,-0.8242,-0.5254,150.45,79.95,3473.18
165117540717900,0,0.0273,-0.0098,1.0117,45.75,-49.35,465.12
165117553748100,1,-0.0039,-0.8379,0.5391,-145.65,25.05,-275.88
165117566769200,2,-0.0137,-0.9727,-0.3223,219.60,-176.10,483.52
165117579813200,3,-0.0234,-0.7832,-0.5898,-54.60,104.55,-771.74
165117592809700,4,-0.0098,-0.8125,-0.6113,44.40,-424.80,1606.88
165117605830200,5,-0.0312,-0.8242,-0.5332,151.20,77.25,3481.41
165117618779700,0,0.0254,-0.0078,1.0039,48.45,-49.50,458.83
165117631888700,1,-0.0039,-0.8379,0.5371,-148.20,24.30,-277.09
165117644780000,2,-0.0156,-0.9727,-0.3301,222.75,-174.75,481.34
165117657864400,3,-0.0234,-0.7812,-0.5918,-58.80,94.95,-768.11
165117670831600,4,-0.0117,-0.8105,-0.6094,45.15,-421.35,1598.41
165117683774800,5,-0.0312,-0.8262,-0.5312,153.15,81.90,3475.36
165117696754500,0,0.0254,-0.0098,1.0059,43.80,-51.75,464.88
165117709768800,1,-0.0020,-0.8340,0.5410,-141.90,23.55,-274.43
165117722786800,2,-0.0176,-0.9746,-0.3281,223.80,-177.45,484.73
165117735833700,3,-0.0215,-0.7793,-0.5898,-58.50,100.65,-770.53
165117748795000,4,-0.0156,-0.8145,-0.5996,47.10,-417.30,1610.03
165117761767200,5,-0.0312,-0.8262,-0.5254,152.10,83.55,3480.44
165117774763000,0,0.0234,-0.0078,1.0078,40.05,-52.95,468.75
165117787766200,1,-0.0039,-0.8359,0.5371,-143.70,30.45,-286.29
165117800820400,2,-0.0137,-0.9766,-0.3223,223.35,-169.05,472.14
