t_ns,board_id,sensor_id,t,x,y,z
260157250317500,0,0,24.380531311035156,31.650001525878906,-61.05000305175781,659.2080078125
260157250317500,0,1,25.243362426757812,9.450000762939453,-179.25,510.135986328125
260157250317500,0,2,25.331857681274414,45.60000228881836,124.95000457763672,556.8419799804688
260157250317500,0,3,26.570796966552734,116.10000610351562,15.750000953674316,550.7919921875
260157250317500,0,4,25.796459197998047,99.9000015258789,-41.70000076293945,539.41796875
260157252539500,1,0,24.889381408691406,31.05000114440918,-61.35000228881836,-280.9620056152344
260157252539500,1,1,26.415929794311523,17.400001525878906,516.4500122070312,-333.7179870605469
260157252539500,1,2,24.40265464782715,-3.3000001907348633,-498.9000244140625,-300.5639953613281
260157252539500,1,3,26.814159393310547,-486.3000183105469,34.35000228881836,-261.1180114746094
260157252539500,1,4,25.44247817993164,-491.5500183105469,14.850000381469727,-239.82200622558594
260157254739300,2,0,26.592920303344727,26.850000381469727,-65.85000610351562,-1514.43603515625
260157254739300,2,1,26.814159393310547,16.350000381469727,-460.5000305175781,-1325.1920166015625
260157254739300,2,2,26.039823532104492,45.150001525878906,367.0500183105469,-1361.25
260157254739300,2,3,25.044248580932617,441.7500305175781,11.700000762939453,-1338.260009765625
260157254739300,2,4,26.460176467895508,380.1000061035156,-1.2000000476837158,-1298.0880126953125
260157267013300,0,0,24.535398483276367,26.700000762939453,-62.250003814697266,665.7420043945312
260157267013300,0,1,25.13274383544922,5.100000381469727,-172.20001220703125,502.3919982910156
260157267013300,0,2,25.553096771240234,50.10000228881836,129.0,547.4039916992188
260157267013300,0,3,26.681415557861328,116.55000305175781,19.5,550.7919921875
260157267013300,0,4,25.553096771240234,103.35000610351562,-42.150001525878906,536.9979858398438
260157269223700,1,0,24.955751419067383,30.150001525878906,-58.20000076293945,-290.3999938964844
260157269223700,1,1,26.283185958862305,13.350000381469727,513.0,-348.9639892578125
260157269223700,1,2,24.40265464782715,0.45000001788139343,-493.6500244140625,-309.760009765625
260157269223700,1,3,26.969026565551758,-488.1000061035156,35.10000228881836,-262.81201171875
260157269223700,1,4,25.486724853515625,-474.1500244140625,21.150001525878906,-233.77200317382812
260157271440200,2,0,26.504425048828125,23.100000381469727,-69.60000610351562,-1524.842041015625
260157271440200,2,1,26.880531311035156,19.200000762939453,-464.70001220703125,-1328.822021484375
260157271440200,2,2,26.349557876586914,46.95000076293945,374.25,-1365.1219482421875
260157271440200,2,3,24.84513282775879,437.5500183105469,9.15000057220459,-1342.8580322265625
260157271440200,2,4,26.305309295654297,374.4000244140625,-2.1000001430511475,-1297.845947265625
260157283718000,0,0,24.446903228759766,25.950000762939453,-60.30000305175781,663.8059692382812
260157283718000,0,1,25.06637191772461,12.300000190734863,-173.25,511.10400390625
260157283718000,0,2,25.553096771240234,48.30000305175781,130.5,552.969970703125
260157283718000,0,3,26.54867172241211,116.70000457763672,15.450000762939453,556.3579711914062
260157283718000,0,4,25.59734535217285,96.0,-43.5,537.4819946289062
260157285933500,1,0,24.756637573242188,27.600000381469727,-60.150001525878906,-285.802001953125
260157285933500,1,1,26.415929794311523,15.300000190734863,518.4000244140625,-331.0559997558594
260157285933500,1,2,24.57964515686035,-5.700000286102295,-492.45001220703125,-306.8559875488281
260157285933500,1,3,26.592920303344727,-484.5000305175781,33.30000305175781,-257.0039978027344
260157285933500,1,4,25.199115753173828,-486.3000183105469,16.5,-235.46600341796875
260157288143000,2,0,26.637168884277344,25.05000114440918,-67.95000457763672,-1527.261962890625
260157288143000,2,1,27.035398483276367,16.350000381469727,-451.8000183105469,-1316.238037109375
260157288143000,2,2,26.216814041137695,47.10000228881836,377.8500061035156,-1350.3599853515625
260157288143000,2,3,24.77876091003418,443.4000244140625,9.90000057220459,-1335.35595703125
260157288143000,2,4,26.216814041137695,380.5500183105469,1.350000023841858,-1292.0379638671875
260157300429900,0,0,24.137168884277344,28.650001525878906,-64.05000305175781,658.9660034179688
260157300429900,0,1,25.176990509033203,10.5,-178.0500030517578,508.20001220703125
260157300429900,0,2,25.641592025756836,47.55000305175781,132.60000610351562,553.93798828125
260157300429900,0,3,26.482301712036133,115.95000457763672,16.950000762939453,558.052001953125
260157300429900,0,4,25.752212524414062,97.20000457763672,-42.150001525878906,545.468017578125
260157302640900,1,0,24.77876091003418,38.55000305175781,-62.70000076293945,-279.7519836425781
260157302640900,1,1,26.3938045501709,16.350000381469727,508.5000305175781,-331.2980041503906
260157302640900,1,2,24.49114990234375,-5.25,-488.1000061035156,-298.385986328125
260157302640900,1,3,26.90265464782715,-486.6000061035156,35.55000305175781,-258.2139892578125
260157302640900,1,4,25.486724853515625,-488.4000244140625,12.15000057220459,-229.89999389648438
260157304844500,2,0,26.570796966552734,22.950000762939453,-69.0,-1520.2440185546875
260157304844500,2,1,27.05752182006836,16.350000381469727,-462.3000183105469,-1324.7080078125
260157304844500,2,2,26.172565460205078,46.20000076293945,380.25,-1357.3780517578125
260157304844500,2,3,24.756637573242188,435.45001220703125,6.900000095367432,-1341.406005859375
260157304844500,2,4,26.172565460205078,373.0500183105469,-0.30000001192092896,-1289.8599853515625
260157317132700,0,0,24.40265464782715,22.5,-60.45000076293945,657.0299682617188
260157317132700,0,1,25.398229598999023,6.750000476837158,-167.70001220703125,505.7799987792969
260157317132700,0,2,25.37610626220703,49.20000076293945,127.35000610351562,546.1939697265625
260157317132700,0,3,26.61504364013672,121.80000305175781,18.450000762939453,551.5180053710938
260157317132700,0,4,25.774335861206055,103.05000305175781,-44.25,535.5460205078125
260157319332700,1,0,24.889381408691406,30.900001525878906,-57.000003814697266,-291.1260070800781
260157319332700,1,1,26.570796966552734,15.600000381469727,513.1500244140625,-333.7179870605469
260157319332700,1,2,24.55752182006836,-9.90000057220459,-493.8000183105469,-290.6419982910156
260157319332700,1,3,26.792036056518555,-487.3500061035156,40.95000076293945,-266.4419860839844
260157319332700,1,4,25.37610626220703,-486.3000183105469,13.65000057220459,-239.5800018310547
260157321559100,2,0,26.703540802001953,27.600000381469727,-66.9000015258789,-1522.6639404296875
260157321559100,2,1,26.969026565551758,18.450000762939453,-465.7500305175781,-1323.498046875
260157321559100,2,2,26.305309295654297,43.05000305175781,376.5,-1357.135986328125
