t_ns,board_id,sensor_id,t,x,y,z,in_label_time,t_frame_ns,theta_1,theta_2,theta_3,theta_4
262713985921400,0,0,25.59734535217285,25.950000762939453,-65.25,650.97998046875,false,,,,,
262713985921400,0,1,26.659292221069336,9.15000057220459,-173.5500030517578,502.8760070800781,false,,,,,
262713985921400,0,2,26.880531311035156,45.0,130.0500030517578,546.4359741210938,false,,,,,
262713985921400,0,3,27.964601516723633,117.1500015258789,23.25,548.3720092773438,false,,,,,
262713985921400,0,4,27.013275146484375,97.50000762939453,-51.150001525878906,534.093994140625,false,,,,,
262713988110900,1,0,26.54867172241211,23.400001525878906,-59.250003814697266,-284.833984375,false,,,,,
262713988110900,1,1,27.85398292541504,19.80000114440918,506.5500183105469,-339.0419921875,false,,,,,
262713988110900,1,2,26.194690704345703,-7.350000381469727,-484.20001220703125,-301.2900085449219,false,,,,,
262713988110900,1,3,28.119468688964844,-483.9000244140625,30.150001525878906,-257.4880065917969,false,,,,,
262713988110900,1,4,27.05752182006836,-476.5500183105469,15.15000057220459,-241.2740020751953,false,,,,,
262713990341700,2,0,28.14159393310547,32.25,-61.650001525878906,-1503.7879638671875,false,,,,,
262713990341700,2,1,28.296459197998047,16.05000114440918,-463.3500061035156,-1302.4439697265625,false,,,,,
262713990341700,2,2,27.36725616455078,43.5,367.95001220703125,-1345.52001953125,false,,,,,
262713990341700,2,3,26.150442123413086,426.7500305175781,9.600000381469727,-1319.384033203125,false,,,,,
262713990341700,2,4,27.610618591308594,373.95001220703125,-3.6000001430511475,-1283.3260498046875,false,,,,,
262714002607000,0,0,25.486724853515625,30.750001907348633,-56.10000228881836,648.0759887695312,false,,,,,
262714002607000,0,1,26.482301712036133,5.100000381469727,-174.90000915527344,504.81201171875,false,,,,,
262714002607000,0,2,27.14601707458496,45.900001525878906,126.45000457763672,544.7420043945312,false,,,,,
262714002607000,0,3,27.920352935791016,115.35000610351562,16.5,551.2760009765625,false,,,,,
262714002607000,0,4,27.14601707458496,100.05000305175781,-37.20000076293945,535.5460205078125,false,,,,,
262714004824900,1,0,26.305309295654297,27.900001525878906,-55.80000305175781,-290.3999938964844,false,,,,,
262714004824900,1,1,27.87610626220703,17.25,510.9000244140625,-339.5260009765625,false,,,,,
262714004824900,1,2,26.194690704345703,-5.100000381469727,-488.4000244140625,-299.35400390625,false,,,,,
262714004824900,1,3,28.429203033447266,-487.20001220703125,30.450000762939453,-255.552001953125,false,,,,,
262714004824900,1,4,27.07964515686035,-480.3000183105469,15.000000953674316,-233.77200317382812,false,,,,,
262714007023700,2,0,27.964601516723633,27.000001907348633,-64.5,-1504.5140380859375,false,,,,,
262714007023700,2,1,28.38495635986328,29.400001525878906,-460.95001220703125,-1302.4439697265625,false,,,,,
262714007023700,2,2,27.234512329101562,50.55000305175781,369.1500244140625,-1351.3280029296875,false,,,,,
262714007023700,2,3,26.150442123413086,435.0000305175781,16.200000762939453,-1327.85400390625,false,,,,,
262714007023700,2,4,27.676990509033203,365.25,-2.8500001430511475,-1278.72802734375,false,,,,,
