frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,1643444318492309,28.3813,28.3724,28.2663,20.7644,11.2374,3.8724,1.8702,0.5495,1.8908,1.1872,-2.0887,-14.8038,nan
1,1643444351393050,28.4694,28.2491,28.2837,20.7933,11.1806,3.9286,1.8708,1.0062,2.0820,0.5807,-2.0349,-12.2339,nan
2,1643444384293792,28.9181,28.3164,28.3068,20.8386,11.1881,3.8083,2.5820,0.1180,2.1983,0.6779,-1.3642,-9.7059,-12.7110
3,1643444417194533,29.4330,28.3272,28.2515,21.0195,10.7490,4.0370,2.3903,0.0404,2.3146,0.7752,-1.4701,-9.7708,-12.2986
4,1643444450095274,29.7931,28.3193,28.0290,21.0464,10.3429,4.0817,2.7504,0.0498,2.2671,0.9209,-1.9235,-6.9840,-11.8863
5,1643444482996015,29.6797,28.2459,28.0552,21.2105,10.6463,4.0248,2.2835,0.4137,2.2532,0.7544,-2.0315,-7.6418,-9.2892
6,1643444515896756,29.6133,27.9475,27.4560,22.2820,10.6457,4.0391,2.0859,0.4118,2.3148,0.6613,-1.8822,-8.9333,-6.6921
7,1643444548797497,29.0988,28.2477,27.0668,22.7212,10.8808,3.9073,1.9922,0.4099,2.3764,0.5683,-0.6615,-10.1204,-4.3679
8,1643444581698239,29.0444,28.2601,26.8060,22.9103,11.2199,3.8086,1.8746,0.5155,2.4379,0.4752,-1.1147,-10.3524,-3.7691
9,1643444614598980,29.4020,27.9871,26.5419,23.4464,10.9122,3.8932,1.6621,0.6939,2.1680,0.5475,-1.4128,-10.3149,-3.1704
10,1643444647499721,29.3594,28.2441,26.5880,23.4874,10.7253,4.1575,1.3022,0.6486,2.0094,0.6324,-1.6151,-9.9834,-5.1160
11,1643444680400462,29.1728,28.1803,26.7348,23.1236,11.1271,4.1405,1.4890,0.6481,1.4766,0.7661,-2.0332,-9.6078,-5.7170
12,1643444713301203,28.7587,28.3105,27.5031,22.4757,10.9793,4.0902,1.6463,0.3711,1.6453,0.6415,-2.2850,-9.3479,-6.5041
