t_frame_ns,theta_1,theta_2,theta_3,theta_4,quality
609712247067400,0.5400,-0.6011,1.0794,0.5729,1
609712281754900,0.5644,-0.0496,0.5183,0.5729,1
609712319213600,0.5349,0.4960,-0.0273,0.5729,1
609712358743000,0.5495,0.4960,-0.0273,0.5729,1
609712396914100,0.5400,-0.0400,0.5183,-0.0431,1
609712438120900,0.5548,0.5055,-0.0273,0.5729,1
609712481865300,0.5495,-0.0496,0.5183,1.1890,1
609712521136300,0.5495,-0.0393,0.5080,1.1824,1
609712556677300,0.5495,-0.0393,0.5080,1.1824,1
609712590759600,1.0699,-0.0400,0.5183,0.5729,1
609712629938200,0.5495,-0.0496,0.5183,-0.0366,1
609712670569100,0.5400,-0.0400,0.5183,-0.0302,1
609712704704600,0.5400,-0.0400,0.5183,0.5729,1
609712749615400,0.5400,-0.0400,0.5183,0.5729,1
609712786944500,0.5400,-0.0400,0.5183,-0.0366,1
609712841025600,0.5498,0.4999,0.5183,-0.0431,1
609712880606800,0.5302,0.5153,-0.0273,0.5729,1
609712920241500,0.0146,1.0309,-0.0273,-0.0366,1
609712954228500,0.0000,0.4999,0.5183,0.5729,1
609712989180200,0.0146,0.4853,0.5183,-0.0431,1
609713030499400,0.5548,-0.0400,0.5183,-0.0366,1
609713074766600,0.5548,-0.0400,0.5183,-0.0366,1
609713121100300,0.5548,-0.0400,0.5183,-0.0431,1
609713169108700,0.5644,-0.0496,0.5183,-0.0431,1
609713215374800,0.0146,0.4853,0.5183,-0.0431,1
609713247971000,1.0699,-0.0400,0.5183,-0.0431,1
609713294822600,0.0149,0.4999,0.5125,-0.0308,1
609713340714000,-0.4957,1.0104,0.5183,0.5729,1
609713388066100,0.5548,-0.0400,0.5183,-0.0431,1
609713429433900,0.5445,0.4956,0.5080,0.5729,1
609713464220300,0.5300,0.4999,0.5183,-0.0431,1
609713513030700,1.0602,-0.0303,0.5183,0.5729,1
609713557574300,1.0699,-0.5700,1.0482,-0.0366,1
609713592191600,0.5445,0.4956,0.5022,-0.0308,1
609713633800100,-1.0296,2.0595,0.5125,-0.0308,1
609713681914100,0.5445,-0.6051,1.0359,-0.0731,1
609713728787100,0.0385,0.9913,0.5125,-0.0373,1
609713763722400,0.5445,-0.0600,1.6366,-0.6161,1
609713806776200,0.5589,-0.0589,1.0424,-0.0373,1
609713843468000,-0.5105,-0.0800,1.0359,-0.0731,1
609713881955200,-0.4957,0.4651,0.4908,0.5297,1
609713918417400,0.5589,-0.5989,1.0153,-0.0731,1
609713962564500,-0.4957,-0.0594,1.0153,-0.0731,1
609713996965400,0.0194,-0.0800,1.0359,0.5297,1
609714035271000,0.0194,-0.5738,1.5297,0.5297,1
609714071781100,0.5445,-0.6260,0.4842,0.4864,1
609714104593100,0.0194,-0.0800,1.0359,-0.0603,1
609714138851000,0.0194,1.0104,-0.6271,0.4995,1
609714181741000,0.0385,-0.0991,0.4459,0.5037,1
609714216806200,0.0194,0.4651,-0.0991,0.5037,1
609714253571200,0.5445,-0.6051,1.0359,-0.0862,1
609714290500600,0.5445,-0.6051,1.0359,-0.0862,1
609714321973800,0.5589,-0.5989,0.4427,0.4864,1
609714357918700,0.0583,-0.1200,1.0568,-0.0862,1
609714396863100,-0.5053,0.4653,-0.1295,1.0586,1
609714438864700,-0.5053,0.4448,-0.1090,1.0586,1
609714478950800,-1.0296,0.4244,0.4126,0.4858,1
609714515081900,-1.0308,-0.6508,0.4388,0.4858,1
609714552298900,-1.5887,0.9772,-0.1111,0.4858,1
609714587756700,-1.5738,0.4273,1.0168,0.5168,1
609714627182100,0.0194,-0.6508,1.0168,-0.0923,1
609714677489500,-0.5105,-0.6508,1.0168,-0.0923,1
609714724163700,-1.5738,0.4535,1.0080,-0.1293,1
609714759839900,-1.5447,0.9481,-0.0880,0.4626,1
609714803682600,-1.0204,-0.0999,0.4357,0.4626,1
609714852164200,-1.0204,-0.0999,0.4357,0.4626,1
609714896851400,-1.5738,0.4535,0.4126,0.4661,1
609714930613600,-1.0296,-0.1198,0.9799,0.4626,1
609714966057100,-0.9896,-0.1198,0.9568,0.4858,1
609715005963500,-1.5873,0.4066,0.4395,1.0148,1
609715046762900,-1.5534,0.4348,0.3773,0.3996,1
609715086874100,-1.5873,0.4379,-0.1977,0.4235,1
609715126877200,-1.5534,-0.1396,0.9228,-0.7610,1
609715162950600,-2.5990,-0.2258,0.9015,0.9670,1
609715196732700,-2.5990,-0.7202,0.8664,-0.2906,1
609715240931200,-2.5990,-0.7202,0.2976,0.2262,1
609715285833700,-3.1207,-0.2505,0.2979,0.2247,1
609715333686700,-3.6415,0.8635,0.3252,-0.3426,1
609715370993100,-3.6415,-0.2180,1.3607,-0.2446,1
609715414389400,-3.6415,-0.2750,0.3271,0.1831,1
609715451242200,-4.7426,0.2817,0.2418,0.2677,1
609715487672400,-4.6802,0.9317,-0.4077,0.1400,1
609715523851900,-4.6604,0.2194,0.3046,-0.4683,1
609715570702600,-5.2451,0.3282,0.7177,-1.0122,1
609715605024300,-5.2649,0.3282,0.1466,-0.4412,1
609715638615600,-5.2649,0.2610,0.2138,0.1656,1
609715680191300,-5.2451,-0.2808,0.2599,0.0545,1
609715724272900,-5.2649,-0.2808,0.1105,0.2040,1
609715771114700,-6.3059,-0.3192,0.7766,0.0121,1
609715805974600,-6.3059,0.1412,0.2367,-0.4221,1
609715842347600,-6.8243,-0.4267,0.7564,-0.5467,1
609715880670400,-6.7435,-0.9547,0.6388,0.6197,1
609715916045000,-7.9480,0.8724,0.0161,0.0182,1
609715957120000,-7.7669,0.0687,0.0757,-0.0181,1
609716004093400,-7.9282,0.1563,0.0716,-0.0247,1
609716041688000,-7.9480,-0.2843,-0.0544,0.6459,1
609716080799900,-8.4662,0.1357,0.0439,0.0487,1
609716111953400,-8.4662,0.2340,-0.0544,0.0487,1
609716157107100,-8.9827,0.2183,0.4778,-0.0615,1
609716203418200,-8.3704,-0.4972,0.6838,-0.1643,1
609716253614400,-9.3927,0.6283,0.0215,-0.2061,1
609716311435000,-9.6040,-0.7453,0.9358,-0.1342,1
609716346733800,-10.0102,0.1871,0.4096,-0.1342,1
609716383428400,-10.1014,0.1856,-0.1590,0.6690,1
609716427072000,-10.1212,-0.3454,1.0531,-0.1342,1
609716461876800,-10.6364,0.2871,0.4943,-0.7482,1
609716498305100,-10.5211,-0.4743,-0.0915,0.9432,1
609716537767000,-10.5211,-0.4743,-0.0915,0.9432,1
609716569093300,-11.0299,-0.0896,0.5880,-0.7961,1
609716596774000,-12.1905,0.1387,0.4350,-0.2407,1
609716632169800,-11.0299,0.0345,-0.6443,0.3122,1
609716669326700,-11.0299,0.0345,-0.0915,-0.2407,1
609716708842000,-10.5211,-1.0008,0.4350,-0.2407,1
609716756302200,-11.0299,-0.4920,0.4350,-0.3830,1
609716801084700,-11.5365,-0.5094,0.2699,-0.1391,1
609716837124500,-12.1692,-0.5362,0.9293,-0.1391,1
609716872296800,-12.1692,-0.5362,0.9293,-0.1391,1
609716904866700,-12.1692,-0.5362,0.5154,-0.4635,1
609716938486000,-12.1692,-0.6764,-0.0382,0.2304,1
609716972113500,-11.6605,-1.0449,0.5154,0.1267,1
609717021008800,-11.5167,-0.5094,-0.1440,-0.4635,1
609717053284600,-12.6757,-0.0297,0.3741,-0.3221,1
609717088420400,-12.6757,-0.0297,0.3741,-0.1684,1
609717123112600,-12.6757,0.4965,-0.1522,-0.3221,1
609717155824100,-11.6605,-0.9072,0.3777,-0.4635,1
609717192831300,-12.6757,-0.5534,0.3452,-0.3567,1
609717240630900,-12.6757,-0.4113,0.3494,-0.5030,1
609717273423900,-13.2056,-0.5534,0.4915,-0.5030,1
609717319653200,-13.0434,-0.1857,0.4915,-0.3438,1
609717365687300,-12.2997,-0.2680,-0.3161,0.2304,1
609717403867900,-12.6757,-0.4113,-0.1954,0.0418,1
609717440313800,-12.6757,-0.5534,-0.2044,0.1930,1
609717473375300,-12.6559,-0.5534,0.4915,-0.5030,1
609717506041900,-12.5434,-0.6857,-0.2044,0.1930,1
609717553817800,-12.5434,-0.6857,-0.2044,0.1930,1
609717599600100,-12.5434,-0.6857,-0.2044,-0.3908,1
609717634526800,-12.6757,-0.5534,-0.3585,0.3470,1
609717672195300,-12.6559,-0.5534,-0.2044,-0.3908,1
609717705026000,-12.6559,-0.6981,-0.2138,0.1845,1
