t_ns,board_id,sensor_id,t,x,y,z
1222078334459000,0,0,26.261062622070312,-12.90000057220459,-70.05000305175781,662.8380126953125
1222078334459000,0,1,27.34513282775879,-4.050000190734863,-137.25,525.3820190429688
1222078334459000,0,2,27.831857681274414,4.650000095367432,115.80000305175781,553.4539794921875
1222078334459000,0,3,28.849557876586914,124.6500015258789,-21.30000114440918,-8427369136128.0
1222078334459000,0,4,1.5949830336813456e-23,-107616328.0,1.0741501141216721e-36,23401133506560.0
1222078348865900,2,0,28.783185958862305,51.750003814697266,-36.0,-1553.39794921875
1222078348865900,2,1,28.805309295654297,42.150001525878906,-460.20001220703125,-1318.9000244140625
1222078348865900,2,2,28.23008918762207,68.25,426.6000061035156,-1383.998046875
1222078348865900,2,3,26.92477798461914,422.70001220703125,43.35000228881836,-29.849956512451172
1222078348865900,2,4,-1341.406005859375,8213.416015625,1.8051083827685943e-07,3.600958677907329e-07
1222078352848700,1,0,27.21238899230957,1.2000000476837158,-57.750003814697266,-285.55999755859375
1222078352848700,1,1,29.04867172241211,29.700000762939453,520.050048828125,-324.0379943847656
1222078352848700,1,2,27.035398483276367,-26.400001525878906,-509.1000061035156,-302.25799560546875
1222078352848700,1,3,29.11504364013672,-497.2500305175781,10.050000190734863,-257.2460021972656
1222078352848700,1,4,27.94247817993164,-447.1500244140625,7.650000095367432,-258.697998046875
1222078355263600,2,0,28.783185958862305,52.20000076293945,-39.900001525878906,-1551.7039794921875
1222078355263600,2,1,28.8938045501709,45.45000076293945,-451.20001220703125,-1326.885986328125
1222078355263600,2,2,28.318584442138672,73.35000610351562,421.20001220703125,-1384.9659423828125
1222078355263600,2,3,26.92477798461914,420.6000061035156,39.45000076293945,-1366.0899658203125
1222078355263600,2,4,28.539823532104492,333.3000183105469,-27.450000762939453,-1348.907958984375
1222078367753300,0,0,26.216814041137695,-15.600000381469727,-70.05000305175781,655.093994140625
1222078367753300,0,1,27.256637573242188,-0.45000001788139343,-136.8000030517578,523.9299926757812
1222078367753300,0,2,27.809734344482422,5.400000095367432,114.60000610351562,551.0339965820312
1222078367753300,0,3,28.761062622070312,123.1500015258789,-20.25,23401420816384.0
1222078367753300,0,4,-5.707235435793613e+16,-3.433277242947952e-06,7.130697831269438e+28,-1.8882494259518534e-29
1222078382288100,2,0,28.783185958862305,49.650001525878906,-35.25,-1552.18798828125
1222078382288100,2,1,28.915929794311523,46.650001525878906,-452.4000244140625,-2.1313357012649934e+21
1222078382288100,2,2,-2.5849617935341653e-27,-31666395414528.0,-3.2509338970809765e-11,-423464582250496.0
1222078382288100,2,3,-1924187422720.0,3.4694775059374904e-19,-7.298720276164433e-14,-2.1313471010015501e+21
1222078382288100,2,4,-1.8652209717208304e-15,-1.2913019698857116e+19,-3.532317337188854e-15,7.867276337095677e-39
1222078386267600,1,0,27.21238899230957,5.400000095367432,-53.70000076293945,-290.1579895019531
1222078386267600,1,1,28.871681213378906,13.050000190734863,524.1000366210938,-325.24798583984375
1222078386267600,1,2,27.101770401000977,-29.700000762939453,-502.8000183105469,-310.4859924316406
1222078386267600,1,3,29.292034149169922,-502.8000183105469,6.600000381469727,-256.5199890136719
1222078386267600,1,4,27.831857681274414,-452.2500305175781,18.0,-252.6479949951172
1222078398867200,2,0,28.6061954498291,53.70000076293945,-37.5,-1545.89599609375
1222078398867200,2,1,28.938053131103516,53.55000305175781,-451.20001220703125,-1331.7259521484375
1222078398867200,2,2,28.16371726989746,73.6500015258789,420.9000244140625,-1390.2900390625
