accX_0,accY_0,accZ_0,magX_0,magY_0,magZ_0,accX_1,accY_1,accZ_1,magX_1,magY_1,magZ_1,accX_2,accY_2,accZ_2,magX_2,magY_2,magZ_2,accX_3,accY_3,accZ_3,magX_3,magY_3,magZ_3,accX_4,accY_4,accZ_4,magX_4,magY_4,magZ_4,accX_5,accY_5,accZ_5,magX_5,magY_5,magZ_5,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0.01171875,-0.0078125,1.0078125,30.600000381469727,-52.20000076293945,569.9099731445312,-0.005859375,0.052734375,1.017578125,-2.25,-6.150000095367432,45.49599838256836,-0.029296875,0.046875,1.0,31.200000762939453,-157.0500030517578,478.9179992675781,-0.068359375,-0.087890625,1.015625,-235.35000610351562,34.20000076293945,-988.3280029296875,-0.076171875,-0.55859375,0.818359375,192.15000915527344,-337.3500061035156,1579.050048828125,-0.044921875,-0.66015625,0.759765625,107.10000610351562,69.9000015258789,3469.553955078125,-0.03228517646428565,3.3112346520358416,0.34594927502512246,-1.9542337034521708,-2.964132307650914,1.343422132273682,1.465059240667011,0.03742369352334474,-0.9335762135545654,1.3137658357931181,-0.772462988204324,0.9932389686248614,1.2112174262911377
0.01171875,-0.005859375,1.00390625,22.5,-52.650001525878906,577.89599609375,-0.0078125,0.013671875,1.0078125,-5.100000381469727,-8.700000762939453,42.59199905395508,-0.072265625,0.037109375,1.0078125,32.400001525878906,-151.20001220703125,481.8219909667969,-0.11328125,-0.08203125,1.017578125,-249.45001220703125,36.0,-1002.1220092773438,-0.15234375,-0.61328125,0.796875,202.35000610351562,-336.75,1587.0360107421875,-0.16015625,-0.7109375,0.736328125,111.00000762939453,71.85000610351562,3463.02001953125,1.5627425217857216,2.324738193116991,-0.1894040593275993,-2.079226372464632,-3.2669404316713138,1.4399779232921903,0.6861530208527772,0.9562737056511028,-2.032107815192986,0.9778165440638008,-0.6297903035831299,1.3756949862911092,-0.36394927815215405
0.01171875,-0.0078125,1.009765625,21.0,-46.35000228881836,571.60400390625,-0.005859375,0.103515625,1.013671875,1.8000000715255737,-13.350000381469727,42.349998474121094,-0.033203125,0.14453125,1.01171875,40.20000076293945,-149.70001220703125,477.46600341796875,-0.078125,-0.0390625,1.0234375,-259.6500244140625,36.30000305175781,-1001.8800048828125,-0.111328125,-0.64453125,0.8125,216.45001220703125,-330.75,1569.85400390625,-0.1171875,-0.744140625,0.736328125,106.95000457763672,71.55000305175781,3468.5859375,1.5707486217958035,2.4450430839387405,0.02095756454197467,-2.980232101695236,-2.5319984299017584,1.4658145149645485,0.5327080551976753,1.5282987799131014,-0.8954531530089053,0.5236206669410126,-1.3815994706147503,1.6197480414531495,0.06115534596301808
0.01171875,-0.0078125,1.005859375,18.150001525878906,-54.30000305175781,570.3939819335938,-0.00390625,0.09765625,1.013671875,-4.200000286102295,-6.600000381469727,55.902000427246094,-0.064453125,0.04296875,0.99609375,37.650001525878906,-152.85000610351562,487.6300048828125,-0.087890625,-0.111328125,1.01171875,-250.20001220703125,37.5,-995.8300170898438,-0.091796875,-0.640625,0.755859375,211.8000030517578,-330.45001220703125,1576.387939453125,-0.1015625,-0.705078125,0.716796875,106.95000457763672,75.45000457763672,3462.778076171875,0.7453151223173892,3.4499819988595344,-0.7966780797238538,-3.2241650358695764,-1.8058168194507942,1.095699475131129,0.0978206809545991,1.754835650307686,-1.992206426054188,0.2357023550352538,1.072523250605927,-0.6952613994880319,0.5557568079244188
0.01171875,-0.0078125,1.009765625,22.80000114440918,-49.05000305175781,564.8280029296875,-0.009765625,0.0390625,1.015625,-8.25,-1.8000000715255737,39.20399856567383,-0.0546875,0.0625,1.001953125,38.55000305175781,-155.70001220703125,489.0820007324219,-0.103515625,-0.083984375,1.009765625,-246.45001220703125,40.35000228881836,-1002.364013671875,-0.099609375,-0.587890625,0.783203125,192.75001525878906,-328.6500244140625,1568.4019775390625,-0.076171875,-0.572265625,0.740234375,105.60000610351562,74.70000457763672,3458.421875,2.527508249842057,2.565981087204423,-1.271108488137079,-2.4637370606175275,-2.295997416695538,1.1662327669388919,0.40731689847873714,0.9295457291815269,-1.1770427884345316,0.41948638415170736,-1.5484287538642965,2.0813058814939907,0.2629020488463155
0.01171875,-0.009765625,1.005859375,20.850000381469727,-51.750003814697266,565.7960205078125,-0.01171875,-0.021484375,1.01953125,0.0,-9.75,45.25400161743164,-0.056640625,-0.0078125,1.0078125,30.450000762939453,-154.35000610351562,483.031982421875,-0.1328125,-0.095703125,1.009765625,-252.75001525878906,33.900001525878906,-1006.719970703125,-0.177734375,-0.587890625,0.810546875,185.25,-332.70001220703125,1573.7259521484375,-0.20703125,-0.603515625,0.765625,109.05000305175781,71.85000610351562,3466.407958984375,2.177054960691291,2.7854228437305397,-1.1932640653620872,-3.6895582693029234,-0.6759156790645395,1.825831235157861,0.6752327473038561,0.9459684527435659,-1.285178226134673,0.5346095085743727,-0.35847814768661923,0.7688095870224266,0.7308373727881706
0.013671875,-0.0078125,1.00390625,20.100000381469727,-49.05000305175781,572.572021484375,-0.01171875,0.0546875,1.017578125,4.200000286102295,-12.15000057220459,39.20399856567383,-0.05859375,0.078125,1.001953125,38.25,-149.25,477.46600341796875,-0.068359375,-0.078125,1.009765625,-248.70001220703125,33.150001525878906,-1014.2219848632812,-0.0859375,-0.630859375,0.783203125,203.10000610351562,-334.0500183105469,1580.260009765625,-0.13671875,-0.708984375,0.73046875,102.45000457763672,71.4000015258789,3459.14794921875,3.2296825516401646,2.6223819958933787,-1.4114291240752082,-2.9986593210105332,-0.4000406415371575,3.1771530868626514,-0.46747449921750145,0.40427463695103133,-1.0110528561109424,0.32963168177084323,-0.11972078288459098,0.5773344822938942,0.6154393790091618
0.009765625,-0.009765625,1.005859375,19.5,-47.70000076293945,566.2799682617188,-0.0078125,0.03125,1.0078125,5.850000381469727,-2.700000047683716,49.36800003051758,-0.04296875,0.025390625,1.0,38.70000076293945,-152.85000610351562,486.90399169921875,-0.072265625,-0.09375,1.01171875,-257.70001220703125,37.5,-1005.0260009765625,-0.0703125,-0.671875,0.75390625,216.45001220703125,-334.8000183105469,1574.6939697265625,-0.06640625,-0.716796875,0.71484375,106.6500015258789,68.55000305175781,3463.261962890625,2.703360127168087,2.8916192695934857,-1.8052349519972626,-4.141066147208395,0.3652042947036292,3.4094553042563707,1.0009168312295404,1.3421443468413756,-1.9007995158986735,1.015906847530544,-0.6300614111929234,0.6176172822507965,1.2173220182662687
0.009765625,-0.005859375,1.0078125,23.100000381469727,-54.150001525878906,570.1519775390625,-0.015625,0.060546875,1.01953125,-5.850000381469727,-10.050000190734863,38.720001220703125,-0.05078125,0.056640625,0.99609375,36.0,-152.10000610351562,473.83599853515625,-0.103515625,-0.0625,1.01171875,-259.0500183105469,33.900001525878906,-1004.2999877929688,-0.146484375,-0.63671875,0.794921875,206.10000610351562,-332.1000061035156,1576.14599609375,-0.150390625,-0.677734375,0.751953125,107.70000457763672,69.75,3465.43994140625,2.9509684030060828,2.0950267760959607,-1.6348622647188902,-4.382330600796084,0.1779528534745006,4.706954735723378,0.8804022399316583,0.6487353080158275,-1.227512814527941,0.9661522482557289,-0.8564549999075104,1.2211470530268507,-0.03274209827111582
0.013671875,-0.005859375,1.005859375,20.400001525878906,-55.35000228881836,566.52197265625,0.0078125,0.095703125,1.013671875,-6.150000095367432,-4.200000286102295,43.31800079345703,-0.048828125,-0.01953125,1.001953125,35.25,-156.75,485.6940002441406,-0.111328125,-0.130859375,1.009765625,-258.3000183105469,36.30000305175781,-1006.2360229492188,-0.154296875,-0.634765625,0.75,201.60000610351562,-331.20001220703125,1577.5980224609375,-0.201171875,-0.642578125,0.705078125,106.35000610351562,66.30000305175781,3465.43994140625,2.6079499892655926,2.3203215715340337,-1.3882163589563354,-4.152862162896171,-0.5743845433504692,5.563320933607552,0.7366432522339058,0.1606829255099404,-0.8584016809577223,0.20843960135830888,-1.340959086829863,2.2686435986217357,0.6159777186217582
