t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
423381999633600,5,-0.084,-0.7695,0.6543,112.95,71.7,3456.0,-11.684830414156917,-10.516954041553754,-10.649137515572223,-7.674437499678923,-6.861632908120674,-2.4058428144625816,-1.5032275482257298,4.59147378103207,2.7741141089156596,3.20371145152383,0.8891668892798892,0.12419366579761881,2.8082189992358373
423382012668800,0,0.0254,-0.0488,1.0078,-16.95,-45.45,463.67,-11.679325835043882,-10.612624536386095,-10.381187342218691,-7.862548529698763,-6.850441780337148,-2.362943491292398,-1.5863421435936251,5.006955773092818,2.3680035490638796,2.913106068267062,2.706678829147516,-1.0196669723689715,2.901705859378708
423382025687300,1,-0.0078,0.2207,1.0156,-68.1,-234.3,-252.89,-11.682670234320426,-10.75192396350139,-10.234801886325982,-7.816748900423765,-6.764177336810641,-2.471099070475791,-1.6607373962224061,5.253450742852971,2.0738307092683415,2.785967590651138,3.606585467276973,-1.635188725089329,2.687758746738279
423382038694200,2,-0.0391,-0.1289,0.9941,161.1,-149.1,490.05,-11.694699544510732,-10.93408857404365,-10.207656499556915,-7.5413911811241485,-6.604210208091246,-2.7275276488344353,-1.7266035437172536,5.334205998809782,1.8893964175580966,2.8191957229503997,3.6063584991601747,-1.732467259949052,2.1720417917493324
423382051692700,3,-0.0215,-0.543,0.8516,-144.45,15.3,-833.69,-11.7104651523593,-11.009989894046063,-10.227206492297787,-7.3833295114286575,-6.489931078583398,-2.8937280639657503,-1.611823779852461,5.27704820759595,1.7749203704499932,2.7295314313769614,3.683008017461271,-1.8388108409684456,1.9577956061971167
423382064675200,4,-0.0273,-0.7187,0.7207,173.55,-306.6,1593.57,-11.73488641672888,-10.839856595886923,-10.354885755736525,-7.4968272243151155,-6.481413086558386,-2.851047486904256,-1.0787243427977455,4.90053483670315,1.822403645142611,2.355283483895069,3.9376869173154745,-1.9661729451296566,2.44155412136227
423382077693600,5,0.0391,-0.709,0.6797,113.4,78.0,3462.78,-11.781673124202303,-10.661620426415782,-10.485310925244496,-7.560724075421911,-6.49087291748819,-2.818441588369594,-0.590174340025818,4.508270735719159,1.9172933221300805,2.0295936656298794,4.081430684515092,-2.019114320533666,2.881931145330062
423382090646800,0,0.0234,-0.0176,1.0098,-16.8,-52.8,467.79,-12.034782715418173,-10.413573931148505,-10.637249009916141,-7.161914857042485,-6.667041532770963,-2.880419307526043,-0.530411725346879,3.98170875706539,2.4496416961536713,2.1649410698271137,3.190280591348733,-1.3791299513886275,2.905845232444403
423382103697400,1,-0.0566,0.2793,0.9414,-70.05,-234.75,-254.83,-12.289795533186897,-10.163662280657885,-10.790329574395635,-6.7601068416190735,-6.844534826367091,-2.9428630605463897,-0.47019973301070234,3.4511873601427085,2.985992998537042,2.3013062022435378,2.292429604266245,-0.7343332982091628,2.9299391386061564
423382116704600,2,-0.0586,-0.1777,0.9844,164.7,-145.8,481.34,-12.158213283060855,-10.274414905074353,-10.712190933546044,-6.566175168038316,-6.85378876771925,-3.225021992048185,-0.36789044580601155,3.6261184343012727,2.912700888953368,2.11716786619782,2.665922695621602,-0.9872288061486478,3.3240867464258574
423382129719200,3,-0.0293,-0.5547,0.834,-149.4,17.7,-838.29,-11.980482881865667,-10.428208704830782,-10.606452018651488,-6.396802138123454,-6.843024110146221,-3.5336088424749934,-0.2604709725561731,3.885196943991369,2.766764835020289,1.8946982763552371,3.191119891895548,-1.3472316581478951,3.762667056658602
423382142735300,4,-0.0488,-0.7422,0.7207,181.05,-301.2,1600.35,-11.895801447612975,-10.424675081529069,-10.794824246841163,-6.453395026004426,-6.624892943224833,-3.540320741534462,-0.14760692733586137,3.8950211121338256,2.604766586839538,1.9149874578133053,3.3706013723553743,-1.516898106530059,3.305331747141998
423382155654800,5,-0.0312,-0.7832,0.7246,110.7,67.5,3463.75,-11.853012365800383,-10.351406105822573,-11.11220290530148,-6.609762292312194,-6.3164418276506,-3.413125799707988,-0.03317205943242563,3.794248090162124,2.43685663882047,2.0427685514454317,3.39544519119493,-1.600898169140028,2.454149148134488
423382168686600,0,0.0566,-0.0625,1.0098,-21.0,-55.2,478.68,-11.766088954111291,-10.288374946666359,-11.199995386158324,-6.812569287081155,-6.171703331056247,-3.3713174863011903,0.034496742843757346,3.6476064571433717,2.5208345278133444,2.139629445475302,3.1850184581447123,-1.5113257532844757,1.8127760579444443
423382181673000,1,-0.002,0.2773,0.959,-70.05,-230.7,-247.81,-11.632796719534282,-10.23716099730491,-11.039691192449084,-7.062747163607876,-6.2049244150225675,-3.4218969265555055,0.05099397962921497,3.453491992439759,2.874709321277227,2.2019926262906586,2.724183558049841,-1.2361754111841647,1.4052852449278248
