t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
423362057850700,1,-0.0098,-0.3203,0.9746,-39.90,-233.85,-250.95
423362070710300,2,-0.0352,-0.5352,0.8477,95.10,-146.85,496.10
423362083708500,3,-0.0410,-0.5742,0.8086,18.00,89.85,-820.86
423362096755200,4,-0.0488,-0.5312,0.8633,-43.20,-278.40,1625.51
423362109744200,5,-0.0449,-0.4062,0.9277,299.25,84.45,3596.36
423362122745400,0,0.0215,-0.0039,1.0059,24.90,-53.10,451.57
423362136032400,1,-0.0078,-0.3203,0.9746,-45.15,-240.45,-248.78
423362148725600,2,-0.0371,-0.5332,0.8496,97.50,-145.65,501.18
423362161752200,3,-0.0508,-0.5723,0.8027,23.70,91.05,-818.44
423362174842000,4,-0.0547,-0.5352,0.8555,-44.25,-279.15,1625.27
423362187726500,5,-0.0508,-0.4082,0.9277,299.10,85.20,3595.15
423362200789000,0,0.0195,-0.0039,1.0078,16.65,-53.40,457.38
423362213801700,1,-0.0059,-0.3184,0.9688,-45.45,-236.85,-246.84
423362226810400,2,-0.0273,-0.5371,0.8457,97.05,-148.95,494.89
423362239728300,3,-0.0391,-0.5703,0.8086,23.55,91.05,-832.48
423362252845800,4,-0.0469,-0.5352,0.8652,-43.50,-278.70,1632.29
423362265726700,5,-0.0469,-0.4102,0.9316,303.75,91.95,3589.10
423362278739900,0,0.0195,-0.0059,1.0059,28.80,-54.00,455.44
423362291740000,1,-0.0078,-0.3184,0.9668,-42.60,-234.00,-240.55
423362304706100,2,-0.0332,-0.5352,0.8535,96.60,-148.95,492.71
423362317751700,3,-0.0410,-0.5703,0.8047,17.70,89.25,-824.25
423362330852100,4,-0.0508,-0.5312,0.8594,-48.60,-276.45,1636.65
423362343723400,5,-0.0430,-0.4043,0.9297,296.85,84.30,3587.89
423362356739600,0,0.0176,-0.0039,1.0020,18.60,-53.40,452.30
423362369788100,1,-0.0137,-0.3242,0.9668,-41.25,-233.55,-238.13
423362382727600,2,-0.0352,-0.5352,0.8477,97.65,-146.40,493.68
423362395707500,3,-0.0469,-0.5703,0.8125,23.55,88.35,-821.83
423362408794700,4,-0.0547,-0.5332,0.8613,-38.25,-274.05,1632.05
423362421770300,5,-0.0488,-0.4082,0.9277,300.90,87.00,3597.33
423362434718800,0,0.0195,-0.0059,1.0059,13.05,-54.90,458.35
423362447778800,1,-0.0098,-0.3203,0.9688,-41.55,-240.90,-244.66
423362460776100,2,-0.0332,-0.5352,0.8516,90.00,-146.70,494.89
423362473736400,3,-0.0391,-0.5742,0.8105,24.15,92.70,-828.61
423362486753900,4,-0.0488,-0.5293,0.8633,-38.85,-285.45,1629.63
423362499791600,5,-0.0469,-0.4062,0.9258,301.65,91.35,3593.22
423362512770300,0,0.0176,-0.0039,1.0059,19.65,-53.40,458.59
423362525758700,1,-0.0078,-0.3125,0.9688,-43.05,-236.10,-244.42
