t_ns,board_id,sensor_id,t,x,y,z,in_label_time,t_frame_ns,theta_1,theta_2,theta_3,theta_4
265222532958700,0,0,26.150442123413086,27.900001525878906,-59.10000228881836,651.2219848632812,false,,,,,
265222532958700,0,1,26.747787475585938,7.350000381469727,-174.90000915527344,497.30999755859375,false,,,,,
265222532958700,0,2,27.5,51.60000228881836,124.20000457763672,551.760009765625,false,,,,,
265222532958700,0,3,28.23008918762207,116.70000457763672,18.150001525878906,544.9840087890625,false,,,,,
265222532958700,0,4,27.234512329101562,95.55000305175781,-40.05000305175781,538.2080078125,false,,,,,
265222535166500,1,0,26.725664138793945,28.500001907348633,-69.0,-275.15399169921875,false,,,,,
265222535166500,1,1,28.16371726989746,9.15000057220459,506.1000061035156,-328.1520080566406,false,,,,,
265222535166500,1,2,26.54867172241211,-3.3000001907348633,-496.20001220703125,-294.99798583984375,false,,,,,
265222535166500,1,3,28.407079696655273,-476.8500061035156,29.55000114440918,-266.6839904785156,false,,,,,
265222535166500,1,4,27.035398483276367,-476.8500061035156,18.150001525878906,-239.82200622558594,false,,,,,
265222537557200,2,0,28.252212524414062,24.600000381469727,-52.20000076293945,-1495.5599365234375,false,,,,,
265222537557200,2,1,28.45132827758789,31.500001907348633,-463.5000305175781,-1301.718017578125,false,,,,,
265222537557200,2,2,27.610618591308594,51.30000305175781,379.3500061035156,-1334.8719482421875,false,,,,,
265222537557200,2,3,26.150442123413086,426.9000244140625,16.650001525878906,-1325.91796875,false,,,,,
265222537557200,2,4,27.831857681274414,375.3000183105469,-10.050000190734863,-1286.7139892578125,false,,,,,
265222549630500,0,0,26.128318786621094,32.85000228881836,-61.05000305175781,657.5139770507812,false,,,,,
265222549630500,0,1,26.880531311035156,6.300000190734863,-176.40000915527344,504.81201171875,false,,,,,
265222549630500,0,2,27.389381408691406,43.80000305175781,129.15000915527344,544.0159912109375,false,,,,,
265222549630500,0,3,28.429203033447266,115.35000610351562,17.700000762939453,545.2260131835938,false,,,,,
265222549630500,0,4,27.4115047454834,92.70000457763672,-39.45000076293945,527.5599975585938,false,,,,,
265222551837400,1,0,26.637168884277344,24.0,-66.9000015258789,-281.44598388671875,false,,,,,
265222551837400,1,1,28.252212524414062,10.050000190734863,506.70001220703125,-326.70001220703125,false,,,,,
265222551837400,1,2,26.482301712036133,-8.40000057220459,-492.3000183105469,-282.1719970703125,false,,,,,
265222551837400,1,3,28.539823532104492,-474.9000244140625,31.200000762939453,-265.23199462890625,false,,,,,
265222551837400,1,4,27.323009490966797,-477.0000305175781,23.700000762939453,-236.4340057373047,false,,,,,
