frame_idx,t_frame_ns
0,265225738139700
1,265225776847300
2,265225817104200
3,265225879977600
4,265225926852700
5,265225966945300
6,265226006965100
7,265226052599600
8,265226099990600
9,265226146850700
10,265226192045400
11,265226239523100
12,265226286864400
13,265226333777000
14,265226380790500
15,265226426661400
16,265226471913500
17,265226521964900
18,265226569844700
19,265226615023000
20,265226661122700
21,265226708708200
22,265226753889600
23,265226809616300
24,265226861070400
25,265226909194800
26,265226956874100
27,265227003778500
28,265227043119600
29,265227096023900
30,265227142112100
31,265227190189100
32,265227237926500
33,265227284465100
34,265227329828900
35,265227376284500
36,265227414633300
37,265227456920300
38,265227502650800
39,265227548927100
40,265227590820900
41,265227642806900
42,265227690967300
43,265227734936500
44,265227784727600
45,265227830078500
46,265227878254200
47,265227924751600
48,265227972846200
49,265228019057800
50,265228066712400
51,265228113880300
52,265228160306100
53,265228200875500
54,265228255578500
55,265228303688500
56,265228350244800
57,265228391899600
58,265228425070400
59,265228477297900
60,265228518771600
61,265228556551700
62,265228600895900
63,265228647018700
64,265228695682100
65,265228734115600
66,265228774759400
67,265228821960500
68,265228869725500
69,265228915765400
70,265228963631000
71,265229010706600
72,265229056083900
73,265229090164900
74,265229134846700
75,265229182095500
76,265229228135700
77,265229275768000
78,265229322548800
79,265229369470400
80,265229415780900
81,265229462768400
82,265229510397100
83,265229559888500
84,265229605679700
85,265229652064000
86,265229699628100
87,265229738728700
88,265229794678100
89,265229839426500
90,265229885910700
91,265229933990400
92,265229979843900
93,265230029783100
94,265230072435400
95,265230110970000
96,265230152563600
97,265230184107300
98,265230230552300
99,265230277672900
100,265230324927800
101,265230372712000
102,265230419534800
103,265230469130400
104,265230513630800
105,265230559577800
106,265230608765000
107,265230654967400
108,265230700966300
109,265230733707500
110,265230780667300
111,265230829239900
112,265230874844900
113,265230919722000
114,265230968499300
115,265231015236400
116,265231061777900
117,265231108671800
118,265231158029400
119,265231201999500
120,265231248866200
121,265231295947000
122,265231342016300
123,265231389845400
124,265231434779200
125,265231485444100
126,265231528540100
127,265231566642600
128,265231624879900
129,265231670643100
130,265231718558300
131,265231767609600
132,265231809808400
133,265231842390100
134,265231889849300
135,265231937537100
136,265231983874000
137,265232030054500
138,265232077578300
139,265232123719200
140,265232169721000
141,265232217886300
142,265232264580800
143,265232312852200
144,265232350672200
145,265232388869900
146,265232419870700
147,265232459255600
148,265232504776900
149,265232542312700
150,265232584870900
151,265232638779400
152,265232684772600
153,265232733008500
154,265232777711400
155,265232825958700
156,265232873670800
157,265232922003100
158,265232968618000
159,265233013615700
160,265233059727400
161,265233106138500
162,265233153713300
163,265233199802000
164,265233250026300
165,265233295707400
166,265233342262100
167,265233383347400
168,265233425537800
169,265233468131000
170,265233508590400
171,265233550141800
172,265233594666300
173,265233641821900
174,265233689594300
175,265233739413500
176,265233783114200
177,265233832667300
178,265233875762700
179,265233922655200
180,265233967616600
181,265234002159700
182,265234048962500
183,265234095330700
184,265234143592500
185,265234190119500
186,265234236870000
187,265234284732100
188,265234330778600
189,265234367000200
190,265234408836100
191,265234443383600
192,265234489335300
193,265234535737300
194,265234583871800
195,265234628600400
196,265234674723100
197,265234722648700
198,265234769695900
199,265234816963700
200,265234856851800
201,265234909578900
202,265234954848700
203,265235003558500
204,265235050875100
205,265235095876300
206,265235134502900
207,265235175704600
208,265235223017800
209,265235269553800
210,265235319201400
211,265235364818800
212,265235412909500
213,265235459257000
214,265235507693100
215,265235554104400
216,265235602604200
217,265235634997200
218,265235680122500
219,265235726430900
220,265235772447500
221,265235819738900
222,265235865540300
223,265235914598300
224,265235962701000
225,265236011612800
226,265236055652000
227,265236103444800
228,265236150078900
229,265236196029000
230,265236244585000
231,265236292906600
232,265236332637200
233,265236385275100
234,265236444719500
235,265236494790600
236,265236542929800
237,265236591644000
238,265236635832000
239,265236681613800
240,265236730139700
241,265236777674500
242,265236825483600
243,265236865799600
244,265236905658300
245,265236954724900
246,265236999653200
247,265237046551600
248,265237093538700
249,265237138674200
250,265237185808500
251,265237232730100
252,265237278891300
253,265237326935900
254,265237373761500
255,265237420681100
256,265237460089100
257,265237517879100
258,265237562677100
259,265237608648800
260,265237658721700
261,265237700613400
262,265237750898900
263,265237800460900
264,265237845532700
265,265237892050200
266,265237940595500
267,265237986118600
268,265238033714900
269,265238073857000
270,265238129056200
271,265238174802500
272,265238222052100
273,265238267593200
274,265238316998900
275,265238362764400
276,265238408936100
277,265238442461100
278,265238488461700
279,265238525828400
280,265238580897000
281,265238625781400
282,265238674884500
283,265238719578400
284,265238755665100
285,265238800229900
286,265238840737400
287,265238892023100
288,265238938411600
289,265238986575300
290,265239026557600
291,265239081701900
292,265239125783000
293,265239174712700
294,265239220167100
295,265239259151700
296,265239300419900
297,265239345309100
298,265239382905300
299,265239440868200
300,265239480909300
301,265239535108000
302,265239575560000
303,265239626782900
304,265239666729700
305,265239721576200
306,265239769951300
307,265239808765400
308,265239848585700
309,265239898541100
310,265239941845000
311,265239990096900
312,265240037991600
313,265240081282900
314,265240128773300
315,265240167016700
316,265240205788400
317,265240253882200
318,265240292056100
319,265240332498100
320,265240377841600
321,265240425821400
322,265240478818700
323,265240523907000
324,265240569338300
325,265240617043300
326,265240662583600
327,265240709905600
328,265240744528500
329,265240786730000
330,265240824876100
331,265240892679000
332,265240942892800
333,265240989023300
334,265241020454700
335,265241065952800
336,265241114932700
337,265241162062800
338,265241199495400
339,265241253528600
340,265241291831200
341,265241333717200
342,265241378497000
343,265241415612000
344,265241458803600
345,265241504581100
346,265241549782000
347,265241594565300
348,265241644665300
349,265241689904000
350,265241741011600
351,265241785863400
352,265241831848700
353,265241878788600
354,265241925765800
355,265241971603500
356,265242019467100
357,265242080675000
358,265242125967800
359,265242174482600
360,265242220487000
361,265242252037500
362,265242290546100
363,265242332597700
364,265242375666500
365,265242421492600
366,265242460071500
367,265242499620900
368,265242548671600
369,265242593425000
370,265242640846100
371,265242683485000
372,265242733396500
373,265242764455400
374,265242810621100
375,265242848663500
376,265242894557000
377,265242936576200
