t_ns,board_id,sensor_id,t,x,y,z
265222532958700,0,0,26.150442123413086,27.900001525878906,-59.10000228881836,651.2219848632812
265222532958700,0,1,26.747787475585938,7.350000381469727,-174.90000915527344,497.30999755859375
265222532958700,0,2,27.5,51.60000228881836,124.20000457763672,551.760009765625
265222532958700,0,3,28.23008918762207,116.70000457763672,18.150001525878906,544.9840087890625
265222532958700,0,4,27.234512329101562,95.55000305175781,-40.05000305175781,538.2080078125
265222535166500,1,0,26.725664138793945,28.500001907348633,-69.0,-275.15399169921875
265222535166500,1,1,28.16371726989746,9.15000057220459,506.1000061035156,-328.1520080566406
265222535166500,1,2,26.54867172241211,-3.3000001907348633,-496.20001220703125,-294.99798583984375
265222535166500,1,3,28.407079696655273,-476.8500061035156,29.55000114440918,-266.6839904785156
265222535166500,1,4,27.035398483276367,-476.8500061035156,18.150001525878906,-239.82200622558594
265222537557200,2,0,28.252212524414062,24.600000381469727,-52.20000076293945,-1495.5599365234375
265222537557200,2,1,28.45132827758789,31.500001907348633,-463.5000305175781,-1301.718017578125
265222537557200,2,2,27.610618591308594,51.30000305175781,379.3500061035156,-1334.8719482421875
265222537557200,2,3,26.150442123413086,426.9000244140625,16.650001525878906,-1325.91796875
265222537557200,2,4,27.831857681274414,375.3000183105469,-10.050000190734863,-1286.7139892578125
265222549630500,0,0,26.128318786621094,32.85000228881836,-61.05000305175781,657.5139770507812
265222549630500,0,1,26.880531311035156,6.300000190734863,-176.40000915527344,504.81201171875
265222549630500,0,2,27.389381408691406,43.80000305175781,129.15000915527344,544.0159912109375
265222549630500,0,3,28.429203033447266,115.35000610351562,17.700000762939453,545.2260131835938
265222549630500,0,4,27.4115047454834,92.70000457763672,-39.45000076293945,527.5599975585938
265222551837400,1,0,26.637168884277344,24.0,-66.9000015258789,-281.44598388671875
265222551837400,1,1,28.252212524414062,10.050000190734863,506.70001220703125,-326.70001220703125
265222551837400,1,2,26.482301712036133,-8.40000057220459,-492.3000183105469,-282.1719970703125
265222551837400,1,3,28.539823532104492,-474.9000244140625,31.200000762939453,-265.23199462890625
265222551837400,1,4,27.323009490966797,-477.0000305175781,23.700000762939453,-236.4340057373047
265222554258900,2,0,28.340707778930664,30.000001907348633,-52.500003814697266,-1500.157958984375
265222554258900,2,1,28.539823532104492,29.400001525878906,-457.95001220703125,-1303.89599609375
265222554258900,2,2,27.78761100769043,49.95000076293945,374.5500183105469,-1329.5479736328125
265222554258900,2,3,26.482301712036133,425.5500183105469,10.950000762939453,-1333.4200439453125
265222554258900,2,4,27.831857681274414,361.95001220703125,-8.100000381469727,-1288.166015625
265222566343600,0,0,26.283185958862305,32.400001525878906,-54.30000305175781,662.8380126953125
265222566343600,0,1,26.880531311035156,9.75,-176.10000610351562,499.97198486328125
265222566343600,0,2,27.65486717224121,46.5,120.9000015258789,545.468017578125
265222566343600,0,3,28.296459197998047,119.4000015258789,22.5,555.1480102539062
265222566343600,0,4,27.36725616455078,102.9000015258789,-36.75,522.9619750976562
265222568542000,1,0,26.747787475585938,27.450000762939453,-66.75,-280.2359924316406
265222568542000,1,1,28.318584442138672,12.600000381469727,511.0500183105469,-334.4440002441406
265222568542000,1,2,26.747787475585938,-3.0,-489.7500305175781,-285.55999755859375
265222568542000,1,3,28.6061954498291,-475.5000305175781,32.70000076293945,-257.4880065917969
265222568542000,1,4,27.34513282775879,-477.45001220703125,27.000001907348633,-228.20599365234375
265222570766900,2,0,28.252212524414062,28.200000762939453,-53.400001525878906,-1504.030029296875
265222570766900,2,1,28.473451614379883,33.150001525878906,-456.45001220703125,-1307.283935546875
265222570766900,2,2,27.5,49.500003814697266,375.6000061035156,-1332.4520263671875
265222570766900,2,3,26.327434539794922,419.4000244140625,14.550000190734863,-1331.7259521484375
265222570766900,2,4,27.94247817993164,368.1000061035156,-13.050000190734863,-1279.93798828125
265222583030600,0,0,26.1061954498291,27.450000762939453,-55.05000305175781,644.2039794921875
265222583030600,0,1,26.99114990234375,13.65000057220459,-181.20001220703125,501.1820068359375
265222583030600,0,2,27.389381408691406,49.20000076293945,124.05000305175781,551.5180053710938
265222583030600,0,3,28.650442123413086,106.80000305175781,22.200000762939453,545.7100219726562
265222583030600,0,4,27.56637191772461,100.20000457763672,-37.5,538.2080078125
265222585237000,1,0,26.681415557861328,29.400001525878906,-70.05000305175781,-280.7200012207031
265222585237000,1,1,28.274335861206055,9.90000057220459,511.0500183105469,-330.8139953613281
265222585237000,1,2,26.460176467895508,-7.350000381469727,-490.95001220703125,-297.1759948730469
265222585237000,1,3,28.628318786621094,-482.2500305175781,27.900001525878906,-267.1679992675781
265222585237000,1,4,27.234512329101562,-469.95001220703125,13.65000057220459,-233.28799438476562
265222587630700,2,0,28.207963943481445,28.650001525878906,-55.500003814697266,-1495.3179931640625
265222587630700,2,1,28.539823532104492,26.100000381469727,-460.5000305175781,-1304.137939453125
265222587630700,2,2,27.65486717224121,46.95000076293945,372.1500244140625,-1335.35595703125
265222587630700,2,3,26.327434539794922,423.7500305175781,15.300000190734863,-1332.2099609375
265222587630700,2,4,27.809734344482422,370.5,-12.15000057220459,-1278.4859619140625
265222599729700,0,0,26.084070205688477,29.100000381469727,-58.80000305175781,653.8839721679688
