t_pc_ns,frame_id,t_esp_us,sensor_id,accX,accY,accZ,magX,magY,magZ
439094443402900,6157,443693729,0,-0.98046875,-0.0078125,-0.109375,5.25,-95.55000305175781,461.9779968261719
439094443402900,6157,443693729,1,-1.01171875,-0.001953125,-0.060546875,-0.75,-35.85000228881836,-238.85400390625
439094443402900,6157,443693729,2,-0.982421875,0.001953125,-0.056640625,13.800000190734863,-170.10000610351562,470.20599365234375
439094443402900,6157,443693729,3,-1.060546875,0.013671875,0.013671875,-43.80000305175781,7.500000476837158,-796.1799926757812
439094443402900,6157,443693729,4,-1.03515625,0.00390625,0.02734375,54.30000305175781,-385.95001220703125,1596.9580078125
439094443402900,6157,443693729,5,-1.037109375,-0.00390625,0.05859375,116.85000610351562,81.0,3452.85595703125
439094515571200,6158,443765729,0,-0.984375,-0.01171875,-0.119140625,-3.1500000953674316,-91.6500015258789,470.20599365234375
439094515571200,6158,443765729,1,-1.009765625,0.0,-0.05859375,-0.6000000238418579,-30.600000381469727,-247.80799865722656
439094515571200,6158,443765729,2,-0.982421875,0.00390625,-0.052734375,10.800000190734863,-165.0,469.4800109863281
439094515571200,6158,443765729,3,-1.05078125,0.013671875,0.01171875,-42.900001525878906,10.050000190734863,-802.4719848632812
439094515571200,6158,443765729,4,-1.0390625,0.009765625,0.033203125,47.10000228881836,-390.1500244140625,1605.6700439453125
439094515571200,6158,443765729,5,-1.037109375,-0.001953125,0.056640625,118.50000762939453,84.45000457763672,3460.60009765625
439094587278200,6159,443837729,0,-0.98046875,-0.005859375,-0.115234375,-1.0500000715255737,-87.75,460.28399658203125
439094587278200,6159,443837729,1,-1.013671875,0.001953125,-0.056640625,0.45000001788139343,-43.95000076293945,-240.54800415039062
439094587278200,6159,443837729,2,-0.982421875,0.00390625,-0.060546875,17.400001525878906,-167.5500030517578,466.8179931640625
439094587278200,6159,443837729,3,-1.05078125,0.01171875,0.013671875,-45.45000076293945,8.40000057220459,-793.5180053710938
439094587278200,6159,443837729,4,-1.0390625,0.0078125,0.03125,56.85000228881836,-386.2500305175781,1603.0079345703125
439094587278200,6159,443837729,5,-1.033203125,0.001953125,0.048828125,120.60000610351562,76.6500015258789,3457.4541015625
439094659739200,6160,443909729,0,-0.982421875,-0.009765625,-0.11328125,-3.1500000953674316,-91.80000305175781,469.4800109863281
439094659739200,6160,443909729,1,-1.013671875,0.00390625,-0.05859375,-4.350000381469727,-34.80000305175781,-245.14599609375
439094659739200,6160,443909729,2,-0.98046875,0.00390625,-0.056640625,20.400001525878906,-169.8000030517578,481.09600830078125
439094659739200,6160,443909729,3,-1.0546875,0.01171875,0.01953125,-44.25,8.700000762939453,-800.5360107421875
439094659739200,6160,443909729,4,-1.0390625,0.009765625,0.03125,51.30000305175781,-389.1000061035156,1597.6839599609375
439094659739200,6160,443909729,5,-1.037109375,-0.00390625,0.048828125,118.35000610351562,83.55000305175781,3461.56787109375
439094731362900,6161,443981729,0,-0.982421875,-0.013671875,-0.115234375,0.75,-89.25,466.333984375
439094731362900,6161,443981729,1,-1.013671875,0.0,-0.056640625,0.15000000596046448,-42.900001525878906,-240.7899932861328
439094731362900,6161,443981729,2,-0.98046875,0.00390625,-0.056640625,15.600000381469727,-168.0,476.98199462890625
439094731362900,6161,443981729,3,-1.060546875,0.015625,0.013671875,-47.400001525878906,12.0,-802.4719848632812
439094731362900,6161,443981729,4,-1.037109375,0.0078125,0.03125,58.20000076293945,-380.4000244140625,1612.446044921875
439094731362900,6161,443981729,5,-1.041015625,0.0,0.05859375,123.00000762939453,82.95000457763672,3458.179931640625
439094804197000,6162,444053729,0,-0.982421875,-0.009765625,-0.1171875,-0.30000001192092896,-100.20000457763672,463.42999267578125
439094804197000,6162,444053729,1,-1.009765625,0.001953125,-0.060546875,-6.900000095367432,-34.95000076293945,-242.96800231933594
439094804197000,6162,444053729,2,-0.982421875,0.0,-0.0546875,23.400001525878906,-172.65000915527344,475.2879943847656
439094804197000,6162,444053729,3,-1.052734375,0.015625,0.01171875,-43.05000305175781,6.450000286102295,-798.8419799804688
439094804197000,6162,444053729,4,-1.0390625,0.009765625,0.02734375,49.05000305175781,-384.9000244140625,1604.4599609375
439094804197000,6162,444053729,5,-1.0390625,0.0,0.052734375,119.55000305175781,82.80000305175781,3454.550048828125
439094876126200,6163,444125729,0,-0.982421875,-0.01171875,-0.11328125,-3.750000238418579,-90.30000305175781,467.302001953125
439094876126200,6163,444125729,1,-1.01171875,0.0078125,-0.056640625,-2.1000001430511475,-31.650001525878906,-257.4880065917969
439094876126200,6163,444125729,2,-0.984375,-0.001953125,-0.05859375,17.100000381469727,-162.45001220703125,479.885986328125
439094876126200,6163,444125729,3,-1.0546875,0.013671875,0.017578125,-42.900001525878906,14.40000057220459,-798.115966796875
439094876126200,6163,444125729,4,-1.037109375,0.009765625,0.033203125,54.750003814697266,-394.3500061035156,1603.25
439094876126200,6163,444125729,5,-1.03515625,0.0,0.056640625,114.60000610351562,82.80000305175781,3446.080078125
439094947372600,6164,444197729,0,-0.98046875,-0.009765625,-0.11328125,1.350000023841858,-90.60000610351562,465.1239929199219
439094947372600,6164,444197729,1,-1.013671875,0.0,-0.056640625,0.0,-34.05000305175781,-243.20999145507812
439094947372600,6164,444197729,2,-0.984375,0.001953125,-0.056640625,12.300000190734863,-168.90000915527344,476.98199462890625
439094947372600,6164,444197729,3,-1.05859375,0.009765625,0.01171875,-41.25,7.800000190734863,-789.4039916992188
439094947372600,6164,444197729,4,-1.04296875,0.009765625,0.02734375,50.250003814697266,-390.45001220703125,1601.5560302734375
439094947372600,6164,444197729,5,-1.03515625,-0.00390625,0.05078125,123.60000610351562,87.75,3460.60009765625
439095020353700,6165,444269729,0,-0.982421875,-0.009765625,-0.111328125,-1.2000000476837158,-93.1500015258789,471.4159851074219
439095020353700,6165,444269729,1,-1.009765625,0.0,-0.056640625,0.30000001192092896,-37.650001525878906,-248.7760009765625
439095020353700,6165,444269729,2,-0.984375,0.001953125,-0.052734375,13.350000381469727,-171.90000915527344,477.2239990234375
439095020353700,6165,444269729,3,-1.060546875,0.013671875,0.017578125,-52.650001525878906,8.700000762939453,-794.7279663085938
439095020353700,6165,444269729,4,-1.037109375,0.009765625,0.033203125,51.150001525878906,-383.1000061035156,1612.2039794921875
439095020353700,6165,444269729,5,-1.03515625,-0.001953125,0.05078125,112.35000610351562,79.95000457763672,3459.14794921875
439095092295600,6166,444341729,0,-0.982421875,-0.0078125,-0.1171875,-7.950000286102295,-89.10000610351562,465.3659973144531
439095092295600,6166,444341729,1,-1.009765625,0.001953125,-0.056640625,-3.1500000953674316,-35.55000305175781,-243.20999145507812
439095092295600,6166,444341729,2,-0.984375,0.0,-0.05859375,13.950000762939453,-172.95001220703125,481.8219909667969
439095092295600,6166,444341729,3,-1.056640625,0.013671875,0.015625,-41.10000228881836,13.950000762939453,-787.7100219726562
439095092295600,6166,444341729,4,-1.037109375,0.009765625,0.03125,49.95000076293945,-390.7500305175781,1602.7659912109375
439095092295600,6166,444341729,5,-1.037109375,-0.001953125,0.0546875,118.50000762939453,79.5,3455.760009765625
439095164173100,6167,444413729,0,-0.978515625,-0.009765625,-0.111328125,-1.350000023841858,-94.95000457763672,468.2699890136719
439095164173100,6167,444413729,1,-1.013671875,0.0,-0.0625,1.2000000476837158,-37.650001525878906,-251.9219970703125
439095164173100,6167,444413729,2,-0.984375,0.001953125,-0.05859375,15.600000381469727,-171.90000915527344,476.49798583984375
439095164173100,6167,444413729,3,-1.05078125,0.013671875,0.015625,-44.70000076293945,14.250000953674316,-805.3759765625
439095164173100,6167,444413729,4,-1.0390625,0.009765625,0.029296875,51.30000305175781,-385.3500061035156,1609.0579833984375
439095164173100,6167,444413729,5,-1.0390625,-0.00390625,0.052734375,117.9000015258789,82.5,3458.179931640625
