frame_idx,t_frame_ns
0,1226067748633200
1,1226067763434500
2,1226067791587100
3,1226067823727800
4,1226067871714700
5,1226067903627900
6,1226067935714600
7,1226067967683300
8,1226067999755100
9,1226068031859700
10,1226068063741200
11,1226068095762300
12,1226068143615800
13,1226068175559300
14,1226068207799200
15,1226068239718800
16,1226068271601400
17,1226068303709300
18,1226068335695700
19,1226068367574300
20,1226068399689800
21,1226068447594400
22,1226068479693400
23,1226068511744000
24,1226068543774200
25,1226068575662900
26,1226068607591500
27,1226068639938100
28,1226068671783900
29,1226068719813100
30,1226068751795200
31,1226068783627000
32,1226068815675100
33,1226068847832500
34,1226068879868000
35,1226068911737500
36,1226068943637100
37,1226068975728700
38,1226069023806800
39,1226069055869200
40,1226069087870400
41,1226069119705000
42,1226069151889600
43,1226069183685100
44,1226069215855100
45,1226069247866000
46,1226069295820200
47,1226069327866400
48,1226069359863900
49,1226069391738500
50,1226069423924900
51,1226069455681900
52,1226069487881700
53,1226069519810400
54,1226069567729600
55,1226069599885800
56,1226069632514200
57,1226069663878300
58,1226069695888400
59,1226069727899900
60,1226069759920100
61,1226069791841900
62,1226069823920200
63,1226069871987800
64,1226069903754700
65,1226069936000500
66,1226069967775900
67,1226069999939200
68,1226070032112700
69,1226070063950700
70,1226070095922000
71,1226070143923000
72,1226070175793300
73,1226070207881000
74,1226070240063600
75,1226070271792500
76,1226070303896700
77,1226070335989300
78,1226070368140400
79,1226070399767900
80,1226070448127600
81,1226070479811700
82,1226070511921600
83,1226070543973600
84,1226070575824200
85,1226070608030900
86,1226070640052500
87,1226070671882300
88,1226070719892100
89,1226070751690600
90,1226070783843800
91,1226070815950900
92,1226070848266100
93,1226070880000600
94,1226070912015100
95,1226070944179200
96,1226070975876400
97,1226071023876900
98,1226071056073100
99,1226071088063300
100,1226071120100800
101,1226071151802900
102,1226071183886900
103,1226071215974900
104,1226071248093800
105,1226071296001400
106,1226071327574800
107,1226071359897900
108,1226071391874200
109,1226071424095600
110,1226071455769800
111,1226071488080300
112,1226071520191300
113,1226071551791900
114,1226071599917100
115,1226071632155300
116,1226071664102400
117,1226071696069500
118,1226071728127200
119,1226071759704000
120,1226071791988700
121,1226071823921900
122,1226071871940500
123,1226071904034800
124,1226071936101000
125,1226071967801800
126,1226071999844900
127,1226072032176100
128,1226072063939700
129,1226072095838600
130,1226072144101600
131,1226072175682500
132,1226072208196800
133,1226072240542800
134,1226072272023100
135,1226072303665200
136,1226072336075700
137,1226072367743700
138,1226072399656300
139,1226072448216200
140,1226072479822100
141,1226072511872100
142,1226072544174100
143,1226072575804500
144,1226072607815900
145,1226072640337900
146,1226072671932300
147,1226072720263200
148,1226072751761700
149,1226072783826000
150,1226072815804200
151,1226072847903600
152,1226072879815700
153,1226072911838600
154,1226072943970300
155,1226072975710100
156,1226073024386100
157,1226073056036000
158,1226073088154700
159,1226073119935900
160,1226073152204500
161,1226073183824800
162,1226073216144500
163,1226073247984300
164,1226073296139700
165,1226073328262900
166,1226073359919300
167,1226073391927100
168,1226073424156300
169,1226073456175100
170,1226073488134200
171,1226073520213900
172,1226073551922200
173,1226073599855700
174,1226073632233300
175,1226073663985800
176,1226073695895300
177,1226073728296600
178,1226073759996400
179,1226073791887600
180,1226073824183800
181,1226073871863200
182,1226073903979500
183,1226073936125300
184,1226073968314400
185,1226073999894800
186,1226074032020100
187,1226074063873000
188,1226074096002300
189,1226074127987100
190,1226074176035000
191,1226074207880000
192,1226074240100000
193,1226074272056100
194,1226074303891600
195,1226074336065500
196,1226074368379200
197,1226074399878700
198,1226074448081300
199,1226074479913600
200,1226074512317800
201,1226074544116700
202,1226074576122600
203,1226074607937800
204,1226074640024000
205,1226074672068300
206,1226074720318300
207,1226074752055800
208,1226074784029700
209,1226074816191100
210,1226074848134400
211,1226074879936900
212,1226074912152700
213,1226074944587800
214,1226074976071300
215,1226075024006000
216,1226075056302200
217,1226075088443300
218,1226075120122500
219,1226075152144100
220,1226075184352200
221,1226075216098200
222,1226075248208700
223,1226075296094700
224,1226075328354700
225,1226075360105000
226,1226075391941000
227,1226075423987000
228,1226075456444200
229,1226075488120200
230,1226075520266100
231,1226075552107900
232,1226075600013800
233,1226075632200100
234,1226075664202300
235,1226075696186100
236,1226075728121400
237,1226075760130900
238,1226075792019400
239,1226075824152700
240,1226075872488100
241,1226075903994000
242,1226075936061800
243,1226075968196300
244,1226076000349400
245,1226076032204100
246,1226076064161600
247,1226076096248500
248,1226076128555000
249,1226076176516700
250,1226076208184400
251,1226076240192500
252,1226076272226100
253,1226076304135200
254,1226076336185800
255,1226076368208400
256,1226076400046100
257,1226076448294800
258,1226076480068700
259,1226076512262800
260,1226076544256700
261,1226076576354900
262,1226076608114100
263,1226076640175000
264,1226076672294600
265,1226076704306900
266,1226076752280300
267,1226076784249300
268,1226076816188900
269,1226076848699000
270,1226076880232100
271,1226076912273700
272,1226076944707000
273,1226076976242900
274,1226077024131400
275,1226077056543800
276,1226077088334300
277,1226077120316200
278,1226077152433200
279,1226077184699900
280,1226077216319000
281,1226077248386400
282,1226077296343400
283,1226077328666100
284,1226077360450600
285,1226077392176700
286,1226077424278600
287,1226077456657200
288,1226077488322300
289,1226077520416000
290,1226077552344800
291,1226077600439000
292,1226077632216400
293,1226077664430300
294,1226077696348300
295,1226077728770700
296,1226077760693200
297,1226077792217800
298,1226077824337300
299,1226077872832200
300,1226077904309700
301,1226077936440000
302,1226077968435200
303,1226078000225200
304,1226078032383900
305,1226078064484700
306,1226078096481600
307,1226078128384900
308,1226078176416200
309,1226078208279700
310,1226078240362500
311,1226078272576800
312,1226078304757300
313,1226078336442000
314,1226078368444800
315,1226078400268100
316,1226078448444400
317,1226078480692500
318,1226078512472100
319,1226078544656400
320,1226078576382000
321,1226078608301200
322,1226078640588600
323,1226078672464600
324,1226078704434800
325,1226078752561100
326,1226078784461800
327,1226078816325700
328,1226078848427800
329,1226078880488000
330,1226078912415200
331,1226078944521900
332,1226078976426600
333,1226079024468400
334,1226079056831500
335,1226079088458800
336,1226079120771600
337,1226079152523800
338,1226079184460600
339,1226079216661100
340,1226079248554400
341,1226079296344800
342,1226079328520700
343,1226079360896100
344,1226079392523500
345,1226079424456800
346,1226079456576400
347,1226079488889500
348,1226079520647500
349,1226079552506300
350,1226079600358300
351,1226079632777100
352,1226079664720100
353,1226079696603500
354,1226079728645600
355,1226079760761200
356,1226079792411400
357,1226079824422200
358,1226079872730900
359,1226079904817600
360,1226079936710200
361,1226079968458300
362,1226080000427000
363,1226080032887100
364,1226080064785500
365,1226080096715200
366,1226080128570600
367,1226080176671500
368,1226080208462300
369,1226080240601000
370,1226080272769900
371,1226080304560800
372,1226080336605000
373,1226080368607900
374,1226080400451300
375,1226080448857300
376,1226080480806700
377,1226080512665200
378,1226080544662600
379,1226080577019800
380,1226080608474700
381,1226080640593700
382,1226080673099200
383,1226080705014800
384,1226080752656500
385,1226080784663900
386,1226080816497300
387,1226080848599000
388,1226080881017200
389,1226080912670700
390,1226080944945100
391,1226080976667900
392,1226081024533100
393,1226081056716200
394,1226081088711700
395,1226081120980200
396,1226081152906200
397,1226081184650100
398,1226081216549200
399,1226081248831000
