t_pc_ns,sensor_id,accX,accY,accZ,magX,magY,magZ
433389304145400,1,0.0098,-0.6035,0.8262,-68.70,0.90,-262.09
433389316979800,2,-0.0273,-0.8047,0.6074,64.50,-121.50,464.88
433389330053200,3,-0.0469,-0.7871,0.5547,-36.00,-0.60,-845.31
433389343034700,4,-0.0527,-0.9414,0.3730,269.40,-306.60,1595.02
433389356031300,5,-0.0859,-0.9688,0.2852,66.30,33.30,3474.64
433389369004400,0,-0.0020,-0.0078,1.0098,35.10,-30.75,450.36
433389381994300,1,0.0117,-0.5645,0.8359,-69.30,1.50,-273.22
433389395105800,2,-0.0215,-0.7988,0.6172,75.90,-126.90,465.85
433389408161400,3,-0.0137,-0.8086,0.5566,-39.75,-0.90,-838.29
433389421111600,4,0.0078,-0.9473,0.3516,273.75,-303.75,1591.63
433389434000400,5,0.0098,-0.9551,0.2715,64.05,29.70,3473.91
433389447079700,0,-0.0039,-0.0078,1.0098,30.45,-30.15,461.25
433389459991700,1,0.0215,-0.5469,0.8418,-66.75,0.15,-265.47
433389473012600,2,0.0020,-0.7754,0.6309,73.95,-125.10,461.98
433389485990300,3,-0.0195,-0.7793,0.5664,-40.05,0.75,-838.53
433389499134500,4,-0.0098,-0.9473,0.3613,261.45,-299.40,1588.73
433389511995900,5,-0.0020,-0.9277,0.2832,75.15,30.60,3467.86
433389525054100,0,-0.0039,-0.0078,1.0078,34.50,-35.85,460.04
433389538008900,1,0.0098,-0.5527,0.8398,-69.60,0.75,-268.14
433389551058000,2,-0.0156,-0.7832,0.6270,67.35,-127.35,468.03
433389564018300,3,-0.0273,-0.7617,0.5625,-39.75,-1.95,-833.45
433389577030900,4,-0.0508,-0.9160,0.3516,269.85,-304.20,1594.54
433389590120500,5,-0.0586,-0.9727,0.2520,67.05,33.15,3470.76
433389603013800,0,-0.0039,-0.0098,1.0059,36.30,-39.60,461.25
433389616021600,1,-0.0020,-0.5840,0.8301,-68.40,5.70,-265.96
433389629212300,2,-0.0391,-0.8125,0.6172,66.45,-123.60,473.35
433389642006500,3,-0.0527,-0.8281,0.5547,-36.60,-1.80,-841.43
433389655047400,4,-0.0586,-0.9648,0.3379,268.80,-304.50,1602.52
433389668061300,5,-0.0879,-0.9922,0.2402,66.30,33.60,3472.94
433389681023500,0,-0.0039,-0.0078,1.0098,33.75,-39.45,461.01
433389693994700,1,0.0059,-0.5742,0.8340,-66.90,4.20,-264.51
433389707054400,2,-0.0293,-0.7812,0.6191,76.35,-120.60,459.32
433389720031600,3,-0.0312,-0.7949,0.5625,-37.35,0.90,-836.84
433389733091400,4,-0.0293,-0.9512,0.3594,270.75,-297.90,1594.30
433389746084100,5,-0.0586,-0.9297,0.2754,77.10,26.40,3471.25
433389759085600,0,-0.0039,-0.0059,1.0098,35.85,-40.95,456.41
433389772022700,1,0.0156,-0.5664,0.8379,-69.30,1.50,-270.31
433389785087500,2,-0.0215,-0.7793,0.6270,77.25,-126.00,471.90
433389798043100,3,-0.0352,-0.7969,0.5703,-44.40,-3.60,-842.16
433389811112300,4,-0.0332,-0.9473,0.3633,270.75,-297.90,1588.25
433389824031300,5,-0.0195,-0.9883,0.2598,69.75,27.45,3465.68
433389837064500,0,0.0000,-0.0059,1.0078,39.60,-39.75,459.56
433389850102100,1,0.0234,-0.5898,0.8340,-62.40,0.90,-272.49
433389863077000,2,-0.0273,-0.7812,0.6133,71.10,-123.75,468.75
433389876093000,3,-0.0215,-0.7559,0.5684,-41.10,-1.50,-843.85
433389889064600,4,-0.0293,-0.8848,0.3848,270.75,-296.25,1592.84
433389902022600,5,-0.0742,-0.8906,0.3164,73.35,30.60,3468.10
433389915046300,0,-0.0020,-0.0059,1.0039,36.45,-39.15,459.07
433389928077100,1,-0.0098,-0.5273,0.8535,-64.80,0.15,-267.89
433389941085900,2,-0.0508,-0.8203,0.6191,72.00,-122.70,465.85
433389954194400,3,-0.0234,-0.8457,0.5312,-42.00,-0.60,-828.61
433389967119700,4,-0.0039,-1.0020,0.2930,266.70,-298.35,1581.47
433389980101000,5,-0.0039,-1.0137,0.2070,60.30,34.50,3473.91
433389993091200,0,-0.0078,-0.0078,1.0059,37.50,-36.90,467.79
433390006062900,1,-0.0059,-0.5625,0.8418,-75.45,12.45,-269.35
433390019056700,2,-0.0371,-0.8027,0.6133,71.55,-125.25,470.69
433390032047000,3,-0.0469,-0.8086,0.5605,-38.85,0.45,-835.63
433390045114600,4,-0.0820,-1.0020,0.3457,275.40,-300.30,1603.73
433390058038800,5,-0.1270,-1.0000,0.2656,69.90,38.10,3466.89
433390071096200,0,0.0000,-0.0078,1.0020,35.70,-32.85,455.69
433390084110700,1,0.0078,-0.5449,0.8438,-70.20,-1.35,-272.49
433390097083300,2,-0.0059,-0.7656,0.6289,69.15,-121.95,468.75
433390110103100,3,-0.0371,-0.7773,0.5820,-39.90,-0.30,-844.10
433390123103600,4,-0.0703,-0.8887,0.3750,272.85,-305.55,1595.75
433390136063900,5,-0.0605,-0.9180,0.2988,65.10,28.20,3471.73
433390149065800,0,-0.0059,-0.0078,1.0059,32.85,-33.15,456.65
433390162265100,1,-0.0605,-0.5449,0.7793,-63.75,2.25,-270.31
433390175108700,2,0.0234,-0.7285,0.6074,77.25,-115.35,465.12
433390188089800,3,-0.0098,-0.7598,0.5547,-39.30,-6.45,-839.01
433390201126000,4,0.0508,-0.9121,0.3867,258.15,-299.55,1591.15
