frame_idx,t_estimated_ns,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13
0,433408781927664,-18.7584,-17.3107,-10.5189,-6.7207,-3.4019,-1.6386,-6.1647,-6.3466,-7.2605,-0.7904,-1.2019,1.5851,-2.4651
1,433408811362262,-18.1780,-17.4929,-11.3174,-5.6909,-4.5142,-0.8972,-6.7150,-7.4027,-2.9742,-4.7771,-0.2795,1.8127,-1.2991
2,433408840796860,-18.6313,-17.1852,-11.6154,-6.2787,-4.0875,-0.8701,-7.3943,-6.3027,-5.0520,-2.3261,-0.7886,1.7155,-1.3601
3,433408870231458,-19.5018,-16.4878,-11.5876,-5.7616,-3.9798,-2.0825,-7.2835,-4.6132,-7.5280,-2.5079,0.4734,0.1875,-1.8624
4,433408899666056,-19.4771,-16.5114,-11.5299,-5.8857,-2.6089,-3.2308,-7.1769,-6.2181,-5.0026,-2.7324,-1.0403,-0.5683,0.0570
5,433408929100654,-19.7648,-16.5180,-12.1179,-5.2382,-3.3820,-2.8170,-7.0795,-6.0555,-5.2711,-2.0940,-1.3242,1.6141,-2.0040
6,433408958535252,-20.3244,-16.0253,-11.4455,-5.7046,-3.0150,-3.1251,-5.5013,-7.4566,-8.3051,1.6706,-2.8211,4.0622,-3.4471
7,433408987969850,-20.0245,-16.3620,-10.8098,-5.9101,-3.7912,-2.9662,-5.5109,-6.9739,-6.6051,0.3365,-1.9495,1.3584,-2.9131
8,433409017404449,-19.6273,-17.1263,-10.3098,-6.0234,-3.7868,-2.1744,-6.8503,-6.7305,-6.0908,-0.2418,-1.9610,1.0436,-2.2379
9,433409046839047,-19.6018,-17.1718,-9.7527,-6.6499,-3.2066,-2.5664,-7.0166,-7.2363,-4.7444,-1.1833,-1.6770,-0.4672,-0.2181
10,433409076273645,-20.4464,-17.2272,-10.3995,-5.8833,-3.5397,-1.8991,-6.8914,-7.6477,-4.0207,-1.3907,-2.1098,-0.4484,-0.0188
11,433409105708243,-19.5985,-16.1148,-11.0882,-6.1737,-2.7616,-2.3151,-6.3624,-7.6801,-4.1933,-3.0670,-1.7581,1.8741,-1.7731
12,433409135142841,-19.2766,-16.0511,-10.4632,-6.3876,-2.3732,-3.6881,-6.2660,-6.7924,-4.0977,-3.1774,-1.2618,0.1851,-2.5343
13,433409164577439,-18.3396,-15.6923,-11.0473,-6.2876,-2.3693,-2.8925,-7.2130,-7.0215,-3.8252,-3.3283,-1.5557,0.3008,0.9443
14,433409194012037,-17.8311,-15.3118,-11.5628,-6.4908,-5.1038,-1.0687,-6.3999,-7.4164,-3.1099,-2.3216,-1.0904,-0.1374,-0.5589
15,433409223446635,-17.3354,-15.7724,-10.5816,-7.5040,-3.1260,-3.1806,-6.0246,-8.2900,-4.0858,-2.9519,-0.7522,1.0594,-0.9280
16,433409252881234,-17.5615,-14.6442,-11.4349,-7.3412,-3.0591,-3.1058,-6.4558,-7.9333,-4.7362,-3.2230,-0.3565,0.6764,-1.9518
17,433409282315832,-17.2569,-14.6499,-11.0229,-6.5481,-3.8140,-2.8355,-6.7875,-6.6380,-5.8735,-2.4714,-1.9869,1.7669,-2.5875
18,433409311750430,-17.1073,-13.8903,-11.7712,-6.3326,-3.7381,-2.5148,-7.6850,-6.4204,-4.6814,-2.0152,-3.7419,3.5126,-2.2294
